ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page485

<overview>
このページは「7.3 エラー表」のセクションで構成されており、主に表形式でエラーNo.、エラー名称、内容・原因および対処方法が記載されています。テキスト部分はエラーの説明と対処方法の詳細が中心で、表部分はエラー情報を体系的に整理しています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト・表
#### 7.3 エラー表
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

| エラーNo. | エラー名称                     | 内容・原因 / 対処方法                                                                                                   |
|-----------|------------------------------|------------------------------------------------------------------------------------------------------------------------|
| E19       | WAITファクタエラー            | WAITファクタが異常です。                                                                                                |
| E1A       | WAITロジックエラー            | WAITロジック異常です。                                                                                                |
| E1B       | ポジションデータ有効アドレスエラー | ポジションデータ有効アドレスが設定されていません。                                                                    |
| E1C       | ソースデータエラー            | ソースデータが異常です。                                                                                                |
| E1D       | 無操作出力No.エラー           | 無操作出力No.が異常です。I/OパラメータNo.70～73に、出力ポートNo.以外の数値（0は可）が入力されている可能性があります。 |
| E1E       | ゾーンパラメーターエラー       | 【内容・原因】<br>軸別パラメータNo.88、91、94、97 “ゾーン(1-4) 出力No.”の設定が間違っています。<br>原因例：<br>1) 出力ポート・グローバルフラグNo.以外の数値が入力されている（0は入力可）<br>2) 他の機能で指定したNo.と重複して指定している<br>3) I/Oパラメータの出力機能選択でシステム出力に指定されている出力No.と重複する番号を指定した<br>該当パラメータ：<br>・I/OパラメータNo.46～61 “出力機能選択 300～315”<br>・I/OパラメータNo.299～330 “出力機能選択 300～315 割付ポートNo.”<br>【対処方法】<br>1) 出力ポート、拡張出力ポート、グローバルフラグを指定してください。<br>2) 他の機能で指定したNo.と重複しないようにしてください。<br>3) I/Oパラメータの出力機能選択でシステム出力に指定されている出力No.と重複する番号を指定しないようにしてください。 |
| E1F       | I/O割付けパラメーターエラー   | 【内容・原因】<br>固定割付け時入（出）カポート開始No.および、入（出）力使用ポート数を以下のように設定しました。<br>1) I/OパラメータNo.2～5、16～17、233～234に、入出力ポートNo.以外の数値（-1は可）や、入出力先頭ポートNo.+[8の倍数]以外の数値が入力されている<br>2) I/OパラメータNo.14～15、231～232が8の倍数でない数字が設定されている<br>【対処方法】<br>固定割付け時入（出）カポート開始No.および、入（出）力使用ポート数の設定値を正しい値に設定してください。<br>1) 入出力ポート先頭No.または入出力先頭ポートNo.+[8の倍数]を設定してください。<br>・入力ポート：No.0～299、仮想入力ポート：1,000～3,999<br>・出力ポート：No.300～599、仮想出力ポート：4,000～6,999<br>2) 8の倍数を設定してください。 |

</contents>
