ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page486

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。  
主にテキストと表で構成されており、エラー番号ごとにエラー名称、内容・原因、対処方法が詳細に記載されています。  
図やグラフは含まれていません。  
表はエラーNo.をキーに、エラーの詳細説明を体系的にまとめた形式です。
</overview>

<contents>
### テキスト
#### 7.3 エラー表
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

### 表
#### エラー一覧

| エラーNo. | エラー名称                         | 内容・原因 / 対処方法                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| --------- | -------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| E20       | I/O多重割付けエラー               | 【内容・原因】<br>I/O割付けが重なっています。<br>【対処方法】<br>PIOボード入出力点数（型式より確認可能）や、以下のパラメーターで設定した入出力使用ポート数や入出力ポート開始No.を確認し、割付けが重複していないか確認してください。<br>・I/OパラメーターNo.2～5<br>・“I/Oスロット1（2）固定割付け時入（出）カポート開始No.（I/O1（2））”<br>・I/OパラメーターNo.14～15、231～232<br>・“ネットワークI/Fモジュール1（2）リモート入（出）力使用ポート数”<br>・I/OパラメーターNo.16～17、233～234<br>・“ネットワークI/Fモジュール1（2）固定割付け時入（出）カポート開始No.” |
| E21       | I/O割付け数オーバーエラー       | 【内容・原因】<br>I/O割付けが仕様範囲をオーバーしています。<br>【対処方法】<br>PIOボード入出力点数（型式より確認可能）や、以下のパラメーターで設定した入出力使用ポート数や入出力ポート開始No.を確認し、割付け数が仕様を超過していないか確認してください。<br>・I/OパラメーターNo.2～5<br>・“I/Oスロット1（2）固定割付け時入（出）カポート開始No.（I/O1（2））”<br>・I/OパラメーターNo.14～15、231～232<br>・“ネットワークI/Fモジュール1（2）リモート入（出）力使用ポート数”<br>・I/OパラメーターNo.16～17、233～234<br>・“ネットワークI/Fモジュール1（2）固定割付け時入（出）カポート開始No.” |
| E22       | ヘッダーエラー（スレーブ通信） | スレーブカードからの受信伝文内ヘッダーが異常です。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| E23       | カードIDエラー（スレーブ通信）  | スレーブカードからの受信伝文内カードIDが異常です。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| E24       | レスポンス種別エラー（スレーブ通信） | スレーブカードからの受信伝文内レスポンス種別が異常です。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| E25       | コマンド種別エラー（スレーブ通信） | 送信しようとしているコマンド種別が異常です。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| E26       | ターゲット種別エラー             | ターゲット種別が異常です。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| E27       | ターゲット未実装エラー           | ターゲット（ドライバーカード、I/Oカード、エンコーダーなどスレーブカード類）が未実装です。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| E2D       | EEPROM情報取得コマンド送信時受信データチェックサムエラー | スレーブEEPROM情報取得コマンド送信時、受信データのチェックサムが異常です。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| E33       | スレーブレスポンスロジックエラー | スレーブレスポンスロジック異常です。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
</contents>
