ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page490

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。ページ全体は以下のセクションで構成されています。
- テキスト部分：エラー表の説明文（パネルウィンドウでのエラーNo.表示について）
- 表部分：エラーNo.、エラー名称、内容・原因・対処方法をまとめた詳細なエラー一覧表
- グラフ・図部分はなし
</overview>

<contents>
### テキスト
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

### 表
#### エラー表（コールドスタートレベルエラー）

| エラーNo. | エラー名称                             | 内容・原因 / 対処方法                                                                                          |
| :------- | :----------------------------------- | :------------------------------------------------------------------------------------------------------------ |
| E73      | エンコーダー分解能不整合エラー       | システムの軸別パラメーターと、実装されているエンコーダーにおいて、エンコーダー分解能が一致していません。       |
| E74      | エンコーダー分周率不整合エラー       | システムの軸別パラメーターと、実装されているエンコーダーにおいて、エンコーダー分周率が一致していません。       |
| E75      | エンコーダー/ロータリー種別不整合エラー | システムの軸別パラメーターと、実装されているエンコーダーにおいて、エンコーダーリニア/ロータリー種別が一致していません。 |
| E76      | エンコーダーABS/INC種別不整合エラー  | システムの軸別パラメーターと、実装されているエンコーダーにおいて、エンコーダーABS/INC種別が一致していません。  |
| E77      | 磁極センサー装着指定不整合エラー     | システムの軸別パラメーターと、実装されているエンコーダーにおいて、磁気センサー装着有無が一致していません。       |
| E78      | ブレーキ装着指定不整合エラー         | システムの軸別パラメーターと、実装されているエンコーダーにおいて、ブレーキ装着指定が一致していません。           |
| E7B      | モーター駆動電源通電タイムアウトエラー | モーター駆動電源の通電異常です。                                                                                 |
| E7C      | レジスターリードライトテストエラー   | レジスターリードライト異常です。                                                                               |
| E7D      | 直線移動軸パラメーターエラー         | 軸別パラメーターNo.38, 68, 1などを確認してください。                                                           |
| E7F      | ストロークパラメーターエラー         | 軸別パラメーターNo.7, 8, 1などを確認してください。                                                             |
| E80      | 未サポートカードエラー               | サポートしていないカードがI/Oスロットに装着されています。                                                       |
| E84      | 分解能関連パラメーターエラー         | 軸別パラメーターNo.47, 50, 51, 44, 42, 43, 1, 37などを確認してください。                                       |
| E85      | ドライバーサーボレディーOFF要因不定エラー | ドライバーサーボレディーOFF要因が不定です。                                                                     |
| E8A      | SELプログラムフラッシュROMステータスエラー | 【内容・原因】<br>フラッシュROMに格納されたSELプログラムデータの異常を検出しました。<br>以下の原因などが考えられます。<br>1) フラッシュROMにデータ書込み中に電源が遮断された。<br>2) フラッシュROMの故障。<br>【対処方法】<br>SELプログラムが初期化されます。フラッシュROM書込みを行っても再現する場合は、当社まで連絡してください。 |

</contents>
