ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page491

<overview>
このページは「7.3 エラー表」に関する内容で構成されています。  
主に表形式でエラーNo.、エラー名称、内容・原因および対処方法が記載されています。  
テキスト部分はエラーの説明や対処方法の詳細で、表部分はエラー情報の一覧です。  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト・表
#### 7.3 エラー表
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

| エラーNo. | エラー名称                             | 内容・原因 / 対処方法                                                                                                                                                                                                                  |
| :------- | :---------------------------------- | :----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| E8B      | シンボル定義テーブル フラッシュROM ステータスエラー | 【内容・原因】<br>フラッシュROMに格納されたシンボル定義テーブルデータの異常を検出。<br>原因例：<br>1) フラッシュROMにデータ書込中に電源が遮断された。<br>2) フラッシュROMの故障。<br>【対処方法】<br>シンボル定義テーブルデータが初期化される。再現時は当社へ連絡。 |
| E8C      | ポジションデータ フラッシュROM ステータスエラー | 【内容・原因】<br>フラッシュROMに格納されたポジションデータの異常を検出。<br>原因例：<br>1) フラッシュROMにデータ書込中に電源が遮断された。<br>2) フラッシュROMの故障。<br>【対処方法】<br>エラー検出時もポジションデータは初期化されない。<br>エラー解除には初期化とフラッシュROM書込みが必要。再現時は当社へ連絡。 |
| E8D      | パラメーターフラッシュROM ステータスエラー       | 【内容・原因】<br>フラッシュROMに格納されたパラメーターの異常を検出。<br>原因例：<br>1) フラッシュROMにデータ書込中に電源が遮断された。<br>2) フラッシュROMの故障。<br>【対処方法】<br>パラメーターが初期化される。再現時は当社へ連絡。                     |
| E8F      | フィールドバスロジックエラー                     | フィールドバス初期化時のロジックエラー。                                                                                                                                                                                             |
| F00      | シャットダウンエラー（hi_sysdwn()定義分）          | シャットダウンエラー（hi_sysdwn()定義分）を検出。                                                                                                                                                                                    |
| F03～F59 | シャットダウンエラー（OSコールエラー）             | シャットダウンエラー（OSコールエラー）を検出。                                                                                                                                                                                       |
| F60      | システムダウンレベルエラーコール手順ミス            | システムダウンレベルエラーコール手順ミスを検出。                                                                                                                                                                                     |
| F61      | インタープリタータスク終了タスクIDエラー           | インタープリタータスク終了タスクIDエラーを検出。                                                                                                                                                                                    |
| F62      | 電源系予備異常検出エラー                           | 電源系予備異常を検出。                                                                                                                                                                                                               |
</contents>
