ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page492

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。  
主にテキスト説明と表で構成されており、パネルウィンドウに表示されるエラー番号と対応するエラー名称、内容・原因・対処方法が一覧形式で示されています。  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

### 表
#### エラー表（システムダウンレベルエラー）

| エラーNo. | エラー名称                         | 内容・原因 / 対処方法                                                                                   |
| :------- | :-------------------------------- | :----------------------------------------------------------------------------------------------------- |
| F63      | 回生抵抗温度エラー                 | 回生抵抗温度エラーを検出しました。                                                                     |
| F64      | AC電源過電圧エラー                | 制御電源過電圧エラーを検出しました。                                                                   |
| F65      | モーター電源過電圧エラー          | モーター電源過電圧エラーを検出しました。                                                               |
| F66      | サーボ制御アンダーランエラー      | サーボ制御アンダーランエラーを検出しました。                                                           |
| F67      | FROMライトバス幅エラー            | フラッシュROMへの書込み時に、32ビットロングワードアクセス以外の書込み動作を検出しました。               |
| F68      | FROMライトプロテクトエラー        | 書込み保護状態（DEVCTR内FRMWFビット=1）のフラッシュROM領域への書込み動作を検出しました。                 |
| F69      | ブートウォッチドッグエラー        | FPGAのブートウォッチドッグ検出が発生しました。コア部プログラムが正常に動作していない可能性があります。 |
| F6A～FA0 | 未定義例外・割込みエラー          | 定義されていない例外・割込みが発生しました。                                                           |
| FB1      | アプリ部コードSDRAMコピーエラー（サムチェック） | FROM→SDRAMプログラムコピー後相当セクション同士の4バイト加算サムが一致しません。                         |
| FB2      | 装着フラッシュROMタイプ不整合（アプリ部） | ソフトウェアで想定しているフラッシュROMタイプと、実装着フラッシュROMタイプが整合しません。ソフトウェアとハードウェアの組合せを確認してください。 |
| FB4      | サーボコアシャットダウンエラー    | 【内容・原因】サーボ制御処理部の異常を検出し、システム停止しました。<br>【対処方法】電源再投入しても発生する場合は、当社まで連絡してください。 |
| FB8      | 未定義NMIエラー                   | 定義されていないNMI割込みが発生しました。                                                             |
| FF0～FFF | シャットダウンエラー（hi_sysdwn()定義分） | シャットダウンエラー（hi_sysdwn()定義分）を検出しました。                                             |
</contents>
