<overview>
このページは、トラブルシューティングに関する章（第13章）の開始ページです。モーターとドライバの動作に関する一般的な問題の診断と対処方法を表形式で説明しています。初期設定以外の運転で起こりうる様々な問題について詳細な解決策を提供しています。
</overview>

<contents>
# 13 トラブルシューティング

モーターの異常時、設定や運転の取り戻し等、モーター、ドライバが正常に動作しないことがあります。

配線、用途条件などに問題が無い場合の回避方法、この章をご覧になり、適切な対処を行ってください。

それでも症状の改善できないときは、弊社の営業まで問題をセンターにお問い合わせください。

ここでは、初期設定以外の運転で起こりうるトラブルについて記載しています。

これらの内容についてはAZシリーズ 機能機能をご覧ください。

## トラブルシューティング表

| 現象 | 予想される原因 | 処置 |
|------|---------------|------|
| **モーターが回転しない、回転方向が反対方向である** | モーターケーブルの接続不良、配線の誤り、接続違い | モーター配線を確認してください。FREE入力をOFFにしてください。|
| | | CON入力でSTOP・C・COF入力でモーター各種動作による回転状況の固定を、ドライバが正常またはモーター実行効率が地域通信場または、非常停止というもかもしれません。または、ダイナミックブレーキではシュートしようとしますが、土体通を送電源のON、FREE入力をONにしてください。 |
| **モーターを高速回転させても運転が遅い** | ダイナミックブレーキの設定 | |
| | 電磁ブレーキがモーターの回転中、高度ブレーキが解放状態になっている。STOP入力がONになっている。| 電磁ブレーキの解放状態を確認してください。STOP入力をOFFにしてください。|
| **モーターが回転しない** | 位置決めや運転のとき、運転データ等により制動されている。JOG運転のとき、FW-JOG入力またはRV-JOG入力が同時にONになっている | 運転データを確認してください。FW-JOG入力とRV-JOG入力を同時もしくはOFFにしてください。RV-JOG入力をONにしてください。 |
| **READY LEDが点灯していない(赤色)を点滅している。モーターが回転しない(赤LEDダイアログの点滅)** | 1.各電源的未通気、2.各種が外部に入力されている | ・各種を正しく配線してください。・各種制御解除して、動作中運転を確認してください。・電源・三相運転の入力および何も送信せしない運転を注意してください。|
| **モーターが指定したパルス課程に回答しないの**| パワー時の効率が機会方向が異なっているなど | 1.アブソリュート検地器指令：あらわれて270ときのとき、ハードウエア受信で解消となります。モーターに反応力用への駆使します。|
| | パワー実現制約や実装方法がアペスケーター接地操定など| モーターを主画面の的確な接続確認してください。|
| | モーターケーブルや通信ケーブルの接続不良 | |
| **手動パルス機会モーターが最適方向で回転する**| | |
| **モーターの回転が小さな**| 負荷電流値の選定に外的事項なるする | ・位置決め機能付きパルス列入力タイプ、RS-485 通信付きパルス列入力タイプの場合：該当線にパルスの方向性を確認してください。電磁有的解除により動力があとほくらりします。|
| | | ・1パルス解決方式の理解：CURRENTスイッチの設定を確認してください。電度ラップにしてモータートルクを上げてください。動力があとほくらりします。|
| | | ・位置決め機能付きパルス列入力タイプ、RS-485 通信付きパルス列入力タイプの場合：該当線にパルス方向を確認してください。負荷ガつづろしも確認できます。|
| | | ・1パルス解決方式の理解：CURRENTスイッチの設定を下げてください。負荷に対してモーターのトルクが大きすぎるときは、低減することができます。|
| **ホーンがうるさい** | 負荷が小さい | |
| **電磁ブレーキが解放されない** | 電磁ブレーキに電源が無効されていない | 電磁ブレーキの電源設定を確認してください。|
</contents>
