<overview>
15章「ケーブル」の冒頭ページ。15-1「接続ケーブル（ケーブルタイプ用）」として、AZM14、AZM15、AZM24、AZM26用の接続ケーブルセットについて説明。図解と2つの製品テーブルを含む構成。
</overview>

<contents>
# 15 ケーブル

## 15-1 接続ケーブル（ケーブルタイプ用）

### 接続ケーブルセット / 可動接続ケーブルセット
**（AZM14、AZM15、AZM24、AZM26用）**

モーターとドライバを接続するときに使用します。

```mermaid
graph LR
    A[モーター] --> B[接続ケーブルセット] --> C[ドライバ]

    subgraph "接続ケーブルセット"
        direction TB
        D[コネクタ部分]
        E[ケーブル]
        F[コネクタ部分]
        D --> E --> F
    end
```

**(memo)** モーターを可動部分に取り付けるときは、可動ケーブルを使用してください。

### 製品仕様表

#### 接続ケーブルセット

| 品名 | 長さ (m) |
|------|----------|
| CC005VZ2F2 | 0.5 |
| CC010VZ2F2 | 1 |
| CC015VZ2F2 | 1.5 |
| CC020VZ2F2 | 2 |
| CC025VZ2F2 | 2.5 |
| CC030VZ2F2 | 3 |
| CC040VZ2F2 | 4 |
| CC050VZ2F2 | 5 |
| CC070VZ2F2 | 7 |
| CC100VZ2F2 | 10 |
| CC150VZ2F2 | 15 |
| CC200VZ2F2 | 20 |

#### 可動接続ケーブルセット

| 品名 | 長さ (m) |
|------|----------|
| CC005VZ2R2 | 0.5 |
| CC010VZ2R2 | 1 |
| CC015VZ2R2 | 1.5 |
| CC020VZ2R2 | 2 |
| CC025VZ2R2 | 2.5 |
| CC030VZ2R2 | 3 |
| CC040VZ2R2 | 4 |
| CC050VZ2R2 | 5 |
| CC070VZ2R2 | 7 |
| CC100VZ2R2 | 10 |
| CC150VZ2R2 | 15 |
| CC200VZ2R2 | 20 |
</contents>
