<overview>
ページ52は、AZM46、AZM48、AZM66、AZM69用の接続ケーブルセットについて説明。3本のケーブル（エンコーダ用、モーター用、電磁ブレーキ用）が含まれる図解と、2種類の製品テーブルを含む。
</overview>

<contents>
## 接続ケーブルセット / 可動接続ケーブルセット
**（AZM46、AZM48、AZM66、AZM69用）**

モーターとドライバを接続するときに使用します。モーター用とエンコーダ用の2本組です。
電磁ブレーキ付モーター用は、モーター用、エンコーダ用、および電磁ブレーキ用の3本組です。

```mermaid
graph TD
    A[モーター] --> B[接続ケーブルセット]
    B --> C[ドライバ]

    subgraph "接続ケーブルセット"
        direction TB
        D[エンコーダ用※1]
        E[モーター用]
        F[電磁ブレーキ用※2]
    end

    A --> D
    A --> E
    A --> F
    D --> C
    E --> C
    F --> C
```

※1 エンコーダ用ケーブルは、長さが足りないときにお使いください。
※2 電磁ブレーキ付モーターのとき。

**(memo)** モーターを可動部分に取り付けるときは、可動ケーブルを使用してください。

### 製品仕様表

#### 接続ケーブルセット

##### モーター / エンコーダ用

| 品名 | 長さ (m) |
|------|----------|
| CC005VZF2 | 0.5 |
| CC010VZF2 | 1 |
| CC015VZF2 | 1.5 |
| CC020VZF2 | 2 |
| CC025VZF2 | 2.5 |
| CC030VZF2 | 3 |
| CC040VZF2 | 4 |
| CC050VZF2 | 5 |
| CC070VZF2 | 7 |
| CC100VZF2 | 10 |
| CC150VZF2 | 15 |
| CC200VZF2 | 20 |

##### モーター / エンコーダ / 電磁ブレーキ用

| 品名 | 長さ (m) |
|------|----------|
| CC005VZFB2 | 0.5 |
| CC010VZFB2 | 1 |
| CC015VZFB2 | 1.5 |
| CC020VZFB2 | 2 |
| CC025VZFB2 | 2.5 |
| CC030VZFB2 | 3 |
| CC040VZFB2 | 4 |
| CC050VZFB2 | 5 |
| CC070VZFB2 | 7 |
| CC100VZFB2 | 10 |
| CC150VZFB2 | 15 |
| CC200VZFB2 | 20 |
</contents>
