<overview>
ページ54は、AZM46、AZM48、AZM66、AZM69用の中継ケーブルセットについて説明。3本のケーブル（エンコーダ用、モーター用、電磁ブレーキ用）の構成図と4つの製品テーブルを含む。
</overview>

<contents>
## 中継ケーブルセット / 可動中継ケーブルセット
**（AZM46、AZM48、AZM66、AZM69用）**

モーターと接続ケーブルを中継するときに使用します。
モーターとドライバの間の複数ケーブル接続や、使用している接続ケーブルの長さが足りないときに使用します。
モーター用とエンコーダ用の2本組です。電磁ブレーキ付モーター用は、モーター用、エンコーダ用、および電磁ブレーキ用の3本組です。

```mermaid
graph LR
    A[モーター] --> B[中継ケーブルセット] --> C[接続ケーブルセット※1] --> D[ドライバ]

    subgraph "中継ケーブルセット"
        direction TB
        E[エンコーダ用]
        F[モーター用]
        G[電磁ブレーキ用※2]
    end

    subgraph "接続ケーブルセット※1"
        direction TB
        H[エンコーダ用]
        I[モーター用]
        J[電磁ブレーキ用※2]
    end

    A --> E --> H --> D
    A --> F --> I --> D
    A --> G --> J --> D
```

※1 使用している接続ケーブルセットをお選びください。
※2 電磁ブレーキ付モーターのとき。

**(memo)**
・モーターを可動部分に取り付けるときは、可動ケーブルを使用してください。
・中継ケーブルを接続ケーブルに直接呼して継手するときは、ケーブル全長を20 mU下にしてください。

### 製品仕様表

#### 中継ケーブルセット

##### モーター / エンコーダ用

| 品名 | 長さ (m) |
|------|----------|
| CC010VZFT | 1 |
| CC020VZFT | 2 |
| CC030VZFT | 3 |
| CC050VZFT | 5 |
| CC070VZFT | 7 |
| CC100VZFT | 10 |
| CC150VZFT | 15 |

##### モーター / エンコーダ / 電磁ブレーキ用

| 品名 | 長さ (m) |
|------|----------|
| CC010VZFBT | 1 |
| CC020VZFBT | 2 |
| CC030VZFBT | 3 |
| CC050VZFBT | 5 |
| CC070VZFBT | 7 |
| CC100VZFBT | 10 |
| CC150VZFBT | 15 |

#### 可動中継ケーブルセット

##### モーター / エンコーダ用

| 品名 | 長さ (m) |
|------|----------|
| CC010VZRT | 1 |
| CC020VZRT | 2 |
| CC030VZRT | 3 |
| CC050VZRT | 5 |
| CC070VZRT | 7 |
| CC100VZRT | 10 |
| CC150VZRT | 15 |

##### モーター / エンコーダ / 電磁ブレーキ用

| 品名 | 長さ (m) |
|------|----------|
| CC010VZRBT | 1 |
| CC020VZRBT | 2 |
| CC030VZRBT | 3 |
| CC050VZRBT | 5 |
| CC070VZRBT | 7 |
| CC100VZRBT | 10 |
| CC150VZRBT | 15 |
</contents>
