ファイル名: HM-60252J_page163

<overview>
このページは「ユーザー出力」に関する設定項目の説明で構成されています。主にテキストと表で構成されており、各ユーザー出力源（AおよびB）の機能設定、接点設定（信号反転）、および論理結合選択について詳細に記載されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### ユーザー出力
ユーザー出力源AおよびBの機能や接点設定、論理結合選択について説明しています。

---

### 表
#### ユーザー出力源A・機能設定

| MEXE02ツリー表示                     | パラメータ名           | 内容                                                                                   | 初期値          |
|------------------------------------|------------------------|----------------------------------------------------------------------------------------|-----------------|
| EXT-IN・VIR-IN・USR-OUT機能選択    | ユーザー出力源A-機能   | USR-OUT0とUSR-OUT1の出力源Aを設定します。<br>【設定範囲】<br>→166ページ「2-2 出力信号一覧」 | 128: CONST-OFF  |

#### ユーザー出力源A・接点設定（信号反転）

| MEXE02ツリー表示                     | パラメータ名               | 内容                                                                                   | 初期値 |
|------------------------------------|----------------------------|----------------------------------------------------------------------------------------|--------|
| EXT-IN・VIR-IN・USR-OUT機能選択    | ユーザー出力源A-接点設定（信号反転） | ユーザー出力源Aの接点を変更します。<br>【設定範囲】<br>0:反転しない<br>1:反転する          | 0      |

#### ユーザー出力源B・機能設定

| MEXE02ツリー表示                     | パラメータ名           | 内容                                                                                   | 初期値          |
|------------------------------------|------------------------|----------------------------------------------------------------------------------------|-----------------|
| EXT-IN・VIR-IN・USR-OUT機能選択    | ユーザー出力源B-機能   | USR-OUT0とUSR-OUT1の出力源Bを設定します。<br>【設定範囲】<br>→166ページ「2-2 出力信号一覧」 | 128: CONST-OFF  |

#### ユーザー出力源B・接点設定（信号反転）

| MEXE02ツリー表示                     | パラメータ名               | 内容                                                                                   | 初期値 |
|------------------------------------|----------------------------|----------------------------------------------------------------------------------------|--------|
| EXT-IN・VIR-IN・USR-OUT機能選択    | ユーザー出力源B-接点設定（信号反転） | ユーザー出力源Bの接点を変更します。<br>【設定範囲】<br>0:反転しない<br>1:反転する          | 0      |

#### ユーザー出力論理結合選択

| MEXE02ツリー表示                     | パラメータ名           | 内容                                                                                   | 初期値 |
|------------------------------------|------------------------|----------------------------------------------------------------------------------------|--------|
| EXT-IN・VIR-IN・USR-OUT機能選択    | ユーザー出力論理結合選択 | ユーザー出力源AとBの論理結合を設定します。<br>【設定範囲】<br>0:AND<br>1:OR               | 1      |
</contents>
