ファイル名: HM-60252J_page164

<overview>
本ページは「信号一覧」セクションの一部であり、主に入力信号一覧の構成となっています。ページ全体は以下の3つのセクションで構成されています。
1. テキスト部分：信号の割付方法や詳細参照ページの説明文。
2. 表部分：割付No.、信号名、機能を示した入力信号一覧の表。
3. グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 2 信号一覧
入出力信号は、MEXE02またはネットワークで割り付けてください。

#### 2-1 入力信号一覧
ネットワークで信号を割り付けるときは、信号名ではなく表の「割付No.」を使用してください。
各信号の詳細は180ページ「4 入力信号」を参照してください。

### 表
#### 入力信号一覧（割付No.、信号名、機能）

| 割付No. | 信号名       | 機能                                                                                   |
| :------ | :----------- | :------------------------------------------------------------------------------------- |
| 0       | 未使用       | 入力端子を使用しないときに設定します。                                                 |
| 1       | FREE         | モーターの電流を遮断して無励磁にします。電磁ブレーキ付の場合は、電磁ブレーキを解放します。 |
| 2       | C-ON         | モータを励磁します。                                                                   |
| 3       | CLR          | 指令位置と検出位置の偏差（位置偏差）をクリアします。                                   |
| 4       | STOP-COFF    | モーターを停止して、無励磁にします。                                                   |
| 5       | STOP         | モーターを停止させます。                                                               |
| 6       | PAUSE        | モーターを一時停止させます。                                                           |
| 7       | BREAK-ATSQ   | 自動順送を手動順送に切り替えます。形状接続は変わりません。                             |
| 8       | ALM-RST      | 発生中のアラームを解除します。                                                         |
| 9       | P-PRESET     | 機械原点を現在位置に書き換えます。                                                     |
| 10      | EL-PRST      | 電気原点を原点とする座標系に切り替えます。                                             |
| 12      | ETO-CLR      | HWTO1入力とHWTO2入力の両方をONにして動力遮断機能を解除した後、ETO-CLR入力をONにすると、モーターが励磁します。 |
| 13      | LAT-CLR      | ラッチ状態を解除します。                                                               |
| 14      | INFO-CLR     | インフォメーション状態を解除します。                                                   |
| 16      | HMI          | MEXE02の機能制限を解除します。                                                        |
| 18      | CCM          | カレントコントロールモードを切り替えます。                                            |
| 19      | PLS-XMODE    | 入力パルスのパルス数、および周波数の倍率を変更します。                                 |
| 20      | PLS-DIS      | パルス入力を無効にします。                                                             |
| 21      | T-MODE      | 過負荷のアラームを無効にします。                                                       |
| 22      | CRNT-LMT    | 電流制限を行ないません。                                                               |
| 23      | SPD-LMT     | 速度制限を行ないません。                                                               |
| 26      | FW-BLK     | FWD方向の運転を停止します。                                                             |
| 27      | RV-BLK     | RVS方向の運転を停止します。                                                             |
| 28      | FW-LS      | FWD方向のリミットセンサから入力される信号です。                                         |
| 29      | RV-LS      | RVS方向のリミットセンサから入力される信号です。                                         |
| 30      | HOMES     | 機械原点センサから入力される信号です。                                                 |
| 31      | SLIT      | スリットセンサから入力される信号です。                                                 |
| 32      | START     | ストアードデータ運転を実行します。                                                     |
| 33      | SSTART    | ストアードデータ運転を実行します。手動順送運転のときは、結合先の運転を実行します。       |
| 35      | NEXT      | 結合された運転データNo.へ強制的に遷移します。                                         |
| 36      | HOME      | 原点復帰運転を実行します。                                                             |
| 37      | ZHOME     | 高速原点復帰運転を実行します。                                                         |
| 40      | D-SEL0    |                                                                                         |
| 41      | D-SEL1    |                                                                                         |
| 42      | D-SEL2    |                                                                                         |
| 43      | D-SEL3    | ダイレクト位置決め運転を実行します。                                                   |
| 44      | D-SEL4    |                                                                                         |
| 45      | D-SEL5    |                                                                                         |
| 46      | D-SEL6    |                                                                                         |
</contents>
