ファイル名: HM-60252J_page166

<overview>
このページは「出力信号一覧」に関する内容で構成されています。ページ全体は以下のセクションで構成されています。
- テキスト部分：信号割り当て時の注意事項や参照ページの案内
- 表部分：割付No.、信号名、機能の3列からなる出力信号一覧表
- グラフや図は含まれていません
</overview>

<contents>
### テキスト
#### 出力信号一覧について
ネットワークで信号を割り付ける際は、信号名ではなく表の「割付No.」を使用してください。
各信号の詳細は203ページ「5 出力信号」を参照してください。

### 表
#### 出力信号一覧

| 割付No. | 信号名         | 機能                             |
| :------ | :------------- | :------------------------------- |
| 0       | 未使用         | 出力端子を使用しないときに設定します。 |
| 1       | FREE_R         |                                 |
| 2       | C-ON_R         |                                 |
| 3       | CLR_R          |                                 |
| 4       | STOP-COFF_R    |                                 |
| 5       | STOP_R         |                                 |
| 6       | PAUSE_R        |                                 |
| 7       | BREAK-ATSQ_R   |                                 |
| 8       | ALM-RST_R      |                                 |
| 9       | P-PRESET_R     |                                 |
| 10      | EL-PRST_R      |                                 |
| 12      | ETO-CLR_R      |                                 |
| 13      | LAT-CLR_R      |                                 |
| 14      | INFO-CLR_R     |                                 |
| 16      | HMI_R          |                                 |
| 18      | CCM_R          |                                 |
| 19      | PLS-XMODE_R    |                                 |
| 20      | PLS-DIS_R      |                                 |
| 21      | T-MODE_R       |                                 |
| 22      | CRNT-LMT_R     |                                 |
| 23      | SPD-LMT_R      |                                 |
| 26      | FW-BLK_R       |                                 |
| 27      | RV-BLK_R       |                                 |
| 28      | FW-LS_R        |                                 |
| 29      | RV-LS_R        |                                 |
| 30      | HOMES_R        |                                 |
| 31      | SLIT_R         |                                 |
| 32      | START_R        |                                 |
| 33      | SSTART_R       |                                 |
| 35      | NEXT_R         |                                 |
| 36      | HOME_R         |                                 |
| 37      | ZHOME_R        |                                 |
| 40      | D-SEL0_R       |                                 |
| 41      | D-SEL1_R       |                                 |
| 42      | D-SEL2_R       |                                 |
| 43      | D-SEL3_R       |                                 |
| 44      | D-SEL4_R       |                                 |
| 45      | D-SEL5_R       |                                 |
| 46      | D-SEL6_R       |                                 |
| 47      | D-SEL7_R       |                                 |
| 48      | FW-JOG_R       |                                 |
| 49      | RV-JOG_R       |                                 |
| 50      | FW-JOG-H_R     |                                 |
| 51      | RV-JOG-H_R     |                                 |
| 52      | FW-JOG-P_R     |                                 |
| 53      | RV-JOG-P_R     |                                 |
| 54      | FW-JOG-C_R     |                                 |

**機能について**
- 割付No.0の「未使用」は、出力端子を使用しない場合に設定します。
- その他の信号は「入力信号に対する応答を出力します」と記載されていますが、詳細な機能説明は省略されています。
</contents>
