ファイル名: HM-60252J_page233

<overview>
このページは「パラメータ：ETO・Alarm・Info設定」に関する内容で構成されています。主に表形式でパラメータ名、内容、設定範囲、初期値が一覧で示されています。テキスト部分はパラメータの説明が中心で、表部分がメインの構成です。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメータ：ETO・Alarm・Info設定一覧

| パラメータ名                         | 内容                                                                                         | 設定範囲                         | 初期値 |
|------------------------------------|--------------------------------------------------------------------------------------------|---------------------------------|--------|
| HWTO動作                           | HWTO1入力またはHWTO2入力をOFFにしたときにアラームを発生させる。                             | 0:アラーム発生なし<br>1:アラーム発生あり | 0      |
| HWTO-2重系異常検出遅延時間         | HWTO1入力またはHWTO2入力の片方がOFFになってからもう片方の入力がOFFになるまでの時間が設定値を過ぎるとアラーム発生。 | 0～10（無効）、11～100 ms       | 0      |
| ETO解除無効時間                    | ETO-CLR入力が無効になる時間を設定。設定時間まではETO-CLR入力ONでもモーター励磁不可。          | 0～100 ms                       | 0      |
| ETO解除動作（ETO-CLR入力）          | ETO-CLR入力でモーター励磁時の信号判定基準設定。                                             | 1:ONエッジ<br>2:ONレベル         | 1      |
| ETO解除動作（ALM-RST入力）          | ALM-RST入力でモーター励磁。                                                                | 0:無効<br>1:ONエッジで励磁       | 0      |
| ETO解除動作（C-ON入力）             | C-ON入力でモーター励磁。                                                                   | 0:無効<br>1:ONエッジで励磁       | 0      |
| ETO解除動作（STOP入力）              | STOP入力でモーター励磁。                                                                    | 0:無効<br>1:ONエッジで励磁       | 1      |
| 過負荷アラーム                     | 過負荷アラームの発生条件設定。                                                             | 1～300（1=0.1秒）               | 50     |
| 位置偏差過大アラーム               | 位置偏差過大アラームの発生条件設定。                                                       | 1～30,000（1=0.01 rev）          | 300    |
| INFO自動クリア                    | インフォメーション原因除去時にINFO出力や対応するビット出力を自動OFFにするか設定。             | 0:無効（自動OFFにならない）<br>1:有効（自動OFFになる） | 1      |
| INFO LED表示                      | インフォメーション発生時のLED状態設定。                                                    | 0:LED点滅させない<br>1:LED点滅させる | 1      |
| INFO-USRIO出力選択                | INFO-USRIO出力で確認するI/Oステータス選択。                                               | 出力信号一覧→252ページ          | 128:CONST-OFF |
| INFO-USRIO出力反転                | INFO-USRIO出力の出力論理設定。                                                             | 0:反転しない<br>1:反転する       | 0      |
| 位置偏差インフォメーション（INFO-POSERR） | 位置偏差インフォメーションの発生条件設定。                                                | 1～30,000（1=0.01 rev）          | 300    |
| ドライバ温度インフォメーション（INFO-DRV_TMP） | ドライバ温度インフォメーションの発生条件設定。                                            | 40～85 ℃                       | 85     |
| モーター温度インフォメーション（INFO-MTR_TMP） | モーター温度インフォメーションの発生条件設定。                                            | 40～120 ℃                      | 85     |
| 過電圧インフォメーション（INFO-OVOLT）[ACドライバ] | AC電源ドライバの過電圧インフォメーション発生条件設定。                                   | 120～450 V                    | 435    |
| 不足電圧インフォメーション（INFO-UVOLT）[ACドライバ] | AC電源ドライバの不足電圧インフォメーション発生条件設定。                                 | 120～280 V                    | 120    |
| 過電圧インフォメーション（INFO-OVOLT）[DCドライバ] | DC電源ドライバの過電圧インフォメーション発生条件設定。                                   | 150～630（1=0.1 V）             | 630    |

</contents>
