ファイル名: HM-60252J_page236

<overview>
本ページは「パラメータ:I/O動作・機能」に関する説明で構成されています。主に表形式で、各パラメータ名、内容、設定範囲、初期値が一覧で示されています。テキスト部分はパラメータの説明文で、表部分はパラメータの詳細情報を体系的にまとめています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト・表
#### パラメータ:I/O動作・機能一覧

| パラメータ名               | 内容                                                                                     | 設定範囲                                                                                     | 初期値 |
|----------------------------|------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------|--------|
| STOP・STOP-COFF入力停止方法 | STOP入力またはSTOP-COFF入力がONになったときの、モーターの停止方法を設定します。         | 0:STOP入力、STOP-COFFともに即停止<br>1:STOP入力は減速停止、STOP-COFF入力は即停止<br>2:STOP入力は即停止、STOP-COFF入力は減速停止<br>3:STOP入力、STOP-COFF入力ともに減速停止 | 3      |
| FW-LS・RV-LS入力動作        | FW-LS入力またはRV-LS入力がONになったときの、モーターの停止方法を設定します。             | -1:原点復帰センサとして使う<br>0:即停止<br>1:減速停止<br>2:即停止(アラーム発生)<br>3:減速停止(アラーム発生) | 2      |
| FW-BLK・RV-BLK入力停止方法  | FW-BLK入力またはRV-BLK入力がONになったときの、モーターの停止方法を設定します。           | 0:即停止<br>1:減速停止                                                                          | 1      |
| IN-POS出力判定距離          | 目標位置を中心に、IN-POS出力の出力範囲（ローターが収束する角度範囲）を設定します。       | 0～180 (1=0.1°)                                                                             | 18     |
| IN-POS出力オフセット        | 目標位置からのオフセット量を設定します。                                                 | -18～18 (1=0.1°)                                                                            | 0      |
| D-SEL運転起動               | D-SEL入力がONになったときに運転を起動させるかを設定します。                             | 0:運転データNo.選択のみ<br>1:運転データNo.選択+START機能                                     | 1      |
| TEACH運転方式設定           | ティーチングで「位置」を設定したときの運転方式を選択します。                             | -1:運転方式を設定しない<br>1:絶対位置決め<br>8:ラウンド絶対位置決め                          | 1      |
| ZSG幅                       | ZSG出力の出力幅を設定します。                                                           | 1～1,800 (1=0.1°)                                                                           | 18     |
| RND-ZERO幅                  | RND-ZERO出力の出力幅を設定します。                                                      | 1～10,000 step                                                                             | 10     |
| RND-ZERO対象設定            | RND-ZERO出力の基準を設定します。                                                       | 0:検出位置基準<br>1:指令位置基準                                                           | 0      |
| MOVE出力最小ON時間          | MOVE出力の最小ON時間を設定します。                                                      | 0～255 ms                                                                                   | 0      |
| PAUSE時待機動作選択         | PAUSE入力が入力されたときの待機状態を選択します。                                       | 0:停止状態で待機（カレントダウン）<br>1:運転状態で待機（運転電流を維持）                     | 0      |
| T-MODE使用時停止中電流設定  | T-MODE入力がONの状態でモーターが停止しているときの指令電流を選択します。                 | 0:停止電流<br>1:運転電流                                                                   | 0      |
| PLS-XMODEパルス倍率         | パルス列運転で有効です。PLS-XMODE入力をONにしたときのパルス倍率を設定します。           | 2～30倍                                                                                     | 10     |
| CRNT-LMT運転電流制限値      | CRNT-LMT入力で制限される運転電流を設定します。基本電流を100%として、運転電流の割合を設定。 | 0～1,000 (1=0.1%)                                                                          | 500    |
| SPD-LMT速度制限方法         | 速度制限値の設定方法を選択します。                                                      | 0:割合<br>1:値                                                                             | 0      |
| SPD-LMT速度割合             | 運転データの「速度」を100%として、制限する速度の割合を設定します。                       | 1～100%                                                                                    | 50     |
| SPD-LMT速度上限値           | 速度制限値を「値」で設定します。                                                        | 1～4,000,000 Hz                                                                           | 1,000  |
| JOG-C連続運転移行時間       | 複合JOG運転で、インチング運転からJOG運転に遷移するタイミングを設定します。             | 1～5,000 (1=0.001s)                                                                        | 500    |
| JOG-C高速連続運転移行時間   | 複合JOG運転で、JOG運転から高速JOG運転に遷移するタイミングを設定します。                 | 1～5,000 (1=0.001s)                                                                        | 1,000  |

</contents>
