ファイル名: HM-60252J_page237

<overview>
このページはパラメータ設定に関する内容で構成されています。主に表形式で、各パラメータ名、内容、設定範囲、初期値が一覧で示されています。テキスト部分はパラメータの説明が中心で、表部分がメインの構成です。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメータ設定一覧

| パラメータ名           | 内容                                                                                              | 設定範囲                                                                                                   | 初期値 |
|------------------------|-------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------|--------|
| PLS-LOST判定方式       | パルス列運転で有効。無効になったパルスの数をカウントし、回転方向に応じてカウント増減を選択可能。符号付き検出にするとFWD方向パルスは正、RVS方向パルスは負でカウント。 | 0:符号無し検出<br>1:符号付き検出                                                                                 | 0      |
| MON-REQ0対象設定       | MON-REQ0入力をONにしたときに、I/O位置出力機能で出力される情報を選択。                                               | 1:検出位置(32bit)<br>2:検出位置32bitカウンタ(32bit)<br>3:指令位置(32bit)<br>4:指令位置32bitカウンタ(32bit)<br>8:アラームコード(8bit)<br>9:検出位置(32bit)&アラームコード(8bit)<br>10:検出位置32bitカウンタ(32bit)&アラームコード(8bit)<br>11:指令位置(32bit)&アラームコード(8bit)<br>12:指令位置32bitカウンタ(32bit)&アラームコード(8bit) | 1      |
| MON-REQ1対象設定       | MON-REQ1入力をONにしたときに、I/O位置出力機能で出力される情報を選択。                                               | 1:検出位置(32bit)<br>2:検出位置32bitカウンタ(32bit)<br>3:指令位置(32bit)<br>4:指令位置32bitカウンタ(32bit)<br>8:アラームコード(8bit)<br>9:検出位置(32bit)&アラームコード(8bit)<br>10:検出位置32bitカウンタ(32bit)&アラームコード(8bit)<br>11:指令位置(32bit)&アラームコード(8bit)<br>12:指令位置32bitカウンタ(32bit)&アラームコード(8bit) | 8      |
| PLSOUT対象設定         | パルスリクエスト機能で出力される情報を選択。                                                             | 0:指令位置(32bit)<br>1:指令位置32bitカウンタ(32bit)<br>2:検出位置(32bit)<br>3:検出位置32bitカウンタ(32bit)                                         | 0      |
| PLSOUT最大周波数       | パルスリクエスト機能で使用する出力パルスの周波数を設定。                                                   | 1～10,000 (1=0.1kHz)                                                                                       | 100    |
| VA判定対象             | VA出力の判定基準を選択。パルス列運転の場合は「検出速度到達(検出位置基準)」のみ有効。                             | 0:検出速度到達(検出位置基準)<br>1:プロファイル指令速度到達(指令位置基準)<br>2:速度到達(検出速度&プロファイル指令速度)                             | 0      |
| VA検出幅               | 「VA判定対象」パラメータを「検出速度到達」または「速度到達」に設定した場合の検出速度の判定許容範囲を設定。           | 1～200 r/min                                                                                               | 30     |
| MAREA出力設定          | MAREA出力をONにする基準、および運転後のMAREA出力状態を設定。                                               | 0:検出位置基準(運転後も判定維持)<br>1:指令位置基準(運転後も判定維持)<br>2:検出位置基準(運転完了時OFF)<br>3:指令位置基準(運転完了時OFF)             | 0      |
| D-SEL0 No.選択         | D-SEL0入力がONになったときに起動する運転データNo.を設定。                                                  | 0～255:運転データNo.                                                                                        | 0      |
| D-SEL1 No.選択         | D-SEL1入力がONになったときに起動する運転データNo.を設定。                                                  | 0～255:運転データNo.                                                                                        | 1      |
| D-SEL2 No.選択         | D-SEL2入力がONになったときに起動する運転データNo.を設定。                                                  | 0～255:運転データNo.                                                                                        | 2      |
| D-SEL3 No.選択         | D-SEL3入力がONになったときに起動する運転データNo.を設定。                                                  | 0～255:運転データNo.                                                                                        | 3      |
| D-SEL4 No.選択         | D-SEL4入力がONになったときに起動する運転データNo.を設定。                                                  | 0～255:運転データNo.                                                                                        | 4      |
| D-SEL5 No.選択         | D-SEL5入力がONになったときに起動する運転データNo.を設定。                                                  | 0～255:運転データNo.                                                                                        | 5      |
| D-SEL6 No.選択         | D-SEL6入力がONになったときに起動する運転データNo.を設定。                                                  | 0～255:運転データNo.                                                                                        | 6      |
| D-SEL7 No.選択         | D-SEL7入力がONになったときに起動する運転データNo.を設定。                                                  | 0～255:運転データNo.                                                                                        | 7      |

</contents>
