ファイル名: HM-60252J_page239

<overview>
このページは表形式で構成されており、パラメータ名、内容、設定範囲、初期値の4つのカラムからなるパラメータ設定一覧表が掲載されています。テキスト部分はパラメータの説明文で、表部分がメインの構成です。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメータ:I/O動作・機能

| パラメータ名               | 内容                                                                 | 設定範囲                                                                                 | 初期値 |
|----------------------------|----------------------------------------------------------------------|------------------------------------------------------------------------------------------|--------|
| AREA4範囲指定方法           | AREA4出力の範囲指定方法を設定します。                               | 0:絶対値で範囲指定<br>1:目標位置からのオフセット・幅を指定                             | 0      |
| AREA4位置判定基準           | AREA4出力の位置判定基準を設定します。                               | 0:検出位置基準<br>1:指令位置基準                                                         | 0      |
| AREA5+位置/オフセット       | AREA5出力の＋方向位置、または目標位置からのオフセットを設定します。 | -2,147,483,648～2,147,483,647 step                                                      | 0      |
| AREA5−位置/判定距離         | AREA5出力の−方向位置、またはオフセット位置からの距離を設定します。 | -2,147,483,648～2,147,483,647 step                                                      | 0      |
| AREA5範囲指定方法           | AREA5出力の範囲指定方法を設定します。                               | 0:絶対値で範囲指定<br>1:目標位置からのオフセット・幅を指定                             | 0      |
| AREA5位置判定基準           | AREA5出力の位置判定基準を設定します。                               | 0:検出位置基準<br>1:指令位置基準                                                         | 0      |
| AREA6+位置/オフセット       | AREA6出力の＋方向位置、または目標位置からのオフセットを設定します。 | -2,147,483,648～2,147,483,647 step                                                      | 0      |
| AREA6−位置/判定距離         | AREA6出力の−方向位置、またはオフセット位置からの距離を設定します。 | -2,147,483,648～2,147,483,647 step                                                      | 0      |
| AREA6範囲指定方法           | AREA6出力の範囲指定方法を設定します。                               | 0:絶対値で範囲指定<br>1:目標位置からのオフセット・幅を指定                             | 0      |
| AREA6位置判定基準           | AREA6出力の位置判定基準を設定します。                               | 0:検出位置基準<br>1:指令位置基準                                                         | 0      |
| AREA7+位置/オフセット       | AREA7出力の＋方向位置、または目標位置からのオフセットを設定します。 | -2,147,483,648～2,147,483,647 step                                                      | 0      |
| AREA7−位置/判定距離         | AREA7出力の−方向位置、またはオフセット位置からの距離を設定します。 | -2,147,483,648～2,147,483,647 step                                                      | 0      |
| AREA7範囲指定方法           | AREA7出力の範囲指定方法を設定します。                               | 0:絶対値で範囲指定<br>1:目標位置からのオフセット・幅を指定                             | 0      |
| AREA7位置判定基準           | AREA7出力の位置判定基準を設定します。                               | 0:検出位置基準<br>1:指令位置基準                                                         | 0      |

</contents>
