ファイル名: HM-60252J_page244

<overview>
本ページは「パラメータ：EXT-IN・VIR-IN・USR-OUT機能選択（拡張）」に関する説明で構成されています。ページ全体は表形式で、各パラメータ名、内容、設定範囲、初期値が整理されています。テキスト部分はパラメータの説明文で、表部分がメインの構成です。グラフや図は含まれていません。
</overview>

<contents>
### テキスト・表
#### パラメータ：EXT-IN・VIR-IN・USR-OUT機能選択（拡張）

| パラメータ名 | 内容 | 設定範囲 | 初期値 |
| :--- | :--- | :--- | :--- |
| 拡張入力（EXT-IN）機能 | HOME PRESETスイッチに割り付ける入力信号を選択します。 | 入力信号一覧 →251ページ | 9:P-PRESET |
| 拡張入力（EXT-IN）接点設定（信号反転） | HOME PRESETスイッチに割り付ける入力信号の接点設定を変更します。 | 0:反転しない 1:反転する | 0 |
| 拡張入力（EXT-IN）インターロック解除長押時間 | 通常、HOME PRESETスイッチはインターロックがかかっています。スイッチを一定時間押し続けることで、インターロックが解除され割り当てた機能が有効になります。このパラメータではインターロックを解除するためにスイッチを押し続ける時間を設定します。 | 0:インターロック無効 1～50（1=0.1秒） | 10 |
| 拡張入力（EXT-IN）インターロック解除継続時間 | インターロックが解除された状態を継続する時間を設定します。 | 0～50（1=0.1秒） | 30 |
| 拡張入力（EXT-IN）ON確認表示時間 | スイッチに割り当てた信号が入力されるとLEDが点灯します。このパラメータではLEDの点灯時間を設定します。 | 0～50（1=0.1秒） | 10 |
| 差動出力機能選択 | 差動出力から出力される信号の種類を選択します。 | -1:出力しない 0:A相/B相出力 8:I/Oステータス出力 | 0 |
| 差動出力（EXT-OUTA）-I/Oステータス出力選択時機能選択 | 「差動出力機能選択」パラメータを「I/Oステータス出力」に設定したときに有効です。差動出力に割り付ける出力信号を選択します。 | 出力信号一覧 →252ページ | 128:CONST-OFF |
| 差動出力（EXT-OUTA）-I/Oステータス出力選択時接点設定（信号反転） | 「差動出力機能選択」パラメータを「I/Oステータス出力」に設定したときに有効です。差動出力の接点設定を変更します。 | 0:反転しない 1:反転する | 0 |
| 差動出力（EXT-OUTA）-I/Oステータス出力選択時OFF出力遅延時間 | 「差動出力機能選択」パラメータを「I/Oステータス出力」に設定したときに有効です。出力信号のOFF出力遅延時間を設定します。 | 0～250ms | 0 |
| 差動出力（EXT-OUTB）-I/Oステータス出力選択時機能選択 | 「差動出力機能選択」パラメータを「I/Oステータス出力」に設定したときに有効です。差動出力に割り付ける出力信号を選択します。 | 出力信号一覧 →252ページ | 128:CONST-OFF |
| 差動出力（EXT-OUTB）-I/Oステータス出力選択時接点設定（信号反転） | 「差動出力機能選択」パラメータを「I/Oステータス出力」に設定したときに有効です。差動出力の接点設定を変更します。 | 0:反転しない 1:反転する | 0 |
| 差動出力（EXT-OUTB）-I/Oステータス出力選択時OFF出力遅延時間 | 「差動出力機能選択」パラメータを「I/Oステータス出力」に設定したときに有効です。出力信号のOFF出力遅延時間を設定します。 | 0～250ms | 0 |
| 仮想入力（VIR-IN0）機能 | VIR-IN0に割り付ける入力信号を選択します。 | 入力信号一覧 →251ページ | 0:未使用 |
| 仮想入力（VIR-IN0）源選択 | VIR-IN0のトリガにする出力信号を選択します。 | 出力信号一覧 →252ページ | 128:CONST-OFF |
| 仮想入力（VIR-IN0）接点設定（信号反転） | VIR-IN0の接点設定を変更します。 | 0:反転しない 1:反転する | 0 |
| 仮想入力（VIR-IN0）ON信号検出不感時間 | VIR-IN0のON信号検出不感時間を設定します。 | 0～250ms | 0 |
| 仮想入力（VIR-IN0）強制1shot | VIR-IN0の強制1shot機能を有効にします。 | 0:1shot機能が無効 1:1shot機能が有効 | 0 |
| 仮想入力（VIR-IN1）機能 | VIR-IN1に割り付ける入力信号を選択します。 | 入力信号一覧 →251ページ | 0:未使用 |
| 仮想入力（VIR-IN1）源選択 | VIR-IN1のトリガにする出力信号を選択します。 | 出力信号一覧 →252ページ | 128:CONST-OFF |
| 仮想入力（VIR-IN1）接点設定（信号反転） | VIR-IN1の接点設定を変更します。 | 0:反転しない 1:反転する | 0 |

</contents>
