ファイル名: HM-60252J_page247

<overview>
このPDFページは、通信・I/F機能に関するパラメータ設定の一覧表で構成されています。  
ページ全体は表形式で、各パラメータ名、内容、設定範囲、初期値が列挙されています。  
テキスト部分はパラメータの説明文で、表部分はパラメータの詳細な設定項目と値の範囲を示しています。  
グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメータ: 通信・I/F機能設定一覧

| パラメータ名                     | 内容                                                                                     | 設定範囲                                                                                              | 初期値 |
|---------------------------------|------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------|--------|
| 通信順序 (Modbus)               | Modbus通信で有効。32bitデータのバイト順序（バイトオーダー）を設定。通信データの配置がクライアントと異なる場合に設定。 | 0: Even Address-High Word & Big-Endian<br>1: Even Address-Low Word & Big-Endian<br>2: Even Address-High Word & Little-Endian<br>3: Even Address-Low Word & Little-Endian | 0      |
| 通信パリティ (Modbus)           | Modbus通信で有効。通信パリティを設定。                                                     | 0: なし<br>1: 偶数パリティ<br>2: 奇数パリティ                                                        | 1      |
| 通信ストップビット (Modbus)     | Modbus通信で有効。通信ストップビットを設定。                                               | 0: 1ビット<br>1: 2ビット                                                                           | 0      |
| 通信タイムアウト (Modbus)       | Modbus通信で有効。通信タイムアウトの発生条件を設定。                                       | 0: 監視しない<br>1～10,000 ms                                                                       | 0      |
| 通信異常アラーム (Modbus)       | Modbus通信で有効。設定した回数だけRS-485通信異常が発生すると、RS-485通信異常のアラームが発生。 | 1～10回                                                                                            | 3      |
| 送信待ち時間 (Modbus)           | Modbus通信で有効。送信待ち時間を設定。                                                     | 0～10,000 (1=0.1 ms)                                                                                | 30     |
| サイレントインターバル (Modbus) | Modbus通信で有効。サイレントインターバルを設定。                                           | 0: 自動<br>1～100 (1=0.1 ms)                                                                       | 0      |
| サーバーエラー検出時応答 (Modbus) | Modbus通信で有効。サーバーエラー発生時のレスポンスを設定。                                 | 0: 正常応答を返す<br>1: 例外応答を返す                                                             | 1      |
| グループID初期値 (Modbus)       | Modbus通信で有効。グループのアドレス（親サーバーの号機番号）を設定。                       | -1: 無効（グループ送信しない）<br>1～31: グループID<br>※0は使用しない                             | -1     |
| テストモードタイムアウト (Modbus) | Modbus通信の予約機能。使用不可。                                                           | 1～10,000 ms                                                                                       | 300    |
| 通信ID (NETC)                   | FAネットワークで有効。号機番号（デバイスアドレス）を設定。                                 | -1: ドライバのスイッチ設定に従う<br>0～31: 号機番号                                               | -1     |
| グループID初期値 (NETC)         | FAネットワークで有効。グループのアドレス（親デバイスの号機番号）を設定。                   | -1: 無効<br>0～31: グループID                                                                     | -1     |
| Baudrate (NETC) ※2              | FAネットワークで有効。通信速度を設定。                                                     | 0: 9,600 bps<br>1: 19,200 bps<br>2: 38,400 bps<br>3: 57,600 bps<br>4: 115,200 bps<br>5: 230,400 bps<br>6: 312,500 bps<br>7: 625,000 bps | 7      |
| フレーム時間 (NETC) ※2          | FAネットワークで有効。フレーム時間を設定。                                                 | 1～10,000 ms                                                                                       | 50     |
| 接続待ち時間 (NETC) ※2          | FAネットワークで有効。接続待ち時間を設定。                                                 | 0～10,000 ms                                                                                       | 80     |
| 通信タイムアウト (NETC) ※2      | FAネットワークで有効。通信タイムアウトの発生条件を設定。                                   | 0: 監視しない<br>1～10,000 ms                                                                     | 0      |
| 通信異常アラーム (NETC) ※2      | FAネットワークで有効。設定した回数だけRS-485通信異常が発生すると、RS-485通信異常のアラームが発生。 | 1～10回                                                                                            | 3      |
| 送信待ち時間 (NETC) ※2          | FAネットワークで有効。送信待ち時間を設定。                                                 | 0～10,000 (1=0.1 ms)                                                                              | 100    |
| コネクション確認 (NETC) ※2      | FAネットワークで有効。接続が確立したかどうかを確認。                                       | 0: 無効<br>1: 有効                                                                                 | 1      |

</contents>
