ファイル名: HM-60252J_page261

<overview>
このページは「CRC-16の計算例」に関する内容で構成されています。テキスト部分ではCRC-16計算の概要と条件が説明されており、表部分では具体的な計算過程のビット列と結果が詳細に示されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### CRC-16の計算例
1バイト目のサーバーアドレスを02h、2バイト目のファンクションコードを07hとした場合のCRC-16計算例を示しています。実際のCRC-16計算結果は3バイト目以降のデータも含めて計算されます。

### 表
#### CRC-16計算過程詳細

| 内容               | 結果                         | 桁あふれ |
|--------------------|------------------------------|----------|
| CRCレジスタ初期値FFFFh | 1111 1111 1111 1111          | －       |
| 先頭バイト02h       | 0000 0000 0000 0010          | －       |
| 初期値FFFFhとXOR    | 1111 1111 1111 1101          | －       |
| 右シフト1回目       | 0111 1111 1111 1110          | 1        |
| A001hとXOR          | 1010 0000 0000 0001<br>1101 1111 1111 1111 | －       |
| 右シフト2回目       | 0110 1111 1111 1111          | 1        |
| A001hとXOR          | 1010 0000 0000 0001<br>1100 1111 1111 1110 | －       |
| 右シフト3回目       | 0110 0111 1111 1111          | 0        |
| 右シフト4回目       | 0011 0011 1111 1111          | 1        |
| A001hとXOR          | 1010 0000 0000 0001<br>1001 0011 1111 1110 | －       |
| 右シフト5回目       | 0100 1001 1111 1111          | 0        |
| 右シフト6回目       | 0010 0100 1111 1111          | 1        |
| A001hとXOR          | 1010 0000 0000 0001<br>1000 0100 1111 1110 | －       |
| 右シフト7回目       | 0100 0010 0111 1111          | 0        |
| 右シフト8回目       | 0010 0001 0011 1111          | 1        |
| A001hとXOR          | 1010 0000 0000 0001<br>1000 0001 0011 1110 | －       |
| 次のバイト07hとXOR  | 0000 0000 0000 0111<br>1000 0001 0011 1001 | －       |
| 右シフト1回目       | 0100 0000 1001 1100          | 1        |
| A001hとXOR          | 1010 0000 0000 0001<br>1110 0000 1001 1101 | －       |
| 右シフト2回目       | 0111 0000 0100 1110          | 1        |
| A001hとXOR          | 1010 0000 0000 0001<br>1101 0000 0100 1111 | －       |
| 右シフト3回目       | 0110 1000 0010 0111          | 1        |
| A001hとXOR          | 1010 0000 0000 0001<br>1100 1000 0010 0110 | －       |
| 右シフト4回目       | 0110 0100 0001 0011          | 0        |
| 右シフト5回目       | 0011 0010 0000 1001          | 1        |
| A001hとXOR          | 1010 0000 0000 0001<br>1001 0010 0000 1000 | －       |
| 右シフト6回目       | 0100 1001 0000 0100          | 0        |
| 右シフト7回目       | 0010 0100 1000 0010          | 0        |
| 右シフト8回目       | 0001 0010 0100 0001          | 0        |
| CRC-16の結果        | 0001 0010 0100 0001          | －       |

</contents>
