ファイル名: HM-60252J_page265

<overview>
本ページはModbus RTU制御（RS-485通信）に関する説明の一部で、主に「保持レジスタへの書き込み（06h）」コマンドの仕様と使用例について構成されています。ページ全体は以下のセクションで構成されています。
- テキスト部分：コマンドの説明、書き込み時の注意点、書き込み例の説明
- 表部分：クエリおよびレスポンスの各フィールドの詳細を示す表、書き込み例のデータ表
- グラフ・図はなし
</overview>

<contents>
### テキスト
#### 3-2 保持レジスタへの書き込み（06h）
指定したレジスタにデータを書き込みます。ただし、上位と下位を合わせた結果がデータ範囲外になる場合があるため、可能な限り複数の保持レジスタへの書き込み（10h）を使用し、上位と下位を同時に書き込むことが推奨されています。

##### ■書き込みの例
サーバーアドレス2の指令フィルタ時定数に80（50h）を書き込みます。

### 表
#### 書き込み例のデータ
| 内容               | レジスタアドレス | 書き込む値 | 10進数の表示 |
| :----------------- | :--------------- | :--------- | :----------- |
| 指令フィルタ時定数（下位） | 597 (255h)       | 50h       | 80           |

#### クエリ
| フィールド名称       | データ | 内容                     |
| :------------------- | :----- | :----------------------- |
| サーバーアドレス     | 02h    | サーバーアドレス2        |
| ファンクションコード | 06h    | 保持レジスタへの書き込み |
| データ               |        |                          |
| ├ レジスタアドレス（上位） | 02h    | 書き込みを行なうレジスタアドレス |
| ├ レジスタアドレス（下位） | 55h    |                          |
| ├ ライト値（上位）   | 00h    | レジスタアドレスに書き込む値 |
| └ ライト値（下位）   | 50h    |                          |
| エラーチェック（下位） | 98h    | CRC-16の計算結果          |
| エラーチェック（上位） | 6Dh    |                           |

#### レスポンス
| フィールド名称       | データ | 内容           |
| :------------------- | :----- | :------------- |
| サーバーアドレス     | 02h    | クエリと同じ値 |
| ファンクションコード | 06h    | クエリと同じ値 |
| データ               |        |                |
| ├ レジスタアドレス（上位） | 02h    | クエリと同じ値 |
| ├ レジスタアドレス（下位） | 55h    |                |
| ├ ライト値（上位）   | 00h    | クエリと同じ値 |
| └ ライト値（下位）   | 50h    |                |
| エラーチェック（下位） | 98h    | CRC-16の計算結果 |
| エラーチェック（上位） | 6Dh    |                |
</contents>
