ファイル名: HM-60252J_page285

<overview>
このページはModbus RTUモードによるデータの設定例を示しており、主にテキスト説明と複数の表で構成されています。テキスト部分では連続運転停止時の操作手順が簡潔に記載されており、表部分では「レスポンス」と「クエリ」の各データ構造が詳細に示されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
連続運転を停止するときは、次のクエリを送信して、FW-POSをOFFに戻します。これによりモーターが減速停止します。

### 表

#### レスポンス（1回目）
| フィールド名称       | データ  | 内容               |
| :------------------ | :------ | :----------------- |
| サーバーアドレス     | 01h     | クエリと同じ値     |
| ファンクションコード | 06h     | クエリと同じ値     |
| データ               |         |                    |
| - レジスタアドレス(上位) | 00h     | クエリと同じ値     |
| - レジスタアドレス(下位) | 7Dh     | クエリと同じ値     |
| - ライト値(上位)     | 40h     | クエリと同じ値     |
| - ライト値(下位)     | 00h     | クエリと同じ値     |
| エラーチェック(下位) | 28h     | CRC-16の計算結果   |
| エラーチェック(上位) | 12h     | CRC-16の計算結果   |

#### クエリ
| フィールド名称       | データ  | 内容                                         |
| :------------------ | :------ | :------------------------------------------- |
| サーバーアドレス     | 01h     | サーバーアドレス1                            |
| ファンクションコード | 06h     | 保持レジスタへの書き込み                      |
| データ               |         |                                              |
| - レジスタアドレス(上位) | 00h     | 書き込みを行なうレジスタアドレス=ドライバ入力指令(007Dh) |
| - レジスタアドレス(下位) | 7Dh     | 書き込みを行なうレジスタアドレス=ドライバ入力指令(007Dh) |
| - ライト値(上位)     | 00h     | レジスタアドレスに書き込む値=FW-POS OFF(0000h) |
| - ライト値(下位)     | 00h     | レジスタアドレスに書き込む値=FW-POS OFF(0000h) |
| エラーチェック(下位) | 19h     | CRC-16の計算結果                             |
| エラーチェック(上位) | D2h     | CRC-16の計算結果                             |

#### レスポンス（2回目）
| フィールド名称       | データ  | 内容               |
| :------------------ | :------ | :----------------- |
| サーバーアドレス     | 01h     | クエリと同じ値     |
| ファンクションコード | 06h     | クエリと同じ値     |
| データ               |         |                    |
| - レジスタアドレス(上位) | 00h     | クエリと同じ値     |
| - レジスタアドレス(下位) | 7Dh     | クエリと同じ値     |
| - ライト値(上位)     | 00h     | クエリと同じ値     |
| - ライト値(下位)     | 00h     | クエリと同じ値     |
| エラーチェック(下位) | 19h     | CRC-16の計算結果   |
| エラーチェック(上位) | D2h     | CRC-16の計算結果   |
</contents>
