ファイル名: HM-60252J_page287

<overview>
このページは「Modbus RTUモードによるデータの設定例」に関する内容で構成されています。ページ全体は主に表部分で構成されており、Modbus RTU通信におけるレスポンスデータの各フィールドの名称、データ値、内容を示した表が掲載されています。テキスト部分は表のタイトルと簡単な説明のみで、図やグラフは含まれていません。
</overview>

<contents>
### テキスト
#### Modbus RTUモードによるデータの設定例
レスポンス

### 表
#### レスポンスデータのフィールド構成

| フィールド名称           | データ  | 内容               |
|-------------------------|---------|--------------------|
| サーバーアドレス         | 01h     | クエリと同じ値     |
| ファンクションコード     | 06h     | クエリと同じ値     |
| データ                   |         |                    |
| ├ レジスタアドレス(上位) | 00h     | クエリと同じ値     |
| ├ レジスタアドレス(下位) | 7Dh     | クエリと同じ値     |
| ├ ライト値(上位)         | 00h     | クエリと同じ値     |
| └ ライト値(下位)         | 00h     | クエリと同じ値     |
| エラーチェック(下位)     | 19h     | CRC-16の計算結果   |
| エラーチェック(上位)     | D2h     | CRC-16の計算結果   |

</contents>
