ファイル名: HM-60252J_page311

<overview>
このページは「6 FAネットワーク制御」章の目次ページです。  
テキスト部分は章タイトル、説明文、目次リストで構成されています。  
表やグラフは含まれていません。  
目次はFAネットワーク制御に必要な設定方法や通信プロトコル、CC-Link通信、EtherCAT通信、グループ機能、簡易ダイレクトデータ運転、通信異常の検出などの項目に分かれています。
</overview>

<contents>
### テキスト
#### 6 FAネットワーク制御
FAネットワークで制御する方法について説明しています。  
当社のネットワークコンバータを使用することで、CC-Link通信やEtherCAT通信に対応できます。

##### もくじ
| 番号 | 項目 | ページ |
| :--- | :--- | :---: |
| 1 | FAネットワーク制御に必要な設定のながれ | 312 |
| 2 | スイッチの設定 | 313 |
| 2-1 | プロトコル | 313 |
| 2-2 | 号機番号（デバイスアドレス） | 314 |
| 2-3 | 通信速度 | 314 |
| 2-4 | 終端抵抗 | 314 |
| 3 | CC-Link通信で制御する場合 | 315 |
| 3-1 | ガイダンス | 315 |
| 3-2 | 命令選択方式の操作例 | 320 |
| 3-3 | 命令固定方式の操作例 | 327 |
| 4 | EtherCAT通信で制御する場合 | 333 |
| 4-1 | ガイダンス | 333 |
| 4-2 | 基本的な操作手順 | 339 |
| 5 | グループ機能 | 342 |
| 5-1 | グループのアドレス | 343 |
| 5-2 | グループの動作モード | 344 |
| 6 | 簡易ダイレクトデータ運転 | 346 |
| 6-1 | 簡易ダイレクトデータ運転の種類 | 346 |
| 6-2 | 簡易ダイレクトデータ運転モニタ0の使い方 | 347 |
| 6-3 | 簡易ダイレクトデータ運転モニタ1の使い方 | 349 |
| 7 | 通信異常の検出 | 351 |
| 7-1 | 通信エラー | 351 |
| 7-2 | アラーム | 352 |
</contents>
