ファイル名: HM-60252J_page341

<overview>
本ページはEtherCAT通信におけるリモートI/O制御に関する内容で構成されています。  
主に以下のセクションで構成されています。  
1. テキスト部分：EtherCAT通信でのリモートI/O送信手順や通信成功の確認方法の説明。  
2. 表部分：  
　・NETC01-ECTのリモートI/OのCoEインデックス、サブインデックス、名称、型、アクセス権、ビット割り当ての詳細表。  
　・AZシリーズのR-IN（初期値）に関する同様の詳細表。  
　・NETC01-ECTのリモートモニタレスポンスのCoEインデックス等の詳細表。  
3. グラフや図はなく、表とテキスト中心の構成。  
</overview>

<contents>
### テキスト
EtherCAT通信で制御する場合のリモートI/O送信手順として、号機番号0のFW-POS(40h)をONにすることでFWD方向の連続運転が始まることが記載されています。  
リモートモニタレスポンスで号機番号0のデータがモニタできれば通信成功とし、正常時はTRIG_RがONになることが説明されています。  
また、リモートモニタコマンドのTRIGをONにしている間はモニタが更新され続けること、モニタ終了時はTRIGをOFFに戻すことが注意書きとして記載されています。

### 表

#### 【NETC01-ECTのリモートI/O】
| CoE Index | Sub-Index | 名称               | 型  | アクセス | 内容                                                                                   |
| :-------- | :-------- | :----------------- | :-- | :------- | :------------------------------------------------------------------------------------- |
| 2600h (0号機) | 0         | -                  | U8  | R        | Sub-index数:2                                                                          |
|           | 1         | I/O Command (lower) | U8  | RW       | bit[7]:R-IN7, bit[6]:R-IN6, bit[5]:R-IN5, bit[4]:R-IN4, bit[3]:R-IN3, bit[2]:R-IN2, bit[1]:R-IN1, bit[0]:R-IN0 |
|           | 2         | I/O Command (upper) | U8  | RW       | bit[7]:R-IN15, bit[6]:R-IN14, bit[5]:R-IN13, bit[4]:R-IN12, bit[3]:R-IN11, bit[2]:R-IN10, bit[1]:R-IN9, bit[0]:R-IN8 |

#### 【AZシリーズのR-IN（初期値）】
| CoE Index | Sub-Index | 名称               | 型  | アクセス | 内容                                                                                   |
| :-------- | :-------- | :----------------- | :-- | :------- | :------------------------------------------------------------------------------------- |
| 2600h (0号機) | 0         | -                  | U8  | R        | Sub-index数:2                                                                          |
|           | 1         | I/O Command (lower) | U8  | RW       | bit[7]:ALM-RST, bit[6]:FREE, bit[5]:STOP, bit[4]:ZHOME, bit[3]:START, bit[2]:M2, bit[1]:M1, bit[0]:M0 |
|           | 2         | I/O Command (upper) | U8  | RW       | bit[7]:RV-POS, bit[6]:FW-POS, bit[5]:RV-JOG-P, bit[4]:FW-JOG-P, bit[3]:SSTART, bit[2]:D-SEL2, bit[1]:D-SEL1, bit[0]:D-SEL0 |

#### 【NETC01-ECTのリモートモニタレスポンス】
| CoE Index | Sub-Index | 名称    | 型    | アクセス | 内容                                                                                   |
| :-------- | :-------- | :------ | :-----| :------- | :------------------------------------------------------------------------------------- |
| 2B00h (0号機) | 0         | -       | U8    | R        | Sub-index数:4                                                                          |
|           | 1         | Axis    | U8    | R        | 号機番号応答:0                                                                         |
|           | 2         | Command | U16   | R        | 命令コード応答:2068h                                                                   |
|           | 3         | Data    | INT32 | R        | モニタデータ:1,000                                                                     |
|           | 4         | Status  | U8    | R        | bit[7]～bit[3]:-, bit[2]:Command Error, bit[1]:Axis Error, bit[0]:STATUS, TRIG_R         |

</contents>
