ファイル名: HM-60252J_page344

<overview>
本ページは「グループ機能」の一部である「グループの動作モード」について説明しています。ページ構成は以下の通りです。
- テキスト部分：リモートI/Oの動作モードの種類、設定方法、動作モードパラメータの保存先や注意点の説明。
- 表部分：関連するパラメータの命令コード、名称、内容、初期値をまとめた表。
- グラフ部分：なし。
</overview>

<contents>
### テキスト
#### 5-2 グループの動作モード
リモートI/Oの動作モードには2種類あり、16個のリモートI/Oそれぞれに対して設定可能です。
- 軸IDで動作するモード
- グループIDで動作するモード

「R-INグループ動作モード」パラメータはRAMに保存されるため、電源を切ると初期値に戻ります。電源投入後は必ず再設定が必要です。
一方、「R-INグループ動作モード初期状態(NETC)」パラメータはNVメモリに保存可能で、NVメモリに保存しておくと電源を切ってもグループ解除されません。FAネットワークで設定した場合はメンテナンスコマンドの「NVメモリー一括書き込み」でNVメモリに保存されます。

**memo**  
信号をグループ宛に入力すると親デバイスと同時に子デバイスも動作します。そのためドライバごとに入力したI/Oとはタイミングにズレが生じます。

### 表
#### 関連するパラメータ

| 命令コード (READ) | 命令コード (WRITE) | 名称                             | 内容                                                                                                                                                                                                                         | 初期値 |
| :----------------- | :------------------ | :------------------------------- | :--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | :----- |
| 25 (0019h)         | 4121 (1019h)        | R-INグループ動作モード(NETC)     | グループを設定しているときに有効。リモートI/Oの動作モードを設定。グループ宛に入力するリモートI/Oをbit単位で指定。<br>0:軸IDで動作<br>1:グループIDで動作<br>【設定範囲】0～65,535(0～FFFFh)                                                        | 0※     |
| 2336 (0920h)        | 6432 (1920h)        | R-IN0グループ動作モード初期状態(NETC) | リモートI/Oの動作モードの初期状態を設定。<br>【設定範囲】0:軸IDで動作<br>1:グループIDで動作                                                                                                                              | 0       |
| 2337 (0921h)        | 6433 (1921h)        | R-IN1グループ動作モード初期状態(NETC) | 同上                                                                                                                                                                                                                       | 0       |
| 2338 (0922h)        | 6434 (1922h)        | R-IN2グループ動作モード初期状態(NETC) | 同上                                                                                                                                                                                                                       | 0       |
| 2339 (0923h)        | 6435 (1923h)        | R-IN3グループ動作モード初期状態(NETC) | 同上                                                                                                                                                                                                                       | 0       |
| 2340 (0924h)        | 6436 (1924h)        | R-IN4グループ動作モード初期状態(NETC) | 同上                                                                                                                                                                                                                       | 0       |
| 2341 (0925h)        | 6437 (1925h)        | R-IN5グループ動作モード初期状態(NETC) | 同上                                                                                                                                                                                                                       | 0       |
| 2342 (0926h)        | 6438 (1926h)        | R-IN6グループ動作モード初期状態(NETC) | 同上                                                                                                                                                                                                                       | 0       |
| 2343 (0927h)        | 6439 (1927h)        | R-IN7グループ動作モード初期状態(NETC) | 同上                                                                                                                                                                                                                       | 0       |
| 2344 (0928h)        | 6440 (1928h)        | R-IN8グループ動作モード初期状態(NETC) | 同上                                                                                                                                                                                                                       | 0       |
| 2345 (0929h)        | 6441 (1929h)        | R-IN9グループ動作モード初期状態(NETC) | 同上                                                                                                                                                                                                                       | 0       |
| 2346 (092Ah)        | 6442 (192Ah)        | R-IN10グループ動作モード初期状態(NETC) | 同上                                                                                                                                                                                                                       | 0       |
| 2347 (092Bh)        | 6443 (192Bh)        | R-IN11グループ動作モード初期状態(NETC) | 同上                                                                                                                                                                                                                       | 0       |
| 2348 (092Ch)        | 6444 (192Ch)        | R-IN12グループ動作モード初期状態(NETC) | 同上                                                                                                                                                                                                                       | 0       |
| 2349 (092Dh)        | 6445 (192Dh)        | R-IN13グループ動作モード初期状態(NETC) | 同上                                                                                                                                                                                                                       | 0       |
| 2350 (092Eh)        | 6446 (192Eh)        | R-IN14グループ動作モード初期状態(NETC) | 同上                                                                                                                                                                                                                       | 0       |

</contents>
