ファイル名: HM-60252J_page364

<overview>
このページは「モニタコマンド」についての説明で構成されています。主にテキストと表で構成されており、テキスト部分ではモニタコマンドの概要が説明されています。表部分では、Modbus通信のレジスタアドレスに対応する各種アラームや通信エラーの履歴情報が一覧形式で示されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### モニタコマンド
指令位置、指令速度、アラーム・インフォメーション履歴などをモニタします。  
すべてREADになります。

### 表
#### Modbus通信レジスタアドレス一覧（アラーム・通信エラー履歴）

| 上位 | 下位 | 名称           | 内容                                                                                     | FAネットワーク命令コード     |
| :--- | :--- | :------------- | :--------------------------------------------------------------------------------------- | :--------------------------- |
| 128 (0080h) | 129 (0081h) | 現在のアラーム     | 現在発生中のアラームコードを示します。                                                   | 8256 (2040h)                 |
| 130 (0082h) | 131 (0083h) | アラーム履歴1     | もっとも新しいアラーム履歴を示します。アラームが発生しているときは、そのコードがアラーム履歴1にも同時に表示されます。 | 8257 (2041h)                 |
| 132 (0084h) | 133 (0085h) | アラーム履歴2     | アラーム履歴を示します。                                                                 | 8258 (2042h)                 |
| 134 (0086h) | 135 (0087h) | アラーム履歴3     | アラーム履歴を示します。                                                                 | 8259 (2043h)                 |
| 136 (0088h) | 137 (0089h) | アラーム履歴4     | アラーム履歴を示します。                                                                 | 8260 (2044h)                 |
| 138 (008Ah) | 139 (008Bh) | アラーム履歴5     | アラーム履歴を示します。                                                                 | 8261 (2045h)                 |
| 140 (008Ch) | 141 (008Dh) | アラーム履歴6     | アラーム履歴を示します。                                                                 | 8262 (2046h)                 |
| 142 (008Eh) | 143 (008Fh) | アラーム履歴7     | アラーム履歴を示します。                                                                 | 8263 (2047h)                 |
| 144 (0090h) | 145 (0091h) | アラーム履歴8     | アラーム履歴を示します。                                                                 | 8264 (2048h)                 |
| 146 (0092h) | 147 (0093h) | アラーム履歴9     | アラーム履歴を示します。                                                                 | 8265 (2049h)                 |
| 148 (0094h) | 149 (0095h) | アラーム履歴10    | もっとも古いアラーム履歴を示します。                                                     | 8266 (204Ah)                 |
| 172 (00ACh) | 173 (00ADh) | 現在の通信エラー   | 前回受信した通信エラーコードを示します。ネットワークコンバータは自動的に同期通信するため、FAネットワークでは使用しません。 | -                           |
| 174 (00AEh) | 175 (00AFh) | 通信エラー履歴1   | もっとも新しい通信エラーコード履歴を示します。通信エラーが発生しているときは、そのコードが通信エラー履歴1にも同時に表示されます。 | 8279 (2057h)                 |
| 176 (00B0h) | 177 (00B1h) | 通信エラー履歴2   | 通信エラーコード履歴を示します。                                                           | 8280 (2058h)                 |
| 178 (00B2h) | 179 (00B3h) | 通信エラー履歴3   | 通信エラーコード履歴を示します。                                                           | 8281 (2059h)                 |
| 180 (00B4h) | 181 (00B5h) | 通信エラー履歴4   | 通信エラーコード履歴を示します。                                                           | 8282 (205Ah)                 |
| 182 (00B6h) | 183 (00B7h) | 通信エラー履歴5   | 通信エラーコード履歴を示します。                                                           | 8283 (205Bh)                 |
| 184 (00B8h) | 185 (00B9h) | 通信エラー履歴6   | 通信エラーコード履歴を示します。                                                           | 8284 (205Ch)                 |
| 186 (00BAh) | 187 (00BBh) | 通信エラー履歴7   | 通信エラーコード履歴を示します。                                                           | 8285 (205Dh)                 |
| 188 (00BCh) | 189 (00BDh) | 通信エラー履歴8   | 通信エラーコード履歴を示します。                                                           | 8286 (205Eh)                 |
| 190 (00BEh) | 191 (00BFh) | 通信エラー履歴9   | 通信エラーコード履歴を示します。                                                           | 8287 (205Fh)                 |
| 192 (00C0h) | 193 (00C1h) | 通信エラー履歴10  | もっとも古い通信エラーコード履歴を示します。                                               | 8288 (2060h)                 |
</contents>
