ファイル名: HM-60252J_page369

<overview>
このページはモニタコマンドに関する情報をまとめた表で構成されています。ページ全体は表部分のみで、Modbus通信のレジスタアドレス、名称、内容、FAネットワーク命令コードの4つのカラムからなる一覧表が掲載されています。テキストやグラフ、図は含まれていません。
</overview>

<contents>
### 表
#### モニタコマンド一覧

| Modbus通信レジスタアドレス 上位 | Modbus通信レジスタアドレス 下位 | 名称                         | 内容                                                                                     | FAネットワーク命令コード |
| :------------------------------: | :------------------------------: | :--------------------------- | :--------------------------------------------------------------------------------------- | :-----------------------: |
| 2614 (0A36h)                    | 2615 (0A37h)                    | インフォメーション履歴12       | インフォメーション履歴を示します。                                                     | 9499 (251Bh)              |
| 2616 (0A38h)                    | 2617 (0A39h)                    | インフォメーション履歴13       | インフォメーション履歴を示します。                                                     | 9500 (251Ch)              |
| 2618 (0A3Ah)                    | 2619 (0A3Bh)                    | インフォメーション履歴14       | インフォメーション履歴を示します。                                                     | 9501 (251Dh)              |
| 2620 (0A3Ch)                    | 2621 (0A3Dh)                    | インフォメーション履歴15       | インフォメーション履歴を示します。                                                     | 9502 (251Eh)              |
| 2622 (0A3Eh)                    | 2623 (0A3Fh)                    | インフォメーション履歴16       | もっとも古いインフォメーション履歴を示します。                                         | 9503 (251Fh)              |
| 2624 (0A40h)                    | 2625 (0A41h)                    | インフォメーション発生時間履歴1 | もっとも新しいインフォメーションが発生した時間の履歴を示します。インフォメーションが発生していないときは、そのインフォメーションの発生時間が表示されます。 | 9504 (2520h)              |
| 2626 (0A42h)                    | 2627 (0A43h)                    | インフォメーション発生時間履歴2 | インフォメーションが発生した時間の履歴を示します。                                     | 9505 (2521h)              |
| 2628 (0A44h)                    | 2629 (0A45h)                    | インフォメーション発生時間履歴3 |                                                                                         | 9506 (2522h)              |
| 2630 (0A46h)                    | 2631 (0A47h)                    | インフォメーション発生時間履歴4 |                                                                                         | 9507 (2523h)              |
| 2632 (0A48h)                    | 2633 (0A49h)                    | インフォメーション発生時間履歴5 |                                                                                         | 9508 (2524h)              |
| 2634 (0A4Ah)                    | 2635 (0A4Bh)                    | インフォメーション発生時間履歴6 |                                                                                         | 9509 (2525h)              |
| 2636 (0A4Ch)                    | 2637 (0A4Dh)                    | インフォメーション発生時間履歴7 |                                                                                         | 9510 (2526h)              |
| 2638 (0A4Eh)                    | 2639 (0A4Fh)                    | インフォメーション発生時間履歴8 |                                                                                         | 9511 (2527h)              |
| 2640 (0A50h)                    | 2641 (0A51h)                    | インフォメーション発生時間履歴9 | インフォメーションが発生した時間の履歴を示します。                                     | 9512 (2528h)              |
| 2642 (0A52h)                    | 2643 (0A53h)                    | インフォメーション発生時間履歴10 |                                                                                        | 9513 (2529h)              |
| 2644 (0A54h)                    | 2645 (0A55h)                    | インフォメーション発生時間履歴11 |                                                                                        | 9514 (252Ah)              |
| 2646 (0A56h)                    | 2647 (0A57h)                    | インフォメーション発生時間履歴12 |                                                                                        | 9515 (252Bh)              |
| 2648 (0A58h)                    | 2649 (0A59h)                    | インフォメーション発生時間履歴13 |                                                                                        | 9516 (252Ch)              |
| 2650 (0A5Ah)                    | 2651 (0A5Bh)                    | インフォメーション発生時間履歴14 |                                                                                        | 9517 (252Dh)              |
| 2652 (0A5Ch)                    | 2653 (0A5Dh)                    | インフォメーション発生時間履歴15 |                                                                                        | 9518 (252Eh)              |
| 2654 (0A5Eh)                    | 2655 (0A5Fh)                    | インフォメーション発生時間履歴16 | もっとも古いインフォメーションが発生した時間の履歴を示します。                         | 9519 (252Fh)              |
| 2944 (0B80h)                   | 2945 (0B81h)                   | ラッチモニタ 状態 (NEXT)       |                                                                                         | 9664 (25C0h)              |
| 2946 (0B82h)                   | 2947 (0B83h)                   | ラッチモニタ 指令位置 (NEXT)   |                                                                                         | 9665 (25C1h)              |
| 2948 (0B84h)                   | 2949 (0B85h)                   | ラッチモニタ 検出位置 (NEXT)   | （）内のイベントが発生した最初の情報をラッチします。ラッチをクリアするまで、情報は保持されます。※ドライバVer.3.00以降に対応しています。 | 9666 (25C2h)              |
| 2950 (0B86h)                   | 2951 (0B87h)                   | ラッチモニタ 目標位置 (NEXT)   |                                                                                         | 9667 (25C3h)              |
| 2952 (0B88h)                   | 2953 (0B89h)                   | ラッチモニタ 運転番号 (NEXT)   |                                                                                         | 9668 (25C4h)              |
| 2954 (0B8Ah)                   | 2955 (0B8Bh)                   | ラッチモニタ ループ回数 (NEXT) |                                                                                         | 9669 (25C5h)              |

</contents>
