ファイル名: HM-60252J_page370

<overview>
このページは「モニタコマンド」に関する内容で構成されています。主に表形式で、Modbus通信のレジスタアドレス（上位・下位）、名称、内容、FAネットワーク命令コードが一覧で示されています。テキスト部分は表の説明や補足情報が含まれており、図やグラフはありません。
</overview>

<contents>
### テキスト
モニタコマンドの説明として、括弧内のイベントが発生した最初の情報をラッチし、ラッチをクリアするまで情報が保持されることが記載されています。また、ドライバVer.3.00以降に対応している旨の注記があります。

### 表
#### モニタコマンド一覧

| Modbus通信レジスタアドレス 上位 | Modbus通信レジスタアドレス 下位 | 名称                         | 内容                             | FAネットワーク命令コード |
| :------------------------------: | :------------------------------: | :---------------------------- | :------------------------------ | :-----------------------: |
| 2960 (0B90h)                    | 2961 (0B91h)                    | ラッチモニタ 状態 (I/Oイベント-弱イベント) |                                 | 9672 (25C8h)              |
| 2962 (0B92h)                    | 2963 (0B93h)                    | ラッチモニタ 指令位置 (I/Oイベント-弱イベント) |                                 | 9673 (25C9h)              |
| 2964 (0B94h)                    | 2965 (0B95h)                    | ラッチモニタ 検出位置 (I/Oイベント-弱イベント) |                                 | 9674 (25CAh)              |
| 2966 (0B96h)                    | 2967 (0B97h)                    | ラッチモニタ 目標位置 (I/Oイベント-弱イベント) |                                 | 9675 (25CBh)              |
| 2968 (0B98h)                    | 2969 (0B99h)                    | ラッチモニタ 運転番号 (I/Oイベント-弱イベント) |                                 | 9676 (25CCh)              |
| 2970 (0B9Ah)                    | 2971 (0B9Bh)                    | ラッチモニタ ループ回数 (I/Oイベント-弱イベント) |                                 | 9677 (25CDh)              |
| 2976 (0BA0h)                    | 2977 (0BA1h)                    | ラッチモニタ 状態 (I/Oイベント-強イベント) | ( )内のイベントが発生した最初の情報をラッチします。ラッチをクリアするまで情報は保持されます。※ドライバVer.3.00以降に対応しています。 | 9680 (25D0h)              |
| 2978 (0BA2h)                    | 2979 (0BA3h)                    | ラッチモニタ 指令位置 (I/Oイベント-強イベント) |                                 | 9681 (25D1h)              |
| 2980 (0BA4h)                    | 2981 (0BA5h)                    | ラッチモニタ 検出位置 (I/Oイベント-強イベント) |                                 | 9682 (25D2h)              |
| 2982 (0BA6h)                    | 2983 (0BA7h)                    | ラッチモニタ 目標位置 (I/Oイベント-強イベント) |                                 | 9683 (25D3h)              |
| 2984 (0BA8h)                    | 2985 (0BA9h)                    | ラッチモニタ 運転番号 (I/Oイベント-強イベント) |                                 | 9684 (25D4h)              |
| 2986 (0BAAh)                    | 2987 (0BABh)                    | ラッチモニタ ループ回数 (I/Oイベント-強イベント) |                                 | 9685 (25D5h)              |
| 2992 (0BB0h)                    | 2993 (0BB1h)                    | ラッチモニタ 状態 (運転停止)       |                                 | 9688 (25D8h)              |
| 2994 (0BB2h)                    | 2995 (0BB3h)                    | ラッチモニタ 指令位置 (運転停止)   |                                 | 9689 (25D9h)              |
| 2996 (0BB4h)                    | 2997 (0BB5h)                    | ラッチモニタ 検出位置 (運転停止)   |                                 | 9690 (25DAh)              |
| 2998 (0BB6h)                    | 2999 (0BB7h)                    | ラッチモニタ 目標位置 (運転停止)   |                                 | 9691 (25DBh)              |
| 3000 (0BB8h)                    | 3001 (0BB9h)                    | ラッチモニタ 運転番号 (運転停止)   |                                 | 9692 (25DCh)              |
| 3002 (0BBAh)                   | 3003 (0BBBh)                   | ラッチモニタ ループ回数 (運転停止) |                                 | 9693 (25DDh)              |
</contents>
