ファイル名: HM-60252J_page376

<overview>
本ページは「運転データR/Wコマンド」に関する説明で構成されています。ページ全体は以下のセクションで構成されています。
- テキスト部分：運転データNo.ごとの入力方法の概要説明と「直接参照(Modbus通信)」の説明
- 表部分：運転データNo.の基準アドレス一覧を示す大規模な表
- グラフ・図部分はなし
</overview>

<contents>
### テキスト
#### 10 運転データR/Wコマンド
運転データNo.ごとに入力する方法について説明しています。運転データに含まれるすべての設定項目を連続で入力する際は、指定されたアドレスを使用するよう案内しています。

#### 10-1 直接参照(Modbus通信)
直接参照とは、基準となる運転データNo.のレジスタアドレス（基準アドレス）を指定して入力する方法です。

### 表
#### 運転データNo.の基準アドレス一覧

| Modbus通信基準アドレス Dec | Modbus通信基準アドレス Hex | 運転データNo. | Modbus通信基準アドレス Dec | Modbus通信基準アドレス Hex | 運転データNo. | Modbus通信基準アドレス Dec | Modbus通信基準アドレス Hex | 運転データNo. | Modbus通信基準アドレス Dec | Modbus通信基準アドレス Hex | 運転データNo. |
| :------------------------- | :------------------------- | :------------ | :------------------------- | :------------------------- | :------------ | :------------------------- | :------------------------- | :------------ | :------------------------- | :------------------------- | :------------ |
| 6144                       | 1800                       | No.0          | 8512                       | 2140                       | No.37         | 10880                      | 2A80                       | No.74         | 13248                      | 33C0                       | No.111        |
| 6208                       | 1840                       | No.1          | 8576                       | 2180                       | No.38         | 10944                      | 2AC0                       | No.75         | 13312                      | 3400                       | No.112        |
| 6272                       | 1880                       | No.2          | 8640                       | 21C0                       | No.39         | 11008                      | 2B00                       | No.76         | 13376                      | 3440                       | No.113        |
| 6336                       | 18C0                       | No.3          | 8704                       | 2200                       | No.40         | 11072                      | 2B40                       | No.77         | 13440                      | 3480                       | No.114        |
| 6400                       | 1900                       | No.4          | 8768                       | 2240                       | No.41         | 11136                      | 2B80                       | No.78         | 13504                      | 34C0                       | No.115        |
| 6464                       | 1940                       | No.5          | 8832                       | 2280                       | No.42         | 11200                      | 2BC0                       | No.79         | 13568                      | 3500                       | No.116        |
| 6528                       | 1980                       | No.6          | 8896                       | 22C0                       | No.43         | 11264                      | 2C00                       | No.80         | 13632                      | 3540                       | No.117        |
| 6592                       | 19C0                       | No.7          | 8960                       | 2300                       | No.44         | 11328                      | 2C40                       | No.81         | 13696                      | 3580                       | No.118        |
| 6656                       | 1A00                       | No.8          | 9024                       | 2340                       | No.45         | 11392                      | 2C80                       | No.82         | 13760                      | 35C0                       | No.119        |
