ファイル名: HM-60252J_page377

<overview>
このページは「運転データR/Wコマンド」に関する内容で構成されています。全体は表形式で、Modbus通信の基準アドレス（10進数および16進数）と対応する運転データNo.が一覧で示されています。テキストやグラフ、図はなく、純粋に表データのみで構成されています。
</overview>

<contents>
### 表
#### Modbus通信基準アドレスと運転データNo.一覧

| Dec   | Hex  | 運転データNo. | Dec   | Hex  | 運転データNo. | Dec   | Hex  | 運転データNo. | Dec   | Hex  | 運転データNo. |
|-------|-------|---------------|-------|-------|---------------|-------|-------|---------------|-------|-------|---------------|
| 15616 | 3D00  | No.148        | 17344 | 43C0  | No.175        | 19072 | 4A80  | No.202        | 20800 | 5140  | No.229        |
| 15680 | 3D40  | No.149        | 17408 | 4400  | No.176        | 19136 | 4AC0  | No.203        | 20864 | 5180  | No.230        |
| 15744 | 3D80  | No.150        | 17472 | 4440  | No.177        | 19200 | 4B00  | No.204        | 20928 | 51C0  | No.231        |
| 15808 | 3DC0  | No.151        | 17536 | 4480  | No.178        | 19264 | 4B40  | No.205        | 20992 | 5200  | No.232        |
| 15872 | 3E00  | No.152        | 17600 | 44C0  | No.179        | 19328 | 4B80  | No.206        | 21056 | 5240  | No.233        |
| 15936 | 3E40  | No.153        | 17664 | 4500  | No.180        | 19392 | 4BC0  | No.207        | 21120 | 5280  | No.234        |
| 16000 | 3E80  | No.154        | 17728 | 4540  | No.181        | 19456 | 4C00  | No.208        | 21184 | 52C0  | No.235        |
| 16064 | 3EC0  | No.155        | 17792 | 4580  | No.182        | 19520 | 4C40  | No.209        | 21248 | 5300  | No.236        |
| 16128 | 3F00  | No.156        | 17856 | 45C0  | No.183        | 19584 | 4C80  | No.210        | 21312 | 5340  | No.237        |
| 16192 | 3F40  | No.157        | 17920 | 4600  | No.184        | 19648 | 4CC0  | No.211        | 21376 | 5380  | No.238        |
| 16256 | 3F80  | No.158        | 17984 | 4640  | No.185        | 19712 | 4D00  | No.212        | 21440 | 53C0  | No.239        |
| 16320 | 3FC0  | No.159        | 18048 | 4680  | No.186        | 19776 | 4D40  | No.213        | 21504 | 5400  | No.240        |
| 16384 | 4000  | No.160        | 18112 | 46C0  | No.187        | 19840 | 4D80  | No.214        | 21568 | 5440  | No.241        |
| 16448 | 4040  | No.161        | 18176 | 4700  | No.188        | 19904 | 4DC0  | No.215        | 21632 | 5480  | No.242        |
| 16512 | 4080  | No.162        | 18240 | 4740  | No.189        | 19968 | 4E00  | No.216        | 21696 | 54C0  | No.243        |
| 16576 | 40C0  | No.163        | 18304 | 4780  | No.190        | 20032 | 4E40  | No.217        | 21760 | 5500  | No.244        |
| 16640 | 4100  | No.164        | 18368 | 47C0  | No.191        | 20096 | 4E80  | No.218        | 21824 | 5540  | No.245        |
| 16704 | 4140  | No.165        | 18432 | 4800  | No.192        | 20160 | 4EC0  | No.219        | 21888 | 5580  | No.246        |
| 16768 | 4180  | No.166        | 18496 | 4840  | No.193        | 20224 | 4F00  | No.220        | 21952 | 55C0  | No.247        |
| 16832 | 41C0  | No.167        | 18560 | 4880  | No.194        | 20288 | 4F40  | No.221        | 22016 | 5600  | No.248        |
| 16896 | 4200  | No.168        | 18624 | 48C0  | No.195        | 20352 | 4F80  | No.222        | 22080 | 5640  | No.249        |
| 16960 | 4240  | No.169        | 18688 | 4900  | No.196        | 20416 | 4FC0  | No.223        | 22144 | 5680  | No.250        |
| 17024 | 4280  | No.170        | 18752 | 4940  | No.197        | 20480 | 5000  | No.224        | 22208 | 56C0  | No.251        |
| 17088 | 42C0  | No.171        | 18816 | 4980  | No.198        | 20544 | 5040  | No.225        | 22272 | 5700  | No.252        |
| 17152 | 4300  | No.172        | 18880 | 49C0  | No.199        | 20608 | 5080  | No.226        | 22336 | 5740  | No.253        |
| 17216 | 4340  | No.173        | 18944 | 4A00  | No.200        | 20672 | 50C0  | No.227        | 22400 | 5780  | No.254        |
| 17280 | 4380  | No.174        | 19008 | 4A40  | No.201        | 20736 | 5100  | No.228        | 22464 | 57C0  | No.255        |

</contents>
