ファイル名: HM-60252J_page378

<overview>
このPDFページは「運転データR/Wコマンド」に関する技術資料の一部であり、主にテキストと表で構成されています。  
テキスト部分では「レジスタアドレス」の設定方法とその概要が説明されており、表部分では各レジスタアドレスの名称、設定範囲、初期値、反映の有無が詳細に示されています。  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### レジスタアドレス
運転データの設定項目は、運転データR/Wコマンドで設定します。  
設定項目のレジスタアドレスは、運転データNo.の基準アドレスをもとに配置されています。（基準アドレスは376ページ参照）  
例えば「位置」という設定項目の場合、基準アドレスに2と3を加えると、それぞれ上位と下位のアドレスになります。

### 表
#### Modbus通信 レジスタアドレス一覧

| Modbus通信 レジスタアドレス | 名称           | 設定範囲                                                                                     | 初期値    | 反映 |
|-----------------------------|----------------|----------------------------------------------------------------------------------------------|-----------|------|
| 基準アドレス+0（上位）       | 方式           | 1:絶対位置決め<br>2:相対位置決め（指令位置基準）<br>3:相対位置決め（検出位置基準）<br>7:連続運転（位置制御）<br>8:ラウンド絶対位置決め<br>9:ラウンド近回り位置決め<br>10:ラウンドFWD方向絶対位置決め<br>11:ラウンドRVS方向絶対位置決め<br>12:ラウンド絶対押し当て<br>13:ラウンド近回り押し当て<br>14:ラウンドFWD方向押し当て<br>15:ラウンドRVS方向押し当て<br>16:連続運転（速度制御）<br>17:連続運転（押し当て）<br>18:連続運転（トルク）<br>20:絶対位置決め押し当て<br>21:相対位置決め押し当て（指令位置基準）<br>22:相対位置決め押し当て（検出位置基準） | 2         | B    |
| 基準アドレス+1（下位）       | 方式           | 上記と同じ                                                                                   |           |      |
| 基準アドレス+2（上位）       | 位置           | -2,147,483,648～2,147,483,647 step                                                         | 0         | B    |
| 基準アドレス+3（下位）       | 位置           | step                                                                                         |           |      |
| 基準アドレス+4（上位）       | 速度           | -4,000,000～4,000,000 Hz                                                                    | 1,000     | B    |
| 基準アドレス+5（下位）       | 速度           |                                                                                              |           |      |
| 基準アドレス+6（上位）       | 起動・変速レート | 1～1,000,000,000（1=0.001 kHz/s、1=0.001 s、または1=0.001 ms/kHz）                          | 1,000,000 | B    |
| 基準アドレス+7（下位）       | 起動・変速レート |                                                                                              |           |      |
| 基準アドレス+8（上位）       | 停止レート     | 1～1,000,000,000（1=0.001 kHz/s、1=0.001 s、または1=0.001 ms/kHz）                          | 1,000,000 | B    |
| 基準アドレス+9（下位）       | 停止レート     |                                                                                              |           |      |
| 基準アドレス+10（上位）      | 運転電流     | 0～1,000（1=0.1 %）                                                                         | 1,000     | B    |
| 基準アドレス+11（下位）      | 運転電流     |                                                                                              |           |      |
| 基準アドレス+12（上位）      | 運転終了遅延 | 0～65,535（1=0.001 s）                                                                      | 0         | B    |
| 基準アドレス+13（下位）      | 運転終了遅延 |                                                                                              |           |      |
| 基準アドレス+14（上位）      | 結合           | 0:結合無<br>1:手動順送<br>2:自動順送<br>3:形状接続                                           | 0         | B    |
| 基準アドレス+15（下位）      | 結合           |                                                                                              |           |      |
| 基準アドレス+16（上位）      | 結合先         | -256:Stop<br>-2:↓↓（+2）<br>-1:↓（+1）<br>0～255:運転データNo.                              | -1        | B    |
| 基準アドレス+17（下位）      | 結合先         |                                                                                              |           |      |
| 基準アドレス+18（上位）      | オフセット（エリア） | -2,147,483,648～2,147,483,647 step                                                         | 0         | B    |
| 基準アドレス+19（下位）      | オフセット（エリア） |                                                                                              |           |      |
| 基準アドレス+20（上位）      | 幅（エリア）   | -1:無効<br>0～4,194,303:1step単位で設定                                                    | -1        | B    |
| 基準アドレス+21（下位）      | 幅（エリア）   |                                                                                              |           |      |
| 基準アドレス+22（上位）      | カウント（Loop） | 0:無し（-）<br>2～255:ループ回数（loop2{～loop255{}）                                      | 0         | B    |
| 基準アドレス+23（下位）      | カウント（Loop） |                                                                                              |           |      |
| 基準アドレス+24（上位）      | 位置オフセット（Loop） | -4,194,304～4,194,303 step                                                                | 0         | B    |
| 基準アドレス+25（下位）      | 位置オフセット（Loop） |                                                                                              |           |      |

**備考:**  
- 「B」は反映の有無を示す項目で、ここではすべて「B」となっている。  
- 設定範囲の数値は、各パラメータの物理的な制限や単位を示している。  
</contents>
