ファイル名: HM-60252J_page382

<overview>
このPDFページは「運転データR/Wコマンド」に関する説明で構成されています。ページ全体は主にテキスト部分と表部分からなり、テキスト部分では命令コードの概要と設定方法について説明しています。表部分は「FAネットワーク基準命令コード」に基づく各命令コードの名称、設定範囲、初期値、反映の有無を詳細に示しています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 運転データR/Wコマンド
運転データの設定項目は、運転データR/Wコマンドで設定します。  
設定項目の命令コードは基準命令コードをもとに配置されています。（基準命令コードは381ページ参照）  
例えば「位置」という設定項目の場合、基準アドレスに1を加えると命令コードになります。

### 表
#### 命令コード一覧

| FAネットワーク基準命令コード | 名称           | 設定範囲                                                                                         | 初期値       | 反映 |
|------------------------------|----------------|------------------------------------------------------------------------------------------------|--------------|------|
| 基準命令コード+0             | 方式           | 1:絶対位置決め<br>2:相対位置決め(指令位置基準)<br>3:相対位置決め(検出位置基準)<br>7:連続運転(位置制御)<br>8:ラウンド絶対位置決め<br>9:ラウンド近回り位置決め<br>10:ラウンドFWD方向絶対位置決め<br>11:ラウンドRVS方向絶対位置決め<br>12:ラウンド絶対押し当て<br>13:ラウンド近回り押し当て<br>14:ラウンドFWD方向押し当て<br>15:ラウンドRVS方向押し当て<br>16:連続運転(速度制御)<br>17:連続運転(押し当て)<br>18:連続運転(トルク)<br>20:絶対位置決め押し当て<br>21:相対位置決め押し当て(指令位置基準)<br>22:相対位置決め押し当て(検出位置基準) | 2            | B    |
| 基準命令コード+1             | 位置           | -2,147,483,648～2,147,483,647 step                                                             | 0            | B    |
| 基準命令コード+2             | 速度           | -4,000,000～4,000,000 Hz                                                                        | 1,000        | B    |
| 基準命令コード+3             | 起動・変速レート | 1～1,000,000,000 (1=0.001 kHz/s, 1=0.001 s、または1=0.001 ms/kHz)                              | 1,000,000    | B    |
| 基準命令コード+4             | 停止レート     | 1～1,000,000,000 (1=0.001 kHz/s, 1=0.001 s、または1=0.001 ms/kHz)                              | 1,000,000    | B    |
| 基準命令コード+5             | 運転電流     | 0～1,000 (1=0.1 %)                                                                             | 1,000        | B    |
| 基準命令コード+6             | 運転終了遅延 | 0～65,535 (1=0.001 s)                                                                           | 0            | B    |
| 基準命令コード+7             | 結合           | 0:結合無<br>1:手動順送<br>2:自動順送<br>3:形状接続                                              | 0            | B    |
| 基準命令コード+8             | 結合先         | -256:Stop<br>-2:↓↓(+2)<br>-1:↓(+1)<br>0～255:運転データNo.                                     | -1           | B    |
| 基準命令コード+9             | オフセット(エリア) | -2,147,483,648～2,147,483,647 step                                                             | 0            | B    |
| 基準命令コード+10            | 幅(エリア)     | -1:無効<br>0～4,194,303:1step単位で設定                                                        | -1           | B    |
| 基準命令コード+11            | カウント(Loop) | 0:無し(－)<br>2～255:ループ回数(loop2～loop255{})                                              | 0            | B    |
| 基準命令コード+12            | 位置オフセット(Loop) | -4,194,304～4,194,303 step                                                                     | 0            | B    |
| 基準命令コード+13            | 終了(Loop)     | 0:無し(－)<br>1:L-End                                                                           | 0            | B    |
| 基準命令コード+14            | 弱イベント     | -1:無し(－)<br>0～31:運転I/Oイベント番号                                                       | -1           | B    |
| 基準命令コード+15            | 強イベント     | -1:無し(－)<br>0～31:運転I/Oイベント番号                                                       | -1           | B    |
</contents>
