ファイル名: HM-60252J_page386

<overview>
本ページは「運転データR/Wコマンド」に関する説明で構成されています。  
テキスト部分では、運転データNo.0～No.2に対する設定例の説明があり、  
表部分では各運転データの設定項目ごとに命令コードの計算方法や設定値が詳細に示されています。  
グラフや図はなく、テキストと表の構成のみです。
</overview>

<contents>
### テキスト
#### 運転データR/Wコマンド 設定例
運転データNo.0～No.2に対して、各運転データの設定方法を具体例として説明しています。

- 運転データNo.0の基準命令コードは「WRITE:7168(1C00h)」であることを示し、これを基に各項目の命令コードを算出する方法を解説。
- 運転データNo.1の基準命令コードは「WRITE:7200(1C20h)」であることを示し、同様に命令コードの算出方法を説明。
- 運転データNo.2の基準命令コードは「WRITE:7232(1C40h)」であることを示し、同様に命令コードの算出方法を説明。

### 表
#### 運転データNo.0 設定例

| 設定項目 | 計算方法           | 命令コード Dec | 命令コード Hex | 設定値  |
| :------- | :----------------- | :------------- | :------------- | :------ |
| 方式     | 基準命令コード+0   | 7168 + 0 = 7168 | 1C00h          | 1       |
| 位置     | 基準命令コード+1   | 7168 + 1 = 7169 | 1C01h          | 1,000   |
| 速度     | 基準命令コード+2   | 7168 + 2 = 7170 | 1C02h          | 1,000   |
| 運転電流 | 基準命令コード+5   | 7168 + 5 = 7173 | 1C05h          | 500     |

#### 運転データNo.1 設定例

| 設定項目 | 計算方法           | 命令コード Dec | 命令コード Hex | 設定値  |
| :------- | :----------------- | :------------- | :------------- | :------ |
| 方式     | 基準命令コード+0   | 7200 + 0 = 7200 | 1C20h          | 2       |
| 位置     | 基準命令コード+1   | 7200 + 1 = 7201 | 1C21h          | 1,000   |
| 速度     | 基準命令コード+2   | 7200 + 2 = 7202 | 1C22h          | 1,000   |
| 運転電流 | 基準命令コード+5   | 7200 + 5 = 7205 | 1C25h          | 700     |

#### 運転データNo.2 設定例

| 設定項目 | 計算方法           | 命令コード Dec | 命令コード Hex | 設定値  |
| :------- | :----------------- | :------------- | :------------- | :------ |
| 方式     | 基準命令コード+0   | 7232 + 0 = 7232 | 1C40h          | 3       |
| 位置     | 基準命令コード+1   | 7232 + 1 = 7233 | 1C41h          | 1,000   |
| 速度     | 基準命令コード+2   | 7232 + 2 = 7234 | 1C42h          | 1,000   |
| 運転電流 | 基準命令コード+5   | 7232 + 5 = 7237 | 1C45h          | 1,000   |
</contents>
