ファイル名: HM-60252J_page396

<overview>
本ページはパラメータR/Wコマンドに関する説明で構成されており、主に以下の3つのセクションからなる。
1. テキスト部分：各パラメータの名称、設定範囲、初期値、反映区分、FAネットワーク命令コードの説明。
2. 表部分：各パラメータの詳細をModbus通信レジスタアドレス、名称、設定範囲、初期値、反映、FAネットワーク命令コード（READ/WRITE）で整理した表。
3. グラフ・図はなし。
</overview>

<contents>
### テキスト
#### 14-5 ダイレクトデータ運転パラメータ
ダイレクトデータ運転に関する各種パラメータの設定範囲や初期値、対応するFAネットワーク命令コードを示す。

#### 14-6 ABZOセンサ反映パラメータ
ABZOセンサの反映に関するパラメータ設定。機構諸元設定や初期座標生成・ラウンド座標設定、機構リミットパラメータ設定などが含まれる。

#### 14-7 機構諸元設定パラメータ
電子ギヤA、電子ギヤBの設定範囲や初期値、対応するFAネットワーク命令コードを示す。

### 表
#### 14-5 ダイレクトデータ運転パラメータ

| Modbus通信レジスタアドレス 上位 | 下位 | 名称                         | 設定範囲                                                                                         | 初期値 | 反映 | FAネットワーク命令コード READ (16進) | WRITE (16進) |
|:-------------------------------:|:----:|:----------------------------|:------------------------------------------------------------------------------------------------|:------:|:----:|:------------------------------------:|:------------:|
| 544 (0220h)                     | 545 (0221h) | ダイレクトデータ運転ゼロ速度動作 | 0:減速停止指令 1:速度0指令                                                                       | 0      | B    | 272 (0110h)                         | 4368 (1110h) |
| 546 (0222h)                     | 547 (0223h) | ダイレクトデータ運転トリガ初期値 | -7:運転データNo.更新 -6:運転方式更新 -5:位置更新 -4:速度更新 -3:加減速レート更新 -2:停止レート更新 -1:運転電流更新 0:反映トリガを使用 | 0      | C    | 273 (0111h)                         | 4369 (1111h) |
| 548 (0224h)                     | 549 (0225h) | ダイレクトデータ運転転送先初期値 | 0:実行メモリ 1:バッファメモリ                                                                       | 0      | C    | 274 (0112h)                         | 4370 (1112h) |
| 550 (0226h)                     | 551 (0227h) | ダイレクトデータ運転運転初期値参照データNo. | 0～255:運転データNo.                                                                             | 0      | C    | 275 (0113h)                         | 4371 (1113h) |
| -                              | -    | 簡易ダイレクトデータ運転モニタ0選択(NETC) | 0:指令位置 1:検出位置 2:指令速度(r/min) 3:検出速度(r/min) 4:指令速度(Hz) 5:検出速度(Hz) 6:指令位置32bitカウンタ 7:検出位置32bitカウンタ | 0      | A    | 280 (0118h)                         | 4376 (1118h) |
| -                              | -    | 簡易ダイレクトデータ運転モニタ1選択(NETC) | 0:指令位置 1:検出位置 2:指令速度(r/min) 3:検出速度(r/min) 4:指令速度(Hz) 5:検出速度(Hz) 6:指令位置32bitカウンタ 7:検出位置32bitカウンタ | 0      | A    | 281 (0119h)                         | 4377 (1119h) |
| 574 (023Bh)                    | 575 (023Fh) | 指令イメージ接続先               | 予約機能です。使用できません。                                                                     | 0      | B    | 287 (011Fh)                         | 4383 (111Fh) |

#### 14-6 ABZOセンサ反映パラメータ

| Modbus通信レジスタアドレス 上位 | 下位 | 名称                       | 設定範囲                 | 初期値 | 反映 | FAネットワーク命令コード READ (16進) | WRITE (16進) |
|:-------------------------------:|:----:|:--------------------------|:------------------------|:------:|:----:|:------------------------------------:|:------------:|
| 4064 (0FE0h)                   | 4065 (0FE1h) | 機構諸元設定               | 0:ABZO設定を優先 1:マニュアル設定 | 0      | D    | 2032 (07F0h)                        | 6128 (17F0h) |
| 4068 (0FE4h)                   | 4069 (0FE5h) | 初期座標生成・ラウンド座標設定 | 0:ABZO設定を優先 1:マニュアル設定 | 0      | D    | 2034 (07F2h)                        | 6130 (17F2h) |
| 4070 (0FE6h)                   | 4071 (0FE7h) | 機構リミットパラメータ設定   | 0:ABZO設定に従う 1:無効化する       | 0      | D    | 2035 (07F3h)                        | 6131 (17F3h) |
| 4072 (0FE8h)                   | 4073 (0FE9h) | 機構保護パラメータ設定       | 0:ABZO設定に従う 1:無効化する       | 0      | D    | 2036 (07F4h)                        | 6132 (17F4h) |
| 4074 (0FEAh)                   | 4075 (0FEBh) | JOG/HOME/ZHOME運転 運転情報設定 | 0:ABZO設定を優先 1:マニュアル設定 | 0      | D    | 2037 (07F5h)                        | 6133 (17F5h) |

#### 14-7 機構諸元設定パラメータ

| Modbus通信レジスタアドレス 上位 | 下位 | 名称     | 設定範囲    | 初期値 | 反映 | FAネットワーク命令コード READ (16進) | WRITE (16進) |
|:-------------------------------:|:----:|:--------|:------------|:------:|:----:|:------------------------------------:|:------------:|
| 896 (0380h)                    | 897 (0381h) | 電子ギヤA | 1～65,535  | 1      | C    | 448 (01C0h)                        | 4544 (11C0h) |
| 898 (0382h)                    | 899 (0383h) | 電子ギヤB | 1～65,535  | 1      | C    | 449 (01C1h)                        | 4545 (11C1h) |
</contents>
