ファイル名: HM-60252J_page400

<overview>
本ページは「インフォメーション設定パラメータ」に関する内容で構成されています。主に表形式で、Modbus通信のレジスタアドレス、名称、設定範囲、初期値、反映の有無、FAネットワーク命令コード（READ/WRITE）が一覧で示されています。テキスト部分は表の見出しや説明が中心で、グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 14-12 インフォメーション設定パラメータ
Modbus通信のレジスタアドレスごとに、各種インフォメーション設定パラメータの名称、設定範囲、初期値、反映の有無、FAネットワーク命令コード（READ/WRITE）が一覧で示されています。

### 表
#### インフォメーション設定パラメータ一覧

| Modbus通信レジスタアドレス 上位 | Modbus通信レジスタアドレス 下位 | 名称 | 設定範囲 | 初期値 | 反映 | FAネットワーク命令コード READ | FAネットワーク命令コード WRITE |
| :---: | :---: | :--- | :--- | :---: | :---: | :---: | :---: |
| 832 (0340h) | 833 (0341h) | ドライバ温度インフォメーション (INFO-DRV/TMP) | 40～85 ℃ | 85 | A | 416 (01A0h) | 4512 (11A0h) |
| 834 (0342h) | 835 (0343h) | 過負荷時間インフォメーション (INFO-OLTIME) | 1～300 (1=0.1 s) | 50 | A | 417 (01A1h) | 4513 (11A1h) |
| 836 (0344h) | 837 (0345h) | 速度インフォメーション (INFO-SPD) | 0:無効 1～12,000 r/min | 0 | A | 418 (01A2h) | 4514 (11A2h) |
| 842 (034Ah) | 843 (034Bh) | 位置偏差インフォメーション (INFO-POSERR) | 1～30,000 (1=0.01 rev) | 300 | A | 421 (01A5h) | 4517 (11A5h) |
| 848 (0350h) | 849 (0351h) | モーター温度インフォメーション (INFO-MTRTMP) | 40～120 ℃ | 85 | A | 424 (01A8h) | 4520 (11A8h) |
| 850 (0352h) | 851 (0353h) | 過電圧インフォメーション (INFO-OVOLT) (ACドライバ) | 120～450 V | 435 | A | 425 (01A9h) | 4521 (11A9h) |
| 852 (0354h) | 853 (0355h) | 不足電圧インフォメーション (INFO-UVOLT) (ACドライバ) | 120～280 V | 120 | A | 426 (01AAh) | 4522 (11AAh) |
| 854 (0356h) | 855 (0357h) | 過電圧インフォメーション (INFO-OVOLT) (DC48 V対応ドライバ) | 150～630 (1=0.1 V) | 630 | A | 427 (01ABh) | 4523 (11ABh) |
| 856 (0358h) | 857 (0359h) | 不足電圧インフォメーション (INFO-UVOLT) (DC48 V対応ドライバ) | 150～630 (1=0.1 V) | 180 | A | 428 (01ACh) | 4524 (11ACh) |
| 862 (035Eh) | 863 (035Fh) | TRIPメーターインフォメーション (INFO-TRIP) | 0:無効 1～2,147,483,647 (1=0.1 kRev) | 0 | A | 431 (01AFh) | 4527 (11AFh) |
| 864 (0360h) | 865 (0361h) | ODOメーターインフォメーション (INFO-ODO) | 0:無効 1～2,147,483,647 (1=0.1 kRev) | 0 | A | 432 (01B0h) | 4528 (11B0h) |
| 866 (0362h) | 867 (0363h) | 積算負荷0インフォメーション (INFO-CULD0) | 0～2,147,483,647 | 0 | A | 433 (01B1h) | 4529 (11B1h) |
| 868 (0364h) | 869 (0365h) | 積算負荷1インフォメーション (INFO-CULD1) | 0～2,147,483,647 | 0 | A | 434 (01B2h) | 4530 (11B2h) |
| 870 (0366h) | 871 (0367h) | 積算負荷自動クリア | 0:クリアしない 1:クリアする | 1 | A | 435 (01B3h) | 4531 (11B3h) |
| 872 (0368h) | 873 (0369h) | 積算負荷除数 | 1～32,767 | 1 | A | 436 (01B4h) | 4532 (11B4h) |
| 888 (0378h) | 889 (0379h) | INFO-USRIO出力選択 | 出力信号一覧 →420ページ | 128:CONST-OFF | A | 444 (01BCh) | 4540 (11BCh) |
| 890 (037Ah) | 891 (037Bh) | INFO-USRIO出力反転 | 0:反転しない 1:反転する | 0 | A | 445 (01BDh) | 4541 (11BDh) |
| 892 (037Ch) | 893 (037Dh) | INFO-LED表示 | 0:無効(LEDを点滅させない) 1:有効(LEDを点滅させる) | 1 | A | 446 (01BEh) | 4542 (11BEh) |
| 894 (037Eh) | 895 (037Fh) | INFO自動クリア | 0:無効(自動でOFFにならない) 1:有効(自動でOFFになる) | 1 | A | 447 (01BFh) | 4543 (11BFh) |

</contents>
