ファイル名: HM-60252J_page404

<overview>
本ページはパラメータR/Wコマンドに関する情報を掲載しており、主に表形式で構成されています。内容はModbus通信のレジスタアドレス、名称、設定範囲、初期値、反映、FAネットワーク命令コード（READ/WRITE）に関する詳細な一覧表です。テキスト部分は表の説明や補足はなく、表がページ全体の主な情報源となっています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメータR/Wコマンド一覧

| Modbus通信レジスタアドレス 上位 | Modbus通信レジスタアドレス 下位 | 名称               | 設定範囲                                                                 | 初期値 | 反映 | FAネットワーク命令コード READ (16進) | FAネットワーク命令コード WRITE (16進) |
|:-------------------------------:|:-------------------------------:|--------------------|-------------------------------------------------------------------------|-------:|:----:|-------------------------------------|--------------------------------------|
| 3730 (0E92h)                    | 3731 (0E93h)                    | AREA4-位置/判定距離 | -2,147,483,648～2,147,483,647 step                                        | 0      | A    | 1865 (0749h)                        | 5961 (1749h)                         |
| 3732 (0E94h)                    | 3733 (0E95h)                    | AREA5+位置/オフセット | -2,147,483,648～2,147,483,647 step                                        | 0      | A    | 1866 (074Ah)                        | 5962 (174Ah)                         |
| 3734 (0E96h)                    | 3735 (0E97h)                    | AREA5-位置/判定距離 | -2,147,483,648～2,147,483,647 step                                        | 0      | A    | 1867 (074Bh)                        | 5963 (174Bh)                         |
| 3736 (0E98h)                    | 3737 (0E99h)                    | AREA6+位置/オフセット | -2,147,483,648～2,147,483,647 step                                        | 0      | A    | 1868 (074Ch)                        | 5964 (174Ch)                         |
| 3738 (0E9Ah)                    | 3739 (0E9Bh)                    | AREA6-位置/判定距離 | -2,147,483,648～2,147,483,647 step                                        | 0      | A    | 1869 (074Dh)                        | 5965 (174Dh)                         |
| 3740 (0E9Ch)                    | 3741 (0E9Dh)                    | AREA7+位置/オフセット | -2,147,483,648～2,147,483,647 step                                        | 0      | A    | 1870 (074Eh)                        | 5966 (174Eh)                         |
| 3742 (0E9Eh)                    | 3743 (0E9Fh)                    | AREA7-位置/判定距離 | -2,147,483,648～2,147,483,647 step                                        | 0      | A    | 1871 (074Fh)                        | 5967 (174Fh)                         |
| 3744 (0EA0h)                    | 3745 (0EA1h)                    | AREA0範囲指定方法   | 0:絶対値で範囲指定<br>1:目標位置からのオフセット・幅を指定                 | 0      | A    | 1872 (0750h)                        | 5968 (1750h)                         |
| 3746 (0EA2h)                    | 3747 (0EA3h)                    | AREA1範囲指定方法   | 0:絶対値で範囲指定<br>1:目標位置からのオフセット・幅を指定                 | 0      | A    | 1873 (0751h)                        | 5969 (1751h)                         |
| 3748 (0EA4h)                    | 3749 (0EA5h)                    | AREA2範囲指定方法   | 0:絶対値で範囲指定<br>1:目標位置からのオフセット・幅を指定                 | 0      | A    | 1874 (0752h)                        | 5970 (1752h)                         |
| 3750 (0EA6h)                    | 3751 (0EA7h)                    | AREA3範囲指定方法   | 0:絶対値で範囲指定<br>1:目標位置からのオフセット・幅を指定                 | 0      | A    | 1875 (0753h)                        | 5971 (1753h)                         |
| 3752 (0EA8h)                    | 3753 (0EA9h)                    | AREA4範囲指定方法   | 0:絶対値で範囲指定<br>1:目標位置からのオフセット・幅を指定                 | 0      | A    | 1876 (0754h)                        | 5972 (1754h)                         |
| 3754 (0EAAh)                    | 3755 (0EABh)                    | AREA5範囲指定方法   | 0:絶対値で範囲指定<br>1:目標位置からのオフセット・幅を指定                 | 0      | A    | 1877 (0755h)                        | 5973 (1755h)                         |
| 3756 (0EACh)                    | 3757 (0EADh)                    | AREA6範囲指定方法   | 0:絶対値で範囲指定<br>1:目標位置からのオフセット・幅を指定                 | 0      | A    | 1878 (0756h)                        | 5974 (1756h)                         |
| 3758 (0EAEh)                    | 3759 (0EAFh)                    | AREA7範囲指定方法   | 0:絶対値で範囲指定<br>1:目標位置からのオフセット・幅を指定                 | 0      | A    | 1879 (0757h)                        | 5975 (1757h)                         |
| 3760 (0EB0h)                    | 3761 (0EB1h)                    | AREA0位置判定基準   | 0:検出位置基準<br>1:指令位置基準                                           | 0      | A    | 1880 (0758h)                        | 5976 (1758h)                         |
| 3762 (0EB2h)                    | 3763 (0EB3h)                    | AREA1位置判定基準   | 0:検出位置基準<br>1:指令位置基準                                           | 0      | A    | 1881 (0759h)                        | 5977 (1759h)                         |
| 3764 (0EB4h)                    | 3765 (0EB5h)                    | AREA2位置判定基準   | 0:検出位置基準<br>1:指令位置基準                                           | 0      | A    | 1882 (075Ah)                        | 5978 (175Ah)                         |
| 3766 (0EB6h)                    | 3767 (0EB7h)                    | AREA3位置判定基準   | 0:検出位置基準<br>1:指令位置基準                                           | 0      | A    | 1883 (075Bh)                        | 5979 (175Bh)                         |
| 3768 (0EB8h)                    | 3769 (0EB9h)                    | AREA4位置判定基準   | 0:検出位置基準<br>1:指令位置基準                                           | 0      | A    | 1884 (075Ch)                        | 5980 (175Ch)                         |
| 3770 (0EBAh)                    | 3771 (0EBBh)                    | AREA5位置判定基準   | 0:検出位置基準<br>1:指令位置基準                                           | 0      | A    | 1885 (075Dh)                        | 5981 (175Dh)                         |
| 3772 (0EBCh)                    | 3773 (0EBDh)                    | AREA6位置判定基準   | 0:検出位置基準<br>1:指令位置基準                                           | 0      | A    | 1886 (075Eh)                        | 5982 (175Eh)                         |
| 3774 (0EBEh)                    | 3775 (0EBFh)                    | AREA7位置判定基準   | 0:検出位置基準<br>1:指令位置基準                                           | 0      | A    | 1887 (075Fh)                        | 5983 (175Fh)                         |

</contents>
