ファイル名: HM-60252J_page406

<overview>
このページは「ダイレクトI/O設定パラメータ」に関する内容で構成されています。主に表形式で、Modbus通信レジスタアドレス、名称、設定範囲、初期値、反映の有無、FAネットワーク命令コード（READ/WRITE）が一覧で示されています。テキスト部分は表のタイトルと注釈程度で、グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 14-14 ダイレクトI/O設定パラメータ
Modbus通信レジスタアドレスごとに、各種入力機能や接点設定、出力機能の名称、設定範囲、初期値、反映の有無、FAネットワーク命令コードが一覧で示されています。

### 表
#### ダイレクトI/O設定パラメータ一覧

| Modbus通信レジスタアドレス 上位 | Modbus通信レジスタアドレス 下位 | 名称                         | 設定範囲               | 初期値          | 反映 | FAネットワーク命令コード READ (16進) | FAネットワーク命令コード WRITE (16進) |
|:-------------------------------:|:-------------------------------:|:----------------------------|:-----------------------|:---------------|:----:|:------------------------------------:|:-------------------------------------:|
| 4224 (1080h)                    | 4225 (1081h)                    | DIN0入力機能                 | 入力信号一覧（419ページ参照） | 32:START       | C    | 2112 (0840h)                        | 6208 (1840h)                         |
| 4226 (1082h)                    | 4227 (1083h)                    | DIN1入力機能                 |                         | 64:M0          | C    | 2113 (0841h)                        | 6209 (1841h)                         |
| 4228 (1084h)                    | 4229 (1085h)                    | DIN2入力機能                 |                         | 65:M1          | C    | 2114 (0842h)                        | 6210 (1842h)                         |
| 4230 (1086h)                    | 4231 (1087h)                    | DIN3入力機能                 |                         | 66:M2          | C    | 2115 (0843h)                        | 6211 (1843h)                         |
| 4232 (1088h)                    | 4233 (1089h)                    | DIN4入力機能                 |                         | 37:ZHOME       | C    | 2116 (0844h)                        | 6212 (1844h)                         |
| 4234 (108Ah)                   | 4235 (108Bh)                   | DIN5入力機能                 |                         | 1:FREE         | C    | 2117 (0845h)                        | 6213 (1845h)                         |
| 4236 (108Ch)                   | 4237 (108Dh)                   | DIN6入力機能                 |                         | 5:STOP         | C    | 2118 (0846h)                        | 6214 (1846h)                         |
| 4238 (108Eh)                   | 4239 (108Fh)                   | DIN7入力機能                 |                         | 8:ALM-RST      | C    | 2119 (0847h)                        | 6215 (1847h)                         |
| 4240 (1090h)                   | 4241 (1091h)                   | DIN8入力機能                 |                         | 48:FW-JOG      | C    | 2120 (0848h)                        | 6216 (1848h)                         |
| 4242 (1092h)                   | 4243 (1093h)                   | DIN9入力機能                 |                         | 49:RV-JOG      | C    | 2121 (0849h)                        | 6217 (1849h)                         |
| 4256 (10A0h)                   | 4257 (10A1h)                   | DIN0接点設定（信号反転）     | 0:反転しない/1:反転する | 0              | C    | 2128 (0850h)                        | 6224 (1850h)                         |
| 4258 (10A2h)                   | 4259 (10A3h)                   | DIN1接点設定（信号反転）     | 0:反転しない/1:反転する | 0              | C    | 2129 (0851h)                        | 6225 (1851h)                         |
| 4260 (10A4h)                   | 4261 (10A5h)                   | DIN2接点設定（信号反転）     | 0:反転しない/1:反転する | 0              | C    | 2130 (0852h)                        | 6226 (1852h)                         |
| 4262 (10A6h)                   | 4263 (10A7h)                   | DIN3接点設定（信号反転）     | 0:反転しない/1:反転する | 0              | C    | 2131 (0853h)                        | 6227 (1853h)                         |
| 4264 (10A8h)                   | 4265 (10A9h)                   | DIN4接点設定（信号反転）     | 0:反転しない/1:反転する | 0              | C    | 2132 (0854h)                        | 6228 (1854h)                         |
| 4266 (10AAh)                  | 4267 (10ABh)                  | DIN5接点設定（信号反転）     | 0:反転しない/1:反転する | 0              | C    | 2133 (0855h)                        | 6229 (1855h)                         |
| 4268 (10ACh)                  | 4269 (10ADh)                  | DIN6接点設定（信号反転）     | 0:反転しない/1:反転する | 0              | C    | 2134 (0856h)                        | 6230 (1856h)                         |
| 4270 (10AEh)                  | 4271 (10AFh)                  | DIN7接点設定（信号反転）     | 0:反転しない/1:反転する | 0              | C    | 2135 (0857h)                        | 6231 (1857h)                         |
| 4272 (10B0h)                  | 4273 (10B1h)                  | DIN8接点設定（信号反転）     | 0:反転しない/1:反転する | 0              | C    | 2136 (0858h)                        | 6232 (1858h)                         |
| 4274 (10B2h)                  | 4275 (10B3h)                  | DIN9接点設定（信号反転）     | 0:反転しない/1:反転する | 0              | C    | 2137 (0859h)                        | 6233 (1859h)                         |
| 4288 (10C0h)                  | 4289 (10C1h)                  | DOUT0(通常)出力機能          | 出力信号一覧（420ページ参照） | 144:HOME-END   | C    | 2144 (0860h)                        | 6240 (1860h)                         |
| 4290 (10C2h)                  | 4291 (10C3h)                  | DOUT1(通常)出力機能          |                         | 138:IN-POS     | C    | 2145 (0861h)                        | 6241 (1861h)                         |
| 4292 (10C4h)                  | 4293 (10C5h)                  | DOUT2(通常)出力機能          |                         | 133:PLS-RDY    | C    | 2146 (0862h)                        | 6242 (1862h)                         |
| 4294 (10C6h)                  | 4295 (10C7h)                  | DOUT3(通常)出力機能          |                         | 132:READY      | C    | 2147 (0863h)                        | 6243 (1863h)                         |
| 4296 (10C8h)                  | 4297 (10C9h)                  | DOUT4(通常)出力機能          |                         | 134:MOVE       | C    | 2148 (0864h)                        | 6244 (1864h)                         |
| 4298 (10CAh)                  | 4299 (10CBh)                  | DOUT5(通常)出力機能          |                         | 130:ALM-B      | C    | 2149 (0865h)                        | 6245 (1865h)                         |

</contents>
