ファイル名: HM-60252J_page409

<overview>
このページは主に表形式で構成されており、2つの大きなセクションに分かれています。  
1つ目は「パラメータR/Wコマンド」に関する表で、Modbus通信のレジスタアドレス、名称、設定範囲、初期値、反映、FAネットワーク命令コード（READ/WRITE）が一覧化されています。  
2つ目は「リモートI/O設定パラメータ」に関する表で、同様にModbus通信のレジスタアドレス、名称、設定範囲、初期値、反映、FAネットワーク命令コードが記載されています。  
テキスト部分は表のタイトルや注釈程度で、図やグラフは含まれていません。
</overview>

<contents>
### テキスト
#### パラメータR/Wコマンド
Modbus通信のレジスタアドレス、名称、設定範囲、初期値、反映、FAネットワーク命令コード（READ/WRITE）が一覧で示されています。

#### リモートI/O設定パラメータ
Modbus通信のレジスタアドレス、名称、設定範囲、初期値、反映、FAネットワーク命令コードが一覧で示されています。  
入力信号一覧は419ページに記載されている旨の注記があります。

### 表
#### パラメータR/Wコマンド

| Modbus通信レジスタアドレス 上位 | Modbus通信レジスタアドレス 下位 | 名称               | 設定範囲                     | 初期値 | 反映 | FAネットワーク命令コード READ | FAネットワーク命令コード WRITE |
|:------------------:|:------------------:|------------------|-------------------------|-------|-----|-------------------------|--------------------------|
| 4512 (11A0h)       | 4513 (11A1h)       | DIN0強制1shot     | 0:1shot機能が無効<br>1:1shot機能が有効 | 0     | C   | 2256 (08D0h)            | 6352 (18D0h)             |
| 4514 (11A2h)       | 4515 (11A3h)       | DIN1強制1shot     |                         | 0     | C   | 2257 (08D1h)            | 6353 (18D1h)             |
| 4516 (11A4h)       | 4517 (11A5h)       | DIN2強制1shot     |                         | 0     | C   | 2258 (08D2h)            | 6354 (18D2h)             |
| 4518 (11A6h)       | 4519 (11A7h)       | DIN3強制1shot     |                         | 0     | C   | 2259 (08D3h)            | 6355 (18D3h)             |
| 4520 (11A8h)       | 4521 (11A9h)       | DIN4強制1shot     |                         | 0     | C   | 2260 (08D4h)            | 6356 (18D4h)             |
| 4522 (11ABh)       | 4523 (11ABh)       | DIN5強制1shot     |                         | 0     | C   | 2261 (08D5h)            | 6357 (18D5h)             |
| 4524 (11ACh)       | 4525 (11ADh)       | DIN6強制1shot     |                         | 0     | C   | 2262 (08D6h)            | 6358 (18D6h)             |
| 4526 (11AEh)       | 4527 (11AFh)       | DIN7強制1shot     |                         | 0     | C   | 2263 (08D7h)            | 6359 (18D7h)             |
| 4528 (11B0h)       | 4529 (11B1h)       | DIN8強制1shot     |                         | 0     | C   | 2264 (08D8h)            | 6360 (18D8h)             |
| 4530 (11B2h)       | 4531 (11B3h)       | DIN9強制1shot     |                         | 0     | C   | 2265 (08D9h)            | 6361 (18D9h)             |
| 4544 (11C0h)       | 4545 (11C1h)       | DOUT0 OFF出力遅延時間 | 0～250 ms                | 0     | C   | 2272 (08E0h)            | 6368 (18E0h)             |
| 4546 (11C2h)       | 4547 (11C3h)       | DOUT1 OFF出力遅延時間 |                         | 0     | C   | 2273 (08E1h)            | 6369 (18E1h)             |
| 4548 (11C4h)       | 4549 (11C5h)       | DOUT2 OFF出力遅延時間 |                         | 0     | C   | 2274 (08E2h)            | 6370 (18E2h)             |
| 4550 (11C6h)       | 4551 (11C7h)       | DOUT3 OFF出力遅延時間 |                         | 0     | C   | 2275 (08E3h)            | 6371 (18E3h)             |
| 4552 (11C8h)       | 4553 (11C9h)       | DOUT4 OFF出力遅延時間 |                         | 0     | C   | 2276 (08E4h)            | 6372 (18E4h)             |
| 4554 (11CAh)       | 4555 (11CBh)       | DOUT5 OFF出力遅延時間 |                         | 0     | C   | 2277 (08E5h)            | 6373 (18E5h)             |

#### リモートI/O設定パラメータ

| Modbus通信レジスタアドレス 上位 | Modbus通信レジスタアドレス 下位 | 名称           | 設定範囲               | 初期値  | 反映 | FAネットワーク命令コード READ | FAネットワーク命令コード WRITE |
|:------------------:|:------------------:|--------------|---------------------|--------|-----|-------------------------|--------------------------|
| 4608 (1200h)       | 4609 (1201h)       | R-IN0入力機能 | 入力信号一覧→419ページ | 64:M0  | C   | 2304 (0900h)            | 6400 (1900h)             |
| 4610 (1202h)       | 4611 (1203h)       | R-IN1入力機能 |                     | 65:M1  | C   | 2305 (0901h)            | 6401 (1901h)             |
| 4612 (1204h)       | 4613 (1205h)       | R-IN2入力機能 |                     | 66:M2  | C   | 2306 (0902h)            | 6402 (1902h)             |
| 4614 (1206h)       | 4615 (1207h)       | R-IN3入力機能 |                     | 32:START | C   | 2307 (0903h)            | 6403 (1903h)             |
| 4616 (1208h)       | 4617 (1209h)       | R-IN4入力機能 |                     | 37:ZHOME | C   | 2308 (0904h)            | 6404 (1904h)             |
| 4618 (120Ah)       | 4619 (120Bh)       | R-IN5入力機能 |                     | 5:STOP | C   | 2309 (0905h)            | 6405 (1905h)             |
| 4620 (120Ch)       | 4621 (120Dh)       | R-IN6入力機能 |                     | 1:FREE | C   | 2310 (0906h)            | 6406 (1906h)             |
| 4622 (120Eh)       | 4623 (120Fh)       | R-IN7入力機能 |                     | 8:ALM-RST | C   | 2311 (0907h)            | 6407 (1907h)             |
</contents>
