ファイル名: HM-60252J_page413

<overview>
このページは「仮想入力パラメータ」に関する内容で構成されています。主に表形式で、Modbus通信のレジスタアドレス、名称、設定範囲、初期値、反映、FAネットワーク命令コード（READ/WRITE）が一覧で示されています。テキスト部分は表の見出しや注釈が中心で、グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 14-18 仮想入力パラメータ
Modbus通信のレジスタアドレスごとに仮想入力の各機能や設定項目が一覧化されています。設定範囲や初期値、反映の有無、FAネットワーク命令コードの読み書きアドレスが詳細に記載されています。

### 表
#### 仮想入力パラメータ一覧

| Modbus通信レジスタアドレス 上位 | Modbus通信レジスタアドレス 下位 | 名称                         | 設定範囲                         | 初期値           | 反映 | FAネットワーク命令コード READ | FAネットワーク命令コード WRITE |
| :-------------------------------: | :-------------------------------: | :---------------------------- | :------------------------------ | :--------------- | :--- | :---------------------------- | :----------------------------- |
| 4736 (1280h)                     | 4737 (1281h)                     | 仮想入力(VIR-IN0)機能          | 入力信号一覧→419ページ           | 0:未使用         | C    | 2368 (0940h)                  | 6464 (1940h)                   |
| 4738 (1282h)                     | 4739 (1283h)                     | 仮想入力(VIR-IN1)機能          | 入力信号一覧→419ページ           | 0:未使用         | C    | 2369 (0941h)                  | 6465 (1941h)                   |
| 4740 (1284h)                     | 4741 (1285h)                     | 仮想入力(VIR-IN2)機能          | 入力信号一覧→419ページ           | 0:未使用         | C    | 2370 (0942h)                  | 6466 (1942h)                   |
| 4742 (1286h)                     | 4743 (1287h)                     | 仮想入力(VIR-IN3)機能          | 入力信号一覧→419ページ           | 0:未使用         | C    | 2371 (0943h)                  | 6467 (1943h)                   |
| 4744 (1288h)                     | 4745 (1289h)                     | 仮想入力(VIR-IN0)源選択        | 出力信号一覧→420ページ           | 128: CONST-OFF   | C    | 2372 (0944h)                  | 6468 (1944h)                   |
| 4746 (128Ah)                    | 4747 (128Bh)                    | 仮想入力(VIR-IN1)源選択        | 出力信号一覧→420ページ           | 128: CONST-OFF   | C    | 2373 (0945h)                  | 6469 (1945h)                   |
| 4748 (128Ch)                    | 4749 (128Dh)                    | 仮想入力(VIR-IN2)源選択        | 出力信号一覧→420ページ           | 128: CONST-OFF   | C    | 2374 (0946h)                  | 6470 (1946h)                   |
| 4750 (128Eh)                    | 4751 (128Fh)                    | 仮想入力(VIR-IN3)源選択        | 出力信号一覧→420ページ           | 128: CONST-OFF   | C    | 2375 (0947h)                  | 6471 (1947h)                   |
| 4752 (1290h)                    | 4753 (1291h)                    | 仮想入力(VIR-IN0)接点設定(信号反転) | 0:反転しない 1:反転する          | 0                | C    | 2376 (0948h)                  | 6472 (1948h)                   |
| 4754 (1292h)                    | 4755 (1293h)                    | 仮想入力(VIR-IN1)接点設定(信号反転) | 0:反転しない 1:反転する          | 0                | C    | 2377 (0949h)                  | 6473 (1949h)                   |
| 4756 (1294h)                    | 4757 (1295h)                    | 仮想入力(VIR-IN2)接点設定(信号反転) | 0:反転しない 1:反転する          | 0                | C    | 2378 (094Ah)                  | 6474 (194Ah)                   |
| 4758 (1296h)                    | 4759 (1297h)                    | 仮想入力(VIR-IN3)接点設定(信号反転) | 0:反転しない 1:反転する          | 0                | C    | 2379 (094Bh)                  | 6475 (194Bh)                   |
| 4760 (1298h)                    | 4761 (1299h)                    | 仮想入力(VIR-IN0)ON信号検出不感時間 | 0～250 ms                       | 0                | C    | 2380 (094Ch)                  | 6476 (194Ch)                   |
| 4762 (129Ah)                    | 4763 (129Bh)                    | 仮想入力(VIR-IN1)ON信号検出不感時間 | 0～250 ms                       | 0                | C    | 2381 (094Dh)                  | 6477 (194Dh)                   |
| 4764 (129Ch)                    | 4765 (129Dh)                    | 仮想入力(VIR-IN2)ON信号検出不感時間 | 0～250 ms                       | 0                | C    | 2382 (094Eh)                  | 6478 (194Eh)                   |
| 4766 (129Eh)                    | 4767 (129Fh)                    | 仮想入力(VIR-IN3)ON信号検出不感時間 | 0～250 ms                       | 0                | C    | 2383 (094Fh)                  | 6479 (194Fh)                   |
| 4768 (12A0h)                   | 4769 (12A1h)                   | 仮想入力(VIR-IN0)強制1shot       | 0:1shot機能が無効 1:1shot機能が有効 | 0                | C    | 2384 (0950h)                  | 6480 (1950h)                   |
| 4770 (12A2h)                   | 4771 (12A3h)                   | 仮想入力(VIR-IN1)強制1shot       | 0:1shot機能が無効 1:1shot機能が有効 | 0                | C    | 2385 (0951h)                  | 6481 (1951h)                   |
| 4772 (12A4h)                   | 4773 (12A5h)                   | 仮想入力(VIR-IN2)強制1shot       | 0:1shot機能が無効 1:1shot機能が有効 | 0                | C    | 2386 (0952h)                  | 6482 (1952h)                   |
| 4774 (12A6h)                   | 4775 (12A7h)                   | 仮想入力(VIR-IN3)強制1shot       | 0:1shot機能が無効 1:1shot機能が有効 | 0                | C    | 2387 (0953h)                  | 6483 (1953h)                   |

</contents>
