ファイル名: HM-60252J_page441

<overview>
このPDFファイルは「アラームとインフォメーション」に関する章の内容で構成されています。全体は3つの大きなセクションに分かれており、テキスト中心の説明が主体です。具体的には、アラーム機能の詳細説明、インフォメーション機能の説明、そして装置の保守に役立つ機能の紹介が含まれています。表やグラフはこの目次ページには見られず、主にテキストと目次構成で構成されています。
</overview>

<contents>
### テキスト
#### 9 アラームとインフォメーション
本章では、アラーム機能やインフォメーション機能について説明しています。また、装置の保守に役立つ機能についても解説しています。

##### もくじ
1. アラーム (442ページ)
- 1-1 アラームの解除
- 1-2 アラームの履歴
- 1-3 アラームの発生条件
- 1-4 アラーム一覧
- 1-5 アラーム履歴のモニタ
- 1-6 タイミングチャート

2. インフォメーション (454ページ)
- 2-1 インフォメーションの履歴
- 2-2 インフォメーション一覧
- 2-3 インフォメーション機能のモニタ

3. 装置の保守に役立てる (460ページ)
- 3-1 積算負荷
- 3-2 TRIPメーター（走行距離）とODOメーター（積算走行距離）
- 3-3 ラッチ機能
</contents>
