ファイル名: HM-60252J_page444

<overview>
このページは「アラーム」に関する内容で構成されています。主に表形式で、アラームコードごとにLED点滅回数、アラームの種類、原因、処置、ALM-RST入力による解除可否、モーター励磁の有無が記載されています。テキスト部分は表の説明や補足はなく、表がページ全体の情報を占めています。グラフや図は含まれていません。
</overview>

<contents>
### 表：アラーム一覧

| アラームコード | LED点滅回数 | アラームの種類         | 原因                                                                 | 処置                                                                                                                                                                                                                   | ALM-RST入力による解除 | モーター励磁 |
|:--------------:|:------------:|:----------------------|:--------------------------------------------------------------------|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:---------------------:|:------------:|
| 30h            | 2            | 過負荷                 | 最大トルクを超える負荷が、「過負荷アラーム」パラメータの設定値を超える時間、加わった。 | ・負荷を軽くしてください。<br>・加減速時間を長くする、または加減速レートを緩やかにしてください。<br>・運転電流を大きくしてください。                                                                                 | 可                    | 無励磁       |
| 31h            | 2            | 過速度                 | モーター出力軸の検出速度が仕様値を超えた。                           | ・「電子ギヤA」パラメータと「電子ギヤB」パラメータを見直して、モーター出力軸の速度を仕様値未満にしてください。<br>・加速時にオーバーシュートが発生しているときは、加速時間を長くする、または加速レートを緩やかにしてください。 | 可                    | 無励磁       |
| 33h            | 7            | 絶対位置異常           | ABZOセンサの原点情報が破損した。                                   | 位置プリセットを実行してから、原点を再設定してください。                                                                                                                                                             | 不可                  | 無励磁       |
| 34h            | 2            | 指令パルス異常         | 指令パルスの周波数が仕様値を超えた。                               | 指令パルスの周波数を低くしてください。                                                                                                                                                                               | 可                    | 無励磁       |
| 41h            | 9            | EEPROM異常             | ドライバの保存データが破損した。                                   | すべてのパラメータを初期化してください。                                                                                                                                                                           | 不可                  | 無励磁       |
| 42h            | 8            | 初期時センサ異常       | 電源投入時、ABZOセンサの異常が検出された。                         | 電源を切り、ABZOセンサの接続を確認し、電源を再投入してください。                                                                                                                                                   | 不可                  | 無励磁       |
| 43h            | 8            | 初期時回転異常         | 電源投入時、モーターが回転していた。                               | 電源投入時に外力でモーター出力軸が回らないよう、負荷状態などを見直してください。                                                                                                                                   | 不可                  | 無励磁       |
| 44h            | 8            | エンコーダEEPROM異常   | ABZOセンサの保存データが破損した。                               | 次のどちらかを実行してください。それでも同じアラームが発生するときは、ABZOセンサが破損しています。お客様ご相談センターにお問い合わせください。<br>・メンテナンスコマンドの「ZSG-PRESET」で、Z相を再設定してください。<br>・MEXE02の「TRIPメータークリア」、またはメンテナンスコマンドの「TRIPメーターのクリア」を実行してください。 | 不可                  | 無励磁       |
| 45h            | 8            | モーター組合せ異常     | ドライバに対応していないモーターを接続した。                       | ドライバ品名とモーター品名を確認し、正しい組み合わせで接続してください。                                                                                                                                           | 不可                  | 無励磁       |
| 44h            | 7            | 原点復帰未完了         | 座標が確定していない状態で絶対位置決め運転を開始した。             | 位置プリセットまたは原点復帰運転を実行してください。                                                                                                                                                               | 可                    | 励磁         |

</contents>
