ファイル名: HM-60252J_page445

<overview>
本ページは「アラーム」に関する情報で構成されています。主に表形式で、アラームコードごとにLED点滅回数、アラームの種類、原因、処置、ALM-RST入力による解除可否、モーター励磁の有無が記載されています。テキストは表の各項目の説明に限定されており、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### アラーム一覧

| アラームコード | LED点滅回数 | アラームの種類                     | 原因                                                                                                     | 処置                                                                                                         | ALM-RST入力による解除 | モーター励磁 |
|:--------------:|:------------:|:---------------------------------:|:--------------------------------------------------------------------------------------------------------:|:------------------------------------------------------------------------------------------------------------:|:---------------------:|:------------:|
| 51h            | 2            | 回生抵抗器過熱 (AC電源ドライバのみ) | ・回生抵抗が正しく接続されていない。<br>・回生抵抗が異常に過熱した。                                      | ・回生抵抗を使用しないときは、CN1のTH1端子とTH2端子を短絡してください。<br>・回生抵抗を正しく接続してください。<br>・回生抵抗の許容回生電力を超えています。負荷や運転の条件を見直してください。 | 不可                  | 無励磁       |
| 53h            | 2            | HWTO入力回路異常                   | ・HWTO1入力またはHWTO2入力の片方がOFFになってから、もう片方の入力がOFFになるまでの時間が、「HWTO-2重系異常検出遅延時間」パラメータの設定値を超えた。<br>・上記の現象に相当する回路の故障が検出された。 | ・「HWTO-2重系異常検出遅延時間」パラメータを大きくしてください。<br>・HWTO1入力とHWTO2入力の配線を確認してください。 | 不可                  | 無励磁       |
| 60h            | 7            | ±LS同時入力                      | ・「FW-LS・RV-LS入力動作」パラメータが「アラーム発生」のとき、FW-LS入力とRV-LS入力の両方が検出された。<br>・FW-LS入力とRV-LS入力の両方が検出された状態で、原点復帰運転を実行した。 | 設置したセンサの論理と、「接点設定（信号反転）」パラメータを確認してください。                                   | 可                    | 励磁         |
| 61h            | 7            | ±LS逆接続                       | 3センサ方式または2センサ方式の原点復帰運転中、運転方向とは逆のLS入力が検出された。                         | センサの配線を確認してください。                                                                                 | 可                    | 励磁         |
| 62h            | 7            | 原点復帰運転異常                  | ・原点復帰運転中に、想定外の負荷が加わった。<br>・FW-LS、RV-LSセンサとHOMEセンサの設置位置が近接している。<br>・原点復帰運転終了時の位置プリセット処理に失敗した。<br>・1方向回転方式の原点復帰運転で、減速停止中にHOMEセンサを越えた。 | ・負荷を確認してください。<br>・センサの設置位置とモーターの運転開始方向を見直してください。<br>・原点復帰終了時に、最大トルクを超える負荷が加わらないようにしてください。<br>・HOMEセンサの仕様と、「（HOME）原点復帰加減速」パラメータを見直してください。 | 可                    | 励磁         |
| 63h            | 7            | HOMES未検出                     | 3センサ方式の原点復帰運転で、FW-LS入力とRV-LS入力の間にHOMES入力が検出されなかった。                     | HOMEセンサはFW-LSセンサとRV-LSセンサの間に設置してください。                                                   | 可                    | 励磁         |
| 64h            | 7            | TIM、ZSG、SLIT信号異常            | 原点復帰運転中に、TIM出力、ZSG出力、およびSLIT入力を検出できなかった。                                   | ・HOMES入力がONの間に、これらの信号がONになるよう、負荷の結合状態やHOMEセンサの位置を見直してください。<br>・信号を使用しないときは、「原点復帰TIM・ZSG信号検出」パラメータや「原点復帰SLITセンサ検出」パラメータを「無効」に設定してください。 | 可                    | 励磁         |

</contents>
