ファイル名: HM-60252J_page61

<overview>
本ページは「ストアードデータ（SD）運転」に関する設定項目をまとめた表で構成されています。ページ全体は表形式で、各設定項目の名称、内容（説明・設定範囲）、および初期値が記載されています。テキスト部分は表内の説明文であり、図やグラフは含まれていません。
</overview>

<contents>
### 表
#### ストアードデータ（SD）運転設定項目一覧

| 名称               | 内容                                                                                                                                                                                                                              | 初期値 |
|--------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------|
| 運転終了遅延       | 運転終了後に発生する待ち時間を設定します。<br>【設定範囲】0～65,535（1=0.001秒）                                                                                                                                                 | 0      |
| 結合               | 結合方法を設定します。<br>【設定範囲】<br>0:結合無<br>1:手動順送<br>2:自動順送<br>3:形状接続                                                                                                                                    | 0      |
| 結合先             | 結合先を設定します。<br>【設定範囲】<br>-256:Stop<br>-2:↓↓(+2)<br>-1:↓(+1)<br>0～255:運転データNo.                                                                                                                             | -1     |
| オフセット（エリア） | MAREA出力がONになる範囲の中心位置から、位置決め運転の目標位置までの距離を設定します。連続運転の場合は、運転開始位置までの距離を設定します。<br>【設定範囲】-2,147,483,648～2,147,483,647 step                                                        | 0      |
| 幅（エリア）       | MAREA出力がONになる範囲を設定します。<br>【設定範囲】-1:無効<br>0～4,194,303 step                                                                                                                                               | -1     |
| カウント（Loop）   | ループ回数を設定します。<br>【設定範囲】<br>0:-(ループしない)<br>2～255:loop 2～loop 255（ループ回数）                                                                                                                           | 0      |
| 位置オフセット（Loop） | ループをするたびに位置（移動量）をオフセットします。<br>【設定範囲】-4,194,304～4,194,303 step                                                                                                                                | 0      |
| 終了（Loop）       | ループを終了する運転データNo.に設定します。<br>【設定範囲】<br>0:-(ループ終了点ではない)<br>1:L-End（ループ終了点）                                                                                                               | 0      |
| 弱イベント         | 弱イベントを発生させるための、運転I/Oイベントの番号を設定します。イベントを発生させる条件は、運転I/Oイベントで設定します。<br>【設定範囲】-1:-(無効)<br>0～31:運転I/Oイベント番号                                               | -1     |
| 強イベント         | 強イベントを発生させるための、運転I/Oイベントの番号を設定します。弱イベントと強イベントが同時に発生した場合は、強イベントが優先されます。イベントを発生させる条件は、運転I/Oイベントで設定します。<br>【設定範囲】-1:-(無効)<br>0～31:運転I/Oイベント番号 | -1     |
</contents>
