ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page100

<overview>
本ページはCPUユニット用命令の応用命令に関する説明で構成されています。ページ全体は主に表形式で整理されており、各命令の命令記号、処理内容、参照先ページが一覧で示されています。テキスト部分は命令の概要説明が中心で、表部分は命令の詳細を整理したものです。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
本ページはBIN16ビットおよび32ビットデータに関する各種命令の一覧を示しています。命令はデータのソート、テーブルソート、合計値算出、平均値算出、平方根算出などの機能に分類されています。

### 表
#### BIN16ビット/32ビットデータソート
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| SORTD | 指定されたデバイスから(n)点分のデータを16ビット単位でソートする。((n)×((n)-1)÷2スキャン必要) | 733ページ SORTD(_U) |
| SORTD_U | 同上 | 同上 |
| DSORTD | 指定されたデバイスから(n)点分のデータを32ビット単位でソートする。((n)×((n)-1)÷2スキャン必要) | 735ページ DSORTD(_U) |
| DSORTD_U | 同上 | 同上 |

#### BIN16ビットデータテーブルソート
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| SORTTBL | 指定された列方向に連続する((n1)×(n2))点のBIN16ビットデータテーブル(並び替え元)を、(n3)列のデータを基準にデータ行を昇順または降順で並び替え、(d)で指定した((n1)×(n2))点のBIN16ビットデータテーブル(並び替え後)に格納する。 | 737ページ SORTTBL(_U) |
| SORTTBL_U | 同上 | 同上 |

#### BIN16ビット/32ビットデータテーブルソート2
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| SORTTBL2 | 指定された行方向に連続する((n1)×(n2))点のBIN16ビットデータテーブル(並び替え元)を、(n3)列のデータを基準にデータ行を昇順または降順で並び替え、(d)で指定した((n1)×(n2))点のBIN16ビットデータテーブル(並び替え後)に格納する。 | 741ページ SORTTBL2(_U) |
| SORTTBL2_U | 同上 | 同上 |
| DSORTTBL2 | 指定された行方向に連続する((n1)×(n2))点のBIN32ビットデータテーブル(並び替え元)を、(n3)列のデータを基準にデータ行を昇順または降順で並び替え、(d)で指定した((n1)×(n2))点のBIN32ビットデータテーブル(並び替え後)に格納する。 | 745ページ DSORTTBL2(_U) |
| DSORTTBL2_U | 同上 | 同上 |

#### BIN16ビットデータ合計値算出
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| WSUM | 指定されたデバイスから(n)点分の16ビットBINデータをすべて加算し、(d)で指定のデバイスに格納する。 | 749ページ WSUM(P)(_U) |
| WSUM_U | 同上 | 同上 |
| WSUMP | 同上 | 同上 |
| WSUMP_U | 同上 | 同上 |

#### BIN32ビットデータ合計値算出
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| DWSUM | 指定されたデバイスから(n)点分の32ビットBINデータをすべて加算し、(d)で指定のデバイスに格納する。 | 751ページ DWSUM(P)(_U) |
| DWSUM_U | 同上 | 同上 |
| DWSUMP | 同上 | 同上 |
| DWSUMP_U | 同上 | 同上 |

#### BIN16ビット/32ビットデータ平均値算出
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| MEAN | 指定されたデバイスから(n)点分(16ビット単位)の平均値を算出し、(d)で指定のデバイスに格納する。 | 753ページ MEAN(P)(_U) |
| MEANP | 同上 | 同上 |
| MEAN_U | 同上 | 同上 |
| MEANP_U | 同上 | 同上 |
| DMEAN | 指定されたデバイスから(n)点分(32ビット単位)の平均値を算出し、(d)で指定のデバイスに格納する。 | 755ページ DMEAN(P)(_U) |
| DMEANP | 同上 | 同上 |
| DMEAN_U | 同上 | 同上 |
| DMEANP_U | 同上 | 同上 |

#### BIN16ビット/32ビット平方根算出
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| SQRT | 指定したBIN16ビットデータの平方根を演算する。√(s)→(d) | 757ページ SQRT(P) |
| SQRTP | 同上 | 同上 |
| DSQRT | 指定したBIN32ビットデータの平方根を演算する。√(s)+1、(s)→(d) | 758ページ DSQRT(P) |
| DSQTP | 同上 | 同上 |
</contents>
