ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page1068

<overview>
本ページは主に表形式で構成されており、エラーコード、エラー内容、およびそれに対する処置方法が一覧で示されています。テキスト部分は少なく、ページ下部に章タイトルと節タイトルが記載されています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### エラーコード一覧と処置方法
| エラーコード | エラー内容 | 処置方法 |
|--------------|------------|----------|
| 1009H | 命令で指定するレコード数を指定していない。 | 引数のレコード数を1以上に設定する。 |
| 100AH | 命令で指定するレコード数が範囲外である。 | 引数のレコード数を範囲内に設定する。 |
| 100CH | Unicodeテキストのテーブルや設定値の区切り方が書式に従っていない。 | テーブルの区切り文字や設定値の区切り方が書式に従っているか確認する。 |
| 100DH | データベースに異常が発生した。 | 電源OFF→ON、もしくはリセットを行い、再度同じ現象が発生するか確認する。 |
| 100EH | 命令で指定する条件番号の設定が範囲外である。 | 条件番号の範囲が正しいか確認する。 |
| 100FH | 命令で条件が2つ指定する場合、条件間演算値が0である。 | 引数の条件間演算値が1または2になっているか確認する。 |
| 1010H | トランザクション可能なデータベース数を超過した。 | 2個以上のデータベースに対してトランザクションを実行していないか、既にトランザクションを開始した状態でトランザクションを実行していないか確認する。 |
| 1011H | トランザクション開始を実行せずに、コミットやロールバックを実行した。 | トランザクションがない状態でコミット、ロールバックを実行していないか確認する。 |
| 1012H | 追加、更新で使用する1レコードあたりのサイズの値が適切でない。 | 各フィールドのデータサイズと追加、更新しようとしているデータのサイズが合っているか確認する。 |
| 1013H | サポートされていないデータ型を設定している。 | Unicodeテキストのデータ型を確認する。 |
| 1014H | ・トランザクション実行中に別のデータベースをオープンした。<br>・トランザクション実行中にDBEXPORT(P)命令を実行しようとした。 | ・トランザクション実行中は新たにデータベースをオープンしないようにする。<br>・トランザクションを終了してから、DBEXPORT(P)命令を実行する。 |
| 1015H | 複数個のオープン済みデータベースに対して、トランザクションを実行した。 | トランザクション対象外のデータベースをクローズする。 |
| 101BH | 各命令の引数に指定する条件において、1個目の条件が設定されていない。 | 引数の1個目の条件のフィールドサイズが0以外の値か、フィールド名が空でないかを確認する。 |
| 101CH | 複数個の条件設定で、フィールドのデータサイズを設定していない。 | 条件で指定するフィールドのデータサイズが0になっていないか確認する。 |
| 101DH | 複数個の条件設定で、フィールド名を設定していない。 | 条件で指定するフィールド名が空でないか確認する。 |
| 101EH | 条件間演算子の値が範囲外である。 | 条件間演算子の値が正しいか確認する。 |
| 101FH | 2個目の条件設定での条件間演算子の値が範囲外である。 | 2個目の条件の「条件間演算値」に0以外の値を設定していないか確認する。 |
| 1020H | 設定値がデータ型で規定された範囲に入っていない。 | 設定値が範囲内にあるか確認する。 |
| 1021H | 既にオープン済みのデータベースを後からオープンしようとした。 | DBOPEN(P)命令の(s)に対応するパスを重複指定していないか確認する。 |
| 1022H | オープン済みのデータベースがある状態で、DBIMPORT(P)命令を実行した。 | オープン済みのデータベースをクローズしてから、DBIMPORT(P)命令を実行する。 |
| 1023H | 範囲外のテーブル番号を指定した。 | テーブル番号が範囲内か確認する。 |
| 102EH | 条件で指定するフィールドのサイズが範囲外である。 | 条件のフィールドサイズが範囲内か確認する。 |
| 1030H | 出力サイズが設定値よりも超過している。 | 出力サイズを調整する。 |
| 1031H | 出力件数が設定値よりも超過している。 | 出力件数を調整する。 |
| 1032H | DBOPEN(P)命令でデータベースをオープン中またはデータベースアクセス命令実行中に、SDメモリーカードが取りはずされたため、データベースアクセス命令または、外部機器からのCPUユニット内蔵データベースアクセス機能を実行できない。 | CPUユニットの電源OFF→ON、またはリセットを行う。 |
| 1040H | 追加するレコードの合計サイズが超過している。 | 追加するレコードの合計サイズを調整する。 |
| 2000H | Unicodeテキストファイルの書式が正しくない。 | ・Unicodeテキストファイルの書式が正しいか確認し、間違っていれば修正する。<br>・コメント行の文字数が範囲内か確認する。 |
| 2001H | Unicodeテキストファイルのキー設定が正しくない。 | Unicodeテキストファイルのキー制約で、範囲外の値が設定されていないか確認する。 |
| 2002H | データベース名、テーブルまたはフィールド名の文字数が超過した。 | ・Unicodeテキストファイルのデータベース名、テーブル名、フィールド名が32文字を超えていないか確認する。<br>・1行にタブが128個以上使用されていないか確認する。 |
| 2003H | テーブル数が超過した。 | Unicodeテキストファイルのテーブル数が32個を超えていないか確認する。 |
| 2004H | Unicodeテキストファイルのレコードで、設定値の書式が正しくない。 | Unicodeテキストファイルの設定値の書式が正しいか確認する。 |
| 2005H | インポート可能な最大レコード数を超過した。 | テキストファイル内のレコード数が最大件数(100,000件)を超えていないか確認する。 |
| 2006H | データベース名に使用できない文字が含まれている。 | テキストファイルのデータベース名で使用できない文字が含まれていないか確認する。 |

### テキスト
- ページ下部に「18 CPUユニット内蔵データベースアクセス機能」「18.1 データベースアクセス命令」という章・節タイトルが記載されている。
</contents>
