ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page120

<overview>
本ページはCPUユニット用命令の応用命令に関する説明で構成されています。ページ全体はテキストと表で構成されており、各命令の命令記号、処理内容、参照先をまとめた表が複数並んでいます。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
本ページはCPUユニット内および他号機のCPUユニット内のバッファメモリに対する1ワード/2ワード単位のデータリードおよびデータライト命令、ユニット形名読出し命令、ユニット固有情報読出し命令について説明しています。

### 表
#### ユニットからの1ワード/2ワードデータリード（16ビット指定）
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| FROM | インテリジェント機能ユニットおよび他号機のCPUユニット内のバッファメモリから、(n)ワード分のデータを16ビット単位で読み出します。 | 1117ページ FROM(P), DFROM(P) |
| FROMP | 同上 | 同上 |
| DFROM | 同上（2ワード分） | 同上 |
| DFROMP | 同上（2ワード分） | 同上 |

#### ユニットへの1ワード/2ワードデータライト（16ビット指定）
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| TO | インテリジェント機能ユニットおよび自号機のCPUユニット内のバッファメモリに、(n)ワード分のデータを16ビット単位で書き込みます。 | 1121ページ TO(P), DTO(P) |
| TOP | 同上 | 同上 |
| DTO | 同上（2ワード分） | 同上 |
| DTOP | 同上（2ワード分） | 同上 |

#### ユニットからの1ワード/2ワードデータリード（32ビット指定）
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| FROMD | インテリジェント機能ユニットおよび他号機のCPUユニット内のバッファメモリから、(n)ワード分のデータを32ビット単位で読み出します。 | 1126ページ FROMD(P), DFROMD(P) |
| FROMDP | 同上 | 同上 |
| DFROMD | 同上（2ワード分） | 同上 |
| DFROMDP | 同上（2ワード分） | 同上 |

#### ユニットへの1ワード/2ワードデータライト（32ビット指定）
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| TOD | インテリジェント機能ユニットおよび自号機のCPUユニット内のバッファメモリに、(n)ワード分のデータを32ビット単位で書き込みます。 | 1130ページ TOD(P), DTOD(P) |
| TODP | 同上 | 同上 |
| DTOD | 同上（2ワード分） | 同上 |
| DTODP | 同上（2ワード分） | 同上 |

#### ユニット形名読出し
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| TYPERD | (H)で指定した先頭入出力番号のユニット形名を読み出し、(d)で指定したデバイス以降に格納します。 | 1135ページ TYPERD(P) |
| TYPERDP | 同上 | 同上 |

#### ユニット固有情報読出し
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| UNIINFRD | (H)で指定されたユニットから、(n)で指定された点数分のユニット情報を、(d)で指定されたデバイス以降に格納します。 | 1139ページ UNIINFRD(P) |
| UNIINFRDP | 同上 | 同上 |
</contents>
