ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page1461

<overview>
本ページはエラーコードに関する説明で構成されており、テキスト部分と表部分で構成されています。テキスト部分では、各データ型（BOOL型、REAL型、LREAL型、STRING型）におけるエラー発生条件の説明があり、表部分ではエラーコードとその内容が整理されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
本ページは、(s1)、(s2)、(s3)の各パラメータが異なるデータ型の場合に発生するエラーコードとその内容について説明しています。対象データ型はBOOL型、REAL型、LREAL型、STRING型です。

### 表
#### (s1)、(s2)、(s3)がBOOL型の場合
| エラーコード (SD0) | 内容 |
| :--- | :--- |
| 3405H | (s1)で指定した下限リミット値が、(s3)で指定した上限リミット値よりも大きいとき。 |

#### (s1)、(s2)、(s3)がREAL型の場合
| エラーコード (SD0) | 内容 |
| :--- | :--- |
| 3402H | (s1)の内容が指定範囲外のとき。範囲は-2^128 < (s1) ≤ 2^126、0、2^-126 < (s1) < 2^128 (E-3.40282347+38～E-1.17549435-38、0、E1.17549435-38～E3.40282347+38) |
|  | (s1)で指定したデータが0、非正規化数、非数、±∞のとき。 |
|  | (s2)の内容が指定範囲外のとき。範囲は-2^128 < (s2) ≤ 2^126、0、2^-126 < (s2) < 2^128 (E-3.40282347+38～E-1.17549435-38、0、E1.17549435-38～E3.40282347+38) |
|  | (s2)で指定したデータが0、非正規化数、非数、±∞のとき。 |
|  | (s3)の内容が指定範囲外のとき。範囲は-2^128 < (s3) ≤ 2^126、0、2^-126 < (s3) < 2^128 (E-3.40282347+38～E-1.17549435-38、0、E1.17549435-38～E3.40282347+38) |
|  | (s3)で指定したデータが0、非正規化数、非数、±∞のとき。 |
| 3405H | (s1)で指定した下限リミット値が、(s3)で指定した上限リミット値よりも大きいとき。 |

#### (s1)、(s2)、(s3)がLREAL型の場合
| エラーコード (SD0) | 内容 |
| :--- | :--- |
| 3402H | (s1)の内容が指定範囲外のとき。範囲は-2^1024 < (s1) ≤ 2^1022、0、2^-1022 < (s1) < 2^1024 (E-1.7976931348623157+308～E-2.2250738585072014-308、0、E2.2250738585072014-308～E1.7976931348623157+308) |
|  | (s1)で指定したデータが0、非正規化数、非数、±∞のとき。 |
|  | (s2)の内容が指定範囲外のとき。範囲は-2^1024 < (s2) ≤ 2^1022、0、2^-1022 < (s2) < 2^1024 (E-1.7976931348623157+308～E-2.2250738585072014-308、0、E2.2250738585072014-308～E1.7976931348623157+308) |
|  | (s2)で指定したデータが0、非正規化数、非数、±∞のとき。 |
|  | (s3)の内容が指定範囲外のとき。範囲は-2^1024 < (s3) ≤ 2^1022、0、2^-1022 < (s3) < 2^1024 (E-1.7976931348623157+308～E-2.2250738585072014-308、0、E2.2250738585072014-308～E1.7976931348623157+308) |
|  | (s3)で指定したデータが0、非正規化数、非数、±∞のとき。 |
| 3405H | (s1)で指定した下限リミット値が、(s3)で指定した上限リミット値よりも大きいとき。 |

#### (s1)、(s2)、(s3)がSTRING型の場合
| エラーコード (SD0) | 内容 |
| :--- | :--- |
| 2820H | (s1)、(s2)、(s3)で指定したラベル、または指定したデバイス番号から該当デバイスの最終デバイス番号までの間に、00Hが設定されていないとき。 |
| 3405H | (s1)で指定した下限リミット値が、(s3)で指定した上限リミット値よりも大きいとき。 |
|  | (s1)、(s2)、(s3)で指定する文字列の文字数が16,383文字を超えるとき。 |
| 3406H | (d)で指定されたラベル、または指定したデバイス番号から該当デバイスの最終デバイス番号までの点数に、指定した文字列がすべて格納できないとき。 |

</contents>
