ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page1536

<overview>
本ページは表形式で構成されており、命令ごとの処理時間に関するデータが示されています。テキスト部分はほとんどなく、表がメインです。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 命令処理時間一覧表
命令名ごとに、条件別の処理時間（単位：マイクロ秒）が示されています。処理時間はCPUユニット別に「R00CPU、R01CPU」「R02CPU」「左記以外のCPUユニット」の3区分に分かれており、それぞれ最小値と最大値が記載されています。

| 命令名 | 条件 | R00CPU, R01CPU（最小） | R00CPU, R01CPU（最大） | R02CPU（最小） | R02CPU（最大） | 左記以外CPUユニット（最小） | 左記以外CPUユニット（最大） |
| --- | --- | --- | --- | --- | --- | --- | --- |
| SCJ | － | 1.300 | 2.400 | 1.100 | 2.200 | 1.000 | 2.000 |
| JMP | － | 4.100 | 4.900 | 1.400 | 2.500 | 1.000 | 2.100 |
| GOEND | － | 28.800 | － | 3.600 | － | 0.900 | － |
| DI | － | 6.000 | 8.300 | 3.700 | 6.000 | 2.800 | 4.200 |
| DI (s) | － | 6.600 | 8.900 | 3.800 | 6.100 | 3.000 | 4.200 |
| EI | － | 6.000 | 11.000 | 4.600 | 10.500 | 4.100 | 9.200 |
| IMASK | － | 3.500 | 4.000 | 1.300 | 2.000 | 1.000 | 1.800 |
| SIMASK | － | 3.100 | 3.700 | 1.000 | 2.000 | 0.800 | 1.700 |
| IRET | － | 3.200 | 3.700 | 2.200 | 2.700 | 1.700 | 2.200 |
| WDT | － | 6.400 | 17.900 | 5.400 | 16.900 | 4.900 | 16.400 |
| FOR | － | 0.06272 | － | 0.00784 | － | 0.00196 | － |
| NEXT | － | 1.25440 | － | 0.15680 | － | 0.03920 | － |
| BREAK | － | 5.900 | 11.500 | 4.900 | 10.500 | 4.400 | 10.000 |
| CALL Pn | ローカルポインタ | 3.700 | 4.300 | 1.100 | 1.800 | 0.800 | 1.500 |
| CALL Pn | グローバルポインタ | 8.200 | 17.700 | 4.900 | 15.500 | 3.900 | 13.500 |
| CALL Pn (s1)～(s5) | ローカルポインタ | 18.900 | 42.100 | 17.900 | 41.100 | 17.400 | 40.600 |
| RET | 自プログラムまでのリターン | 6.400 | － | 0.800 | － | 0.200 | － |
| RET | 他プログラムまでのリターン | 64.000 | － | 8.000 | － | 2.000 | － |
| FCALL Pn | ローカルポインタ | 5.500 | 6.200 | 1.800 | 2.500 | 1.000 | 2.000 |
| FCALL Pn | グローバルポインタ | 14.000 | 34.000 | 9.000 | 30.000 | 4.300 | 22.900 |
| FCALL Pn (s1)～(s5) | ローカルポインタ | 17.900 | 39.300 | 16.900 | 38.300 | 16.400 | 37.800 |
