ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page1558

<overview>
本ページは表形式で構成されており、命令名ごとに「基本ステップ数」と「サブセット可否」の情報が一覧で示されています。テキスト部分はページ下部にページ番号と付録タイトルが記載されています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 命令名ごとの基本ステップ数とサブセット処理の可否一覧

| 命令名       | 基本ステップ数 | サブセット可否 |
|--------------|----------------|----------------|
| PHASECHG     | 6              | －             |
| PHASEEND     | 4              | －             |
| FEND         | 2              | －             |
| END          | 2              | －             |
| STOP         | 1              | －             |
| NOP          | 1              | －             |
| LD=          | 3              | ○             |
| LD<>         | 3              | ○             |
| LD>          | 3              | ○             |
| LD<=         | 3              | ○             |
| LD<          | 3              | ○             |
| LD>=         | 3              | ○             |
| AND=         | 3              | ○             |
| AND<>        | 3              | ○             |
| AND>         | 3              | ○             |
| AND<=        | 3              | ○             |
| AND<         | 3              | ○             |
| AND>=        | 3              | ○             |
| OR=          | 3              | ○             |
| OR<>         | 3              | ○             |
| OR>          | 3              | ○             |
| OR<=         | 3              | ○             |
| OR<          | 3              | ○             |
| OR>=         | 3              | ○             |
| LD=_U        | 3              | ○             |
| LD<>_U       | 3              | ○             |
| LD>_U        | 3              | ○             |
| LD<=_U       | 3              | ○             |
| LD<_U        | 3              | ○             |
| LD>=_U       | 3              | ○             |
| AND=_U       | 3              | ○             |
| AND<>_U      | 3              | ○             |
| AND>_U       | 3              | ○             |
| AND<=_U      | 3              | ○             |
| AND<_U       | 3              | ○             |
| AND>=_U      | 3              | ○             |
| OR=_U        | 3              | ○             |
| OR<>_U       | 3              | ○             |
| OR>_U        | 3              | ○             |
| OR<=_U       | 3              | ○             |
| OR<_U        | 3              | ○             |
| OR>=_U       | 3              | ○             |
| LDD=         | 3              | ○             |
| LDD<>        | 3              | ○             |
| LDD>         | 3              | ○             |
| LDD<=        | 3              | ○             |
| LDD<         | 3              | ○             |
| LDD>=        | 3              | ○             |
| ANDD=        | 3              | ○             |
| ANDD<>       | 3              | ○             |
| ANDD>        | 3              | ○             |
| ANDD<=       | 3              | ○             |
| ANDD<        | 3              | ○             |

- 「基本ステップ数」は各命令の処理に必要なステップ数を示しています。
- 「サブセット可否」はその命令がサブセット処理に対応しているかどうかを「○」または「－」で示しています。
- 「PHASECHG」や「PHASEEND」など一部の命令はサブセット処理不可となっています。

### テキスト
- ページ下部に「付録」「付2 基本ステップ数とサブセット処理の可否」と記載されています。
- ページ番号は「1558」です。
</contents>
