ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page1559

<overview>
本ページは付録の一部であり、命令名ごとに「基本ステップ数」と「サブセット可否」を一覧表形式で示している。ページ全体は表のみで構成されており、テキストやグラフは含まれていない。
</overview>

<contents>
### 表
#### 命令名ごとの基本ステップ数とサブセット処理の可否一覧

| 命令名       | 基本ステップ数 | サブセット可否 |
|--------------|----------------|----------------|
| ANDD>=       | 3              | ○              |
| ORD=         | 3              | ○              |
| ORD<>        | 3              | ○              |
| ORD>         | 3              | ○              |
| ORD<=        | 3              | ○              |
| ORD<         | 3              | ○              |
| ORD>=        | 3              | ○              |
| LDD=_U       | 3              | ○              |
| LDD<>_U      | 3              | ○              |
| LDD>_U       | 3              | ○              |
| LDD<=_U      | 3              | ○              |
| LDD<_U       | 3              | ○              |
| LDD>=_U      | 3              | ○              |
| ANDD=_U      | 3              | ○              |
| ANDD<>_U     | 3              | ○              |
| ANDD>_U      | 3              | ○              |
| ANDD<=_U     | 3              | ○              |
| ANDD<_U      | 3              | ○              |
| ANDD>=_U     | 3              | ○              |
| ORD=_U       | 3              | ○              |
| ORD<>_U      | 3              | ○              |
| ORD>_U       | 3              | ○              |
| ORD<=_U      | 3              | ○              |
| ORD<_U       | 3              | ○              |
| ORD>=_U      | 3              | ○              |
| CMP          | 4              | ―              |
| CMPP         | 5              | ―              |
| CMP_U        | 4              | ―              |
| CMPP_U       | 5              | ―              |
| DCMP         | 4              | ―              |
| DCMPP        | 5              | ―              |
| DCMP_U       | 4              | ―              |
| DCMPP_U      | 5              | ―              |
| ZCP          | 5              | ―              |
| ZCPP         | 6              | ―              |
| ZCP_U        | 5              | ―              |
| ZCPP_U       | 6              | ―              |
| DZCP         | 5              | ―              |
| DZCPP        | 6              | ―              |
| DZCP_U       | 5              | ―              |
| DZCPP_U      | 6              | ―              |
| BKCMP=       | 5              | ―              |
| BKCMP<>      | 5              | ―              |
| BKCMP>       | 5              | ―              |
| BKCMP<=      | 5              | ―              |
| BKCMP<       | 5              | ―              |
| BKCMP>=      | 5              | ―              |
| BKCMP=P      | 6              | ―              |
| BKCMP<>P     | 6              | ―              |
| BKCMP>P      | 6              | ―              |
| BKCMP<=P     | 6              | ―              |
| BKCMP<P      | 6              | ―              |
| BKCMP>=P     | 6              | ―              |

- 「基本ステップ数」は各命令の処理に必要な基本的なステップ数を示す。
- 「サブセット可否」はその命令がサブセット処理に対応しているかを示し、「○」は対応、「―」は非対応を意味する。
- 命令名は比較演算や論理演算に関するものが多く、末尾に「_U」や「=P」などの修飾が付くものも含まれている。
</contents>
