ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page1561

<overview>
本ページは表形式の情報で構成されており、主に命令名ごとに「基本ステップ数」と「サブセット可否」の2つの項目が一覧で示されています。テキスト部分はなく、表のみで構成されています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 命令名ごとの基本ステップ数とサブセット処理の可否一覧

| 命令名           | 基本ステップ数 | サブセット可否 |
|------------------|----------------|----------------|
| D+P (s) (d)      | 4              | ○              |
| D+ (s1) (s2) (d) | 3              | ○              |
| D+P (s1) (s2) (d)| 4              | ○              |
| D+_U (s) (d)     | 3              | ○              |
| D+P_U (s) (d)    | 4              | ○              |
| D+_U (s1) (s2) (d)| 3             | ○              |
| D+P_U (s1) (s2) (d)| 4            | ○              |
| D- (s) (d)       | 3              | ○              |
| D-P (s) (d)      | 4              | ○              |
| D- (s1) (s2) (d) | 3              | ○              |
| D-P (s1) (s2) (d)| 4              | ○              |
| D-_U (s) (d)     | 3              | ○              |
| D-P_U (s) (d)    | 4              | ○              |
| D-_U (s1) (s2) (d)| 3             | ○              |
| D-P_U (s1) (s2) (d)| 4            | ○              |
| *                | 3              | ○              |
| *P               | 4              | ○              |
| *_U              | 3              | ○              |
| *P_U             | 4              | ○              |
| /                | 3              | ○              |
| /P               | 4              | ○              |
| /_U              | 3              | ○              |
| /P_U             | 4              | ○              |
| D*               | 3              | ○              |
| D*P              | 4              | ○              |
| D*_U             | 3              | ○              |
| D*P_U            | 4              | ○              |
| D/               | 3              | ○              |
| D/P              | 4              | ○              |
| D/_U             | 3              | ○              |
| D/P_U            | 4              | ○              |
| B+ (s) (d)       | 3              | ○              |
| B+P (s) (d)      | 4              | ○              |
| B+ (s1) (s2) (d) | 4              | －              |
| B+P (s1) (s2) (d)| 5              | －              |
| B- (s) (d)       | 3              | ○              |
| B-P (s) (d)      | 4              | ○              |
| B- (s1) (s2) (d) | 4              | －              |
| B-P (s1) (s2) (d)| 5              | －              |
| DB+ (s) (d)      | 3              | －              |
| DB+P (s) (d)     | 4              | －              |
| DB+ (s1) (s2) (d)| 4              | －              |
| DB+P (s1) (s2) (d)| 5             | －              |
| DB- (s) (d)      | 3              | －              |
| DB-P (s) (d)     | 4              | －              |
| DB- (s1) (s2) (d)| 4              | －              |
| DB-P (s1) (s2) (d)| 5             | －              |
| B*               | 4              | ○              |
| B*P              | 5              | ○              |
| B/               | 4              | ○              |
| B/P              | 5              | ○              |
| DB*              | 4              | －              |
| DB*P             | 5              | －              |

- 「基本ステップ数」は各命令の処理に必要な基本的なステップ数を示しています。
- 「サブセット可否」はその命令がサブセット処理に対応しているかどうかを「○」で対応、「－」で非対応を示しています。
- 命令名には、括弧内にパラメータや型を示す記号が含まれています（例：s, s1, s2, d, P, Uなど）。
- 表はページ下部に「付録2 基本ステップ数とサブセット処理の可否」として記載されており、ページ番号は1561です。
</contents>
