ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page1562

<overview>
このページは主に表形式で構成されており、命令名ごとの「基本ステップ数」と「サブセット可否」について一覧で示しています。テキスト部分はほとんどなく、表がページ全体の情報を占めています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 命令名ごとの基本ステップ数とサブセット処理の可否一覧

| 命令名       | 基本ステップ数 | サブセット可否 |
|--------------|----------------|----------------|
| DB/          | 4              | －             |
| DB/P         | 5              | －             |
| BK+          | 5              | －             |
| BK+P         | 6              | －             |
| BK+_U        | 5              | －             |
| BK+P_U       | 6              | －             |
| BK-          | 5              | －             |
| BK-P         | 6              | －             |
| BK-_U        | 5              | －             |
| BK-P_U       | 6              | －             |
| DBK+         | 5              | －             |
| DBK+P        | 6              | －             |
| DBK+_U       | 5              | －             |
| DBK+P_U      | 6              | －             |
| DBK-         | 5              | －             |
| DBK-P        | 6              | －             |
| DBK-_U       | 5              | －             |
| DBK-P_U      | 6              | －             |
| INC          | 2              | ○              |
| INCP         | 3              | ○              |
| INC_U        | 2              | ○              |
| INCP_U       | 3              | ○              |
| DEC          | 2              | ○              |
| DECP         | 3              | ○              |
| DEC_U        | 2              | ○              |
| DECP_U       | 3              | ○              |
| DINC         | 2              | ○              |
| DINCP        | 3              | ○              |
| DINC_U       | 2              | ○              |
| DINCP_U      | 3              | ○              |
| DDEC         | 2              | ○              |
| DDECP        | 3              | ○              |
| DDEC_U       | 2              | ○              |
| DDECP_U      | 3              | ○              |
| WAND (s)(d)  | 3              | ○              |
| WANDP (s)(d) | 4              | ○              |
| WAND (s1)(s2)(d) | 3           | ○              |
| WANDP (s1)(s2)(d) | 4           | ○              |
| DAND (s)(d)  | 3              | ○              |
| DANDP (s)(d) | 4              | ○              |
| DAND (s1)(s2)(d) | 3           | ○              |
| DANDP (s1)(s2)(d) | 4           | ○              |
| BKAND        | 5              | －             |
| BKANDP       | 6              | －             |
| WOR (s)(d)   | 3              | ○              |
| WORP (s)(d)  | 4              | ○              |
| WOR (s1)(s2)(d) | 3           | ○              |
| WORP (s1)(s2)(d) | 4           | ○              |
| DOR (s)(d)   | 3              | ○              |
| DORP (s)(d)  | 4              | ○              |
| DOR (s1)(s2)(d) | 3           | ○              |
| DORP (s1)(s2)(d) | 4           | ○              |
| BKOR         | 5              | －             |

- 「基本ステップ数」は各命令の処理に必要な基本的なステップ数を示しています。
- 「サブセット可否」はその命令がサブセット処理に対応しているかどうかを「○」または「－」で表しています。
- 命令名には、基本形のほかに「_U」や「P」などの修飾が付いたバリエーションが含まれています。

この表は付録の一部であり、命令の処理負荷や機能対応の判断材料として利用されることが想定されます。
</contents>
