ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page1566

<overview>
このページは主に表形式で構成されており、「命令名」「基本ステップ数」「サブセット可否」の3つの項目からなる一覧表が掲載されています。テキスト部分はページ下部にページ番号と付録タイトルが記載されているのみで、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 基本ステップ数とサブセット処理の可否一覧
この表は各命令の名称ごとに、基本ステップ数とサブセット処理が可能かどうかを示しています。

| 命令名       | 基本ステップ数 | サブセット可否 |
|--------------|----------------|----------------|
| DDABIN       | 3              | －             |
| DDABINP      | 4              | －             |
| DDABIN_U     | 3              | －             |
| DDABINP_U    | 4              | －             |
| HABIN        | 3              | －             |
| HABINP       | 4              | －             |
| DHABIN       | 3              | －             |
| DHABINP      | 4              | －             |
| DABCD        | 3              | －             |
| DABCDP       | 4              | －             |
| DDABCD       | 3              | －             |
| DDABCDP      | 4              | －             |
| VAL          | 4              | －             |
| VALP         | 5              | －             |
| VAL_U        | 4              | －             |
| VALP_U       | 5              | －             |
| DVAL         | 4              | －             |
| DVALP        | 5              | －             |
| DVAL_U       | 4              | －             |
| DVALP_U      | 5              | －             |
| ASC2INT      | 4              | －             |
| ASC2INTP     | 5              | －             |
| EMOD         | 4              | －             |
| EMODP        | 5              | －             |
| NEG          | 2              | ○             |
| NEGP         | 3              | ○             |
| DNEG         | 2              | ○             |
| DNEGP        | 3              | ○             |
| DECO         | 4              | －             |
| DECOP        | 5              | －             |
| ENCO         | 4              | －             |
| ENCOP        | 5              | －             |
| SEG          | 3              | ○             |
| SEGP         | 4              | ○             |
| DIS          | 4              | －             |
| DISP         | 5              | －             |
| UNI          | 4              | －             |
| UNIP         | 5              | －             |
| NDIS         | 4              | －             |
| NDISP        | 5              | －             |
| NUNI         | 4              | －             |
| NUNIP        | 5              | －             |
| WTOB         | 4              | －             |
| WTOBP        | 5              | －             |
| BTOW         | 4              | －             |
| BTOWP        | 5              | －             |
| MOV          | 2              | ○             |
| MOVP         | 3              | ○             |
| DMOV         | 2              | ○             |
| DMOVP        | 3              | ○             |
| CML          | 2              | ○             |
| CMLP         | 3              | ○             |
| DCML         | 2              | ○             |

- 「基本ステップ数」は各命令の処理に必要な基本的なステップ数を示しています。
- 「サブセット可否」は「○」が付いている命令はサブセット処理が可能であることを示し、「－」は不可を示しています。

### テキスト
- ページ下部に「付録 付2 基本ステップ数とサブセット処理の可否」と記載されています。
</contents>
