ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page1568

<overview>
このページは表形式で構成されており、命令名ごとに「基本ステップ数」と「サブセット可否」の情報が一覧で示されています。テキスト部分はページ下部にページ番号と付録タイトルが記載されているのみで、主に表がページ全体の内容を占めています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 命令名ごとの基本ステップ数とサブセット処理の可否一覧

| 命令名 | 基本ステップ数 | サブセット可否 |
| :--- | :---: | :---: |
| EI | 1 | ○ |
| IMASK | 2 | ○ |
| SIMASK | 3 | ○ |
| IRET | 1 | ― |
| WDT | 1 | ― |
| WDTP | 2 | ― |
| FOR | 2 | ○ |
| NEXT | 1 | ― |
| BREAK | 4 | ― |
| BREAKP | 5 | ― |
| CALL (P) | 3 | ― |
| CALL (P) (s1) | 4 | ― |
| CALL (P) (s1) (s2) | 5 | ― |
| CALL (P) (s1) (s2) (s3) | 6 | ― |
| CALL (P) (s1) (s2) (s3) (s4) | 7 | ― |
| CALL (P) (s1) (s2) (s3) (s4) (s5) | 8 | ― |
| CALLP (P) | 4 | ― |
| CALLP (P) (s1) | 5 | ― |
| CALLP (P) (s1) (s2) | 6 | ― |
| CALLP (P) (s1) (s2) (s3) | 7 | ― |
| CALLP (P) (s1) (s2) (s3) (s4) | 8 | ― |
| CALLP (P) (s1) (s2) (s3) (s4) (s5) | 9 | ― |
| RET | 1 | ― |
| FCALL (P) | 3 | ― |
| FCALL (P) (s1) | 4 | ― |
| FCALL (P) (s1) (s2) | 5 | ― |
| FCALL (P) (s1) (s2) (s3) | 6 | ― |
| FCALL (P) (s1) (s2) (s3) (s4) | 7 | ― |
| FCALL (P) (s1) (s2) (s3) (s4) (s5) | 8 | ― |
| FCALLP (P) | 4 | ― |
| FCALLP (P) (s1) | 5 | ― |
| FCALLP (P) (s1) (s2) | 6 | ― |
| FCALLP (P) (s1) (s2) (s3) | 7 | ― |
| FCALLP (P) (s1) (s2) (s3) (s4) | 8 | ― |
| FCALLP (P) (s1) (s2) (s3) (s4) (s5) | 9 | ― |
| ECALL (ファイル名) (P) | 4 + ファイル名の文字数 | ― |
| ECALL (ファイル名) (P) (s1) | 5 + ファイル名の文字数 | ― |
| ECALL (ファイル名) (P) (s1) (s2) | 6 + ファイル名の文字数 | ― |
| ECALL (ファイル名) (P) (s1) (s2) (s3) | 7 + ファイル名の文字数 | ― |
| ECALL (ファイル名) (P) (s1) (s2) (s3) (s4) | 8 + ファイル名の文字数 | ― |
| ECALL (ファイル名) (P) (s1) (s2) (s3) (s4) (s5) | 9 + ファイル名の文字数 | ― |
| ECALLP (ファイル名) (P) | 5 + ファイル名の文字数 | ― |
| ECALLP (ファイル名) (P) (s1) | 6 + ファイル名の文字数 | ― |
| ECALLP (ファイル名) (P) (s1) (s2) | 7 + ファイル名の文字数 | ― |
| ECALLP (ファイル名) (P) (s1) (s2) (s3) | 8 + ファイル名の文字数 | ― |
| ECALLP (ファイル名) (P) (s1) (s2) (s3) (s4) | 9 + ファイル名の文字数 | ― |
| ECALLP (ファイル名) (P) (s1) (s2) (s3) (s4) (s5) | 10 + ファイル名の文字数 | ― |
| EFCALL (ファイル名) (P) | 4 + ファイル名の文字数 | ― |
| EFCALL (ファイル名) (P) (s1) | 5 + ファイル名の文字数 | ― |
| EFCALL (ファイル名) (P) (s1) (s2) | 6 + ファイル名の文字数 | ― |
| EFCALL (ファイル名) (P) (s1) (s2) (s3) | 7 + ファイル名の文字数 | ― |
| EFCALL (ファイル名) (P) (s1) (s2) (s3) (s4) | 8 + ファイル名の文字数 | ― |
| EFCALL (ファイル名) (P) (s1) (s2) (s3) (s4) (s5) | 9 + ファイル名の文字数 | ― |

- 「基本ステップ数」は各命令の処理に必要なステップ数を示しています。
- 「サブセット可否」はその命令がサブセット処理可能かどうかを「○」または「―」で表しています。
- ファイル名を含む命令は、基本ステップ数にファイル名の文字数を加えた値となっています。

### テキスト
- ページ下部に「付録」「付2 基本ステップ数とサブセット処理の可否」というタイトルが記載されています。
</contents>
