ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page1574

<overview>
本ページは表形式の情報で構成されており、命令名ごとに「基本ステップ数」と「サブセット可否」の2つの項目が一覧で示されています。テキストやグラフは含まれていません。
</overview>

<contents>
### 表
#### 命令名ごとの基本ステップ数とサブセット処理の可否一覧

| 命令名       | 基本ステップ数 | サブセット可否 |
|--------------|----------------|----------------|
| LOGP         | 4              | ー             |
| LOGD         | 3              | ー             |
| LOGDP        | 4              | ー             |
| BSQRT        | 3              | ー             |
| BSQRTP       | 4              | ー             |
| BDSQRT       | 3              | ー             |
| BDSQRTP      | 4              | ー             |
| POW          | 4              | ー             |
| POWP         | 5              | ー             |
| POWD         | 4              | ー             |
| POWDP        | 5              | ー             |
| LOG10        | 3              | ー             |
| LOG10P       | 4              | ー             |
| LOG10D       | 3              | ー             |
| LOG10DP      | 4              | ー             |
| EMAX         | 4              | ー             |
| EMAXP        | 5              | ー             |
| EDMAX        | 4              | ー             |
| EDMAXP       | 5              | ー             |
| EMIN         | 4              | ー             |
| EMINP        | 5              | ー             |
| EDMIN        | 4              | ー             |
| EDMINP       | 5              | ー             |
| RND          | 2              | ー             |
| RNDP         | 3              | ー             |
| SRND         | 2              | ー             |
| SRNDP        | 3              | ー             |
| ZPUSH (d)    | 2              | ○             |
| ZPUSHP (d)   | 3              | ○             |
| ZPUSH (s) (d)| 3              | ○             |
| ZPUSHP (s) (d)| 4             | ○             |
| ZPOP (d)     | 2              | ○             |
| ZPOPP (d)    | 3              | ○             |
| ZPOP (s) (d) | 3              | ○             |
| ZPOPP (s) (d)| 4              | ○             |
| LIMIT        | 5              | ○             |
| LIMITP       | 6              | ○             |
| LIMIT_U      | 5              | ○             |
| LIMITP_U     | 6              | ○             |
| DLIMIT       | 5              | ○             |
| DLIMITP      | 6              | ○             |
| DLIMIT_U     | 5              | ○             |
| DLIMITP_U    | 6              | ○             |
| BAND         | 5              | ー             |
| BANDP        | 6              | ー             |
| BAND_U       | 5              | ー             |
| BANDP_U      | 6              | ー             |
| DBAND        | 5              | ー             |
| DBANDP       | 6              | ー             |
| DBAND_U      | 5              | ー             |
| DBANDP_U     | 6              | ー             |
| ZONE         | 5              | ー             |
| ZONEP        | 6              | ー             |

- 「基本ステップ数」は各命令の処理に必要な基本的なステップ数を示しています。
- 「サブセット可否」はサブセット処理が可能かどうかを「○」または「ー」で表しています。
- サブセット処理が可能な命令は主にZPUSH/ZPOP系やLIMIT系、DLIMIT系の命令であり、それ以外は不可となっています。

ページ下部には「付録 付2 基本ステップ数とサブセット処理の可否」というタイトルが記載されています。
</contents>
