ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page1578

<overview>
このページは表形式で構成されており、命令名ごとに「基本ステップ数」と「サブセット可否」の情報が一覧で示されています。テキスト部分はページ下部にページ番号と付録タイトルが記載されています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 基本ステップ数とサブセット処理の可否一覧
命令名ごとに、各命令の基本ステップ数とサブセット処理が可能かどうかを示した表です。

| 命令名 | 基本ステップ数 | サブセット可否 |
| :--- | :---: | :---: |
| ANDDT<= | 4 | ― |
| ANDDT< | 4 | ― |
| ANDDT>= | 4 | ― |
| ORDT= | 4 | ― |
| ORDT<> | 4 | ― |
| ORDT> | 4 | ― |
| ORDT<= | 4 | ― |
| ORDT< | 4 | ― |
| ORDT>= | 4 | ― |
| LDTM= | 4 | ― |
| LDTM<> | 4 | ― |
| LDTM> | 4 | ― |
| LDTM<= | 4 | ― |
| LDTM< | 4 | ― |
| LDTM>= | 4 | ― |
| ANDTM= | 4 | ― |
| ANDTM<> | 4 | ― |
| ANDTM> | 4 | ― |
| ANDTM<= | 4 | ― |
| ANDTM< | 4 | ― |
| ANDTM>= | 4 | ― |
| ORTM= | 4 | ― |
| ORTM<> | 4 | ― |
| ORTM> | 4 | ― |
| ORTM<= | 4 | ― |
| ORTM< | 4 | ― |
| ORTM>= | 4 | ― |
| TCMP | 6 | ― |
| TCMPP | 7 | ― |
| TZCP | 5 | ― |
| TZCPP | 6 | ― |
| S.DATERD | 2 | ― |
| SP.DATERD | 3 | ― |
| S.DATE+ | 4 | ― |
| SP.DATE+ | 5 | ― |
| S.DATE- | 4 | ― |
| SP.DATE- | 5 | ― |
| DUTY | 5 | ― |
| TIMCHK | 5 | ― |
| HOURM | 5 | ― |
| DHOURM | 5 | ― |
| RFS | 3 | ― |
| RFSP | 4 | ― |
| COM | 1 | ― |
| COMP | 2 | ― |
| S.ZCOM | 2 | ― |
| SP.ZCOM | 3 | ― |
| FROM | 5 | ○ |
| FROMP | 6 | ○ |
| DFROM | 5 | ○ |
| DFROMP | 6 | ○ |
| TO | 5 | ○ |
| TOP | 6 | ○ |

- 「基本ステップ数」は各命令の処理に必要な基本的なステップ数を示しています。
- 「サブセット可否」は「○」がサブセット処理可能、「―」が不可を示しています。

### ページ情報
- ページ番号: 1578
- 付録タイトル: 付2 基本ステップ数とサブセット処理の可否
</contents>
