ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page68

<overview>
本ページは「2.2 基本命令」に関する内容で構成されています。ページ全体はテキストと表で構成されており、主に比較演算命令について説明しています。具体的には、BIN16ビットデータ比較、BIN32ビットデータ比較、BIN16ビットデータ比較出力の3つのセクションに分かれています。各セクションは命令記号、処理内容、参照先を示した表形式で整理されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 2.2 基本命令
本節では比較演算命令について説明しています。

##### ■BIN16ビットデータ比較
指定した2つのBIN16ビットデータをa接点扱いで比較します。

##### ■BIN32ビットデータ比較
指定した2つのBIN32ビットデータをa接点扱いで比較します。

##### ■BIN16ビットデータ比較出力
(s1)で指定したBIN16ビットデータと、(s2)で指定したBIN16ビットデータを比較し、その結果（小、 一致、大）に応じて(d)、(d)+1、(d)+2のいずれかがONします。

### 表
#### BIN16ビットデータ比較
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| LD=、AND=、OR= | 指定した2つのBIN16ビットデータをa接点扱いで比較します。 | 214ページ LDD(_U)、AND(_U)、ORD(_U) |
| LD=_U、AND=_U、OR=_U | 同上 | 同上 |
| LD<>、AND<>、OR<> | 同上 | 同上 |
| LD<>_U、AND<>_U、OR<>_U | 同上 | 同上 |
| LD>、AND>、OR> | 同上 | 同上 |
| LD>_U、AND>_U、OR>_U | 同上 | 同上 |
| LD<=、AND<=、OR<= | 同上 | 同上 |
| LD<=_U、AND<=_U、OR<=_U | 同上 | 同上 |
| LD<、AND<、OR< | 同上 | 同上 |
| LD<_U、AND<_U、OR<_U | 同上 | 同上 |
| LD>=、AND>=、OR>= | 同上 | 同上 |
| LD>=_U、AND>=_U、OR>=_U | 同上 | 同上 |

#### BIN32ビットデータ比較
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| LDD=、ANDD=、ORD= | 指定した2つのBIN32ビットデータをa接点扱いで比較します。 | 217ページ LDDD(_U)、ANDDD(_U)、ORDD(_U) |
| LDD=_U、ANDD=_U、ORD=_U | 同上 | 同上 |
| LDD<>、ANDD<>、ORD<> | 同上 | 同上 |
| LDD<>_U、ANDD<>_U、ORD<>_U | 同上 | 同上 |
| LDD>、ANDD>、ORD> | 同上 | 同上 |
| LDD>_U、ANDD>_U、ORD>_U | 同上 | 同上 |
| LDD<=、ANDD<=、ORD<= | 同上 | 同上 |
| LDD<=_U、ANDD<=_U、ORD<=_U | 同上 | 同上 |
| LDD<、ANDD<、ORD< | 同上 | 同上 |
| LDD<_U、ANDD<_U、ORD<_U | 同上 | 同上 |
| LDD>=、ANDD>=、ORD>= | 同上 | 同上 |
| LDD>=_U、ANDD>=_U、ORD>=_U | 同上 | 同上 |

#### BIN16ビットデータ比較出力
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| CMP | (s1)で指定したBIN16ビットデータと、(s2)で指定したBIN16ビットデータを比較し、その結果（小、一致、大）に応じて(d)、(d)+1、(d)+2のいずれかがONします。 | 219ページ CMP(P)(_U) |
| CMPP | 同上 | 同上 |
| CMP_U | 同上 | 同上 |
| CMPP_U | 同上 | 同上 |
</contents>
