ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page90

<overview>
本ページは「2.3 応用命令 プログラム制御」に関する内容で構成されています。ページ全体はテキスト説明と表形式の命令一覧で構成されており、グラフや図は含まれていません。主に「プログラム分岐命令」と「プログラム実行制御命令」に関する命令コード、処理内容、参照先を表で整理しています。
</overview>

<contents>
### テキスト
#### 2.3 応用命令 プログラム制御
プログラムの制御に関する応用命令について説明しています。

#### プログラム分岐命令
- ポインタ分岐命令として、同一プログラムファイル内の指定されたポインタ番号のプログラムを実行する命令が紹介されています。
- ENDへジャンプ命令として、同一プログラムファイル内のFENDまたはEND命令へジャンプする命令が説明されています。

#### プログラム実行制御命令
- 割込み禁止、割込み許可に関する命令があり、割込みプログラムの実行禁止や禁止状態の解除を行います。
- 指定優先度以下の割込み禁止命令は、指定優先度以下の割込みプログラムの起動要因があっても、許可命令が実行されるまで割込みを禁止します。
- 割込みプログラムマスク命令は、指定された割込みポインタ番号の割込みプログラムの実行許可状態や実行禁止状態を設定します。
- 指定割込みポインタの禁止/許可命令も同様に割込みプログラムの実行許可状態や禁止状態を設定します。
- 割込みプログラムからの復帰命令は、割込みプログラムの処理終了を示します。
- WDTリセット命令はウォッチドッグタイマをリセットします。

### 表
#### プログラム分岐命令（ポインタ分岐）
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| CJ | 同一プログラムファイル内の指定されたポインタ番号のプログラムを実行します。 | 557ページ CJ, SCJ, JMP |
| SCJ | 次のスキャンから同一プログラムファイル内の指定されたポインタ番号のプログラムを実行します。 | 557ページ CJ, SCJ, JMP |
| JMP | 無条件に同一プログラムファイル内の指令されたポインタ番号のプログラムを実行します。 | 557ページ CJ, SCJ, JMP |

#### プログラム分岐命令（ENDへジャンプ）
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| GOEND | 同一プログラムファイル内のFENDまたはEND命令へジャンプします。 | 560ページ GOEND |

#### プログラム実行制御命令
##### 割込み禁止、割込み許可
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| DI | 割込みプログラムの実行を禁止します。 | 561ページ DI, EI |
| EI | 割込み禁止状態を解除します。 | 561ページ DI, EI |

##### 指定優先度以下の割込み禁止
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| DI | (s)で指定した優先度以下の割込みプログラムの起動要因が発生しても、EI命令が実行されるまで割込みプログラムの実行を禁止します。 | 563ページ DI |

##### 割込みプログラムマスク
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| IMASK | 指定された割込みポインタ番号の割込みプログラムを実行許可状態/実行禁止状態にします。 | 568ページ IMASK |

##### 指定割込みポインタの禁止/許可
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| SIMASK | 指定した割込みポインタ番号の割込みプログラムを、実行許可状態/実行禁止状態にします。 | 570ページ SIMASK |

##### 割込みプログラムからの復帰
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| IRET | 割込みプログラムの処理の終了を示します。 | 572ページ IRET |

##### WDTリセット
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| WDT | ウォッチドッグタイマをリセットします。 | 573ページ WDT(P) |
| WDTP | （内容記載なし） | 573ページ WDT(P) |
</contents>
